timestamp,quat_x,quat_y,quat_z,quat_w,rot_x,rot_y,rot_z,acc_x,acc_y,acc_z,grav_x,grav_y,grav_z
1762624796.791516,-0.127587,0.115271,-0.000000,0.985106,0.014540,0.150497,0.125837,0.019023,-0.014767,0.027485,0.227109,0.251374,-0.940868
1762624796.820937,-0.127428,0.116051,0.000427,0.985035,0.020303,0.098274,0.076847,0.016201,-0.020445,0.031754,0.228738,0.250942,-0.940589
1762624796.821272,-0.127268,0.116831,0.000854,0.984963,0.026066,0.046050,0.027856,0.013380,-0.026121,0.036021,0.230366,0.250509,-0.940307
1762624796.855909,-0.126639,0.120556,0.000674,0.984596,0.030872,0.009439,-0.093771,0.021665,-0.023343,0.007680,0.237568,0.249215,-0.938858
1762624796.856187,-0.126199,0.125882,0.000814,0.983985,0.032754,0.002996,-0.124509,0.014301,-0.017522,-0.001005,0.247938,0.248150,-0.936455
1762624796.892371,-0.123697,0.127269,-0.000654,0.984125,0.028583,-0.015313,-0.130040,-0.002834,0.002915,0.011246,0.250335,0.243632,-0.937004
1762624796.923058,-0.122369,0.127264,-0.001143,0.984291,0.044825,-0.047771,-0.108607,-0.003721,0.003590,0.007432,0.250249,0.241184,-0.937660
1762624796.923212,-0.121041,0.127258,-0.001631,0.984455,0.061067,-0.080230,-0.087173,-0.004609,0.004266,0.003612,0.250165,0.238733,-0.938309
1762624796.985367,-0.118985,0.127409,-0.002348,0.984685,0.101408,-0.066993,-0.036818,0.003507,0.005257,-0.010291,0.250357,0.234923,-0.939219
1762624796.985733,-0.119027,0.127089,-0.002591,0.984720,0.106023,-0.064737,-0.023398,0.002729,0.003608,-0.008954,0.249677,0.235075,-0.939362
1762624796.986097,-0.119069,0.126769,-0.002834,0.984756,0.110637,-0.062481,-0.009978,0.001951,0.001960,-0.007618,0.248997,0.235227,-0.939505
1762624797.016135,-0.118652,0.125579,-0.003223,0.984958,0.100490,-0.071938,-0.008978,0.006925,-0.003178,0.000939,0.246615,0.234543,-0.940304
1762624797.016446,-0.118189,0.125267,-0.003346,0.985052,0.082935,-0.063013,-0.017016,0.010244,-0.002246,0.000422,0.245997,0.233683,-0.940679
1762624797.051716,-0.117439,0.124589,-0.003791,0.985227,0.048915,-0.058521,-0.035233,0.016459,-0.001247,0.000042,0.244606,0.232352,-0.941372
1762624797.081944,-0.117255,0.124369,-0.004021,0.985275,0.048161,-0.067300,-0.042656,0.010912,-0.003876,0.004146,0.244132,0.232057,-0.941567
1762624797.082289,-0.117071,0.124149,-0.004251,0.985324,0.047407,-0.076078,-0.050079,0.005364,-0.006505,0.008250,0.243659,0.231761,-0.941763
1762624797.114940,-0.116429,0.123343,-0.004881,0.985498,0.057189,-0.122094,-0.043623,-0.003192,0.005780,0.007415,0.241972,0.230684,-0.942462
1762624797.115197,-0.116164,0.122986,-0.005023,0.985574,0.049767,-0.125381,-0.022556,0.001004,0.011561,-0.001873,0.241256,0.230212,-0.942761
1762624797.149603,-0.115616,0.122537,-0.004639,0.985696,0.022795,-0.062706,0.040996,-0.000841,0.016497,-0.015554,0.240495,0.229062,-0.943235
1762624797.190922,-0.115624,0.122355,-0.004021,0.985720,0.016942,-0.051191,0.049516,-0.006421,0.011929,-0.011812,0.240287,0.228930,-0.943320
1762624797.191258,-0.115632,0.122174,-0.003403,0.985744,0.011089,-0.039677,0.058036,-0.012000,0.007360,-0.008070,0.240078,0.228799,-0.943405
1762624797.220072,-0.115744,0.122051,-0.002926,0.985748,0.007154,-0.024833,0.055579,-0.011722,0.003647,-0.008629,0.239946,0.228903,-0.943414
1762624797.220417,-0.115856,0.121928,-0.002449,0.985751,0.003219,-0.009989,0.053122,-0.011444,-0.000067,-0.009188,0.239814,0.229008,-0.943422
1762624797.257950,-0.116141,0.121830,-0.001894,0.985731,0.010216,0.019458,0.029057,-0.008895,-0.005312,-0.005997,0.239743,0.229429,-0.943338
1762624797.258283,-0.116122,0.121759,-0.001840,0.985742,0.022677,0.023967,0.013207,-0.008580,-0.006378,-0.005895,0.239619,0.229381,-0.943381
1762624797.300533,-0.115723,0.121675,-0.002068,0.985799,0.038455,0.044759,-0.014508,-0.006115,-0.004966,-0.006674,0.239415,0.228662,-0.943607
1762624797.300866,-0.115534,0.121753,-0.002200,0.985811,0.043564,0.047862,-0.021124,-0.007182,-0.004274,-0.001932,0.239542,0.228325,-0.943656
1762624797.352891,-0.114645,0.121929,-0.002929,0.985891,0.053157,0.029728,-0.036689,-0.007613,-0.002279,0.001871,0.239746,0.226769,-0.943980
1762624797.353161,-0.114115,0.121882,-0.003337,0.985957,0.058657,0.026727,-0.035695,-0.003184,-0.000551,-0.001170,0.239579,0.225838,-0.944245
1762624797.382387,-0.113677,0.121913,-0.003655,0.986003,0.055717,0.023662,-0.029113,-0.005307,0.002310,-0.000488,0.239583,0.225063,-0.944429
1762624797.382660,-0.113240,0.121944,-0.003972,0.986048,0.052776,0.020596,-0.022531,-0.007432,0.005171,0.000193,0.239587,0.224288,-0.944613
1762624797.413729,-0.112575,0.121838,-0.004320,0.986136,0.027527,0.000751,0.001225,-0.005596,0.009405,-0.001657,0.239324,0.223081,-0.944965
1762624797.414047,-0.112424,0.121752,-0.004322,0.986163,0.014243,-0.003169,0.009177,-0.004408,0.009476,-0.004595,0.239164,0.222790,-0.945074
1762624797.442124,-0.112397,0.121760,-0.004216,0.986166,0.001608,0.001955,0.015870,-0.004300,0.006911,-0.005949,0.239202,0.222711,-0.945083
1762624797.474160,-0.112730,0.121701,-0.003979,0.986136,-0.021830,0.002565,0.012668,-0.002758,0.003167,-0.004454,0.239131,0.223302,-0.944962
1762624797.474440,-0.112969,0.121656,-0.003887,0.986115,-0.029219,0.001147,0.004118,-0.001624,0.001330,-0.006527,0.239055,0.223747,-0.944876
1762624797.504031,-0.113263,0.121638,-0.003933,0.986083,-0.031530,0.004688,-0.008434,-0.003518,-0.000448,-0.002683,0.239000,0.224330,-0.944752
1762624797.534954,-0.113929,0.121418,-0.004196,0.986033,-0.034624,-0.015708,-0.026549,-0.003966,0.000773,-0.001177,0.238488,0.225694,-0.944556
1762624797.535285,-0.114227,0.121257,-0.004349,0.986017,-0.036338,-0.014119,-0.021975,-0.002278,-0.001323,-0.002288,0.238129,0.226314,-0.944498
1762624797.566062,-0.114622,0.120814,-0.004598,0.986025,-0.015270,-0.018809,-0.020794,-0.002178,-0.003849,-0.001743,0.237197,0.227151,-0.944532
1762624797.597082,-0.114665,0.120637,-0.004704,0.986041,-0.009554,-0.021096,-0.019248,-0.002693,-0.002573,-0.001470,0.236827,0.227264,-0.944597
1762624797.597520,-0.114709,0.120460,-0.004809,0.986057,-0.003838,-0.023383,-0.017702,-0.003208,-0.001297,-0.001197,0.236457,0.227377,-0.944663
1762624797.650582,-0.114886,0.119948,-0.004895,0.986098,-0.017946,-0.028237,-0.009740,-0.003562,-0.000087,-0.003750,0.235436,0.227751,-0.944828
1762624797.650933,-0.115020,0.119713,-0.004911,0.986111,-0.022033,-0.033527,-0.010103,-0.003982,-0.001609,-0.004271,0.234971,0.228020,-0.944878
1762624797.679726,-0.115202,0.119492,-0.004903,0.986117,-0.029713,-0.029034,-0.003657,-0.004696,-0.001670,-0.005481,0.234537,0.228378,-0.944900
1762624797.680047,-0.115385,0.119272,-0.004894,0.986122,-0.037393,-0.024541,0.002789,-0.005411,-0.001731,-0.006690,0.234103,0.228735,-0.944921
1762624797.711266,-0.115967,0.118733,-0.004704,0.986120,-0.040227,-0.032577,0.008282,-0.006882,-0.000622,-0.004945,0.233079,0.229832,-0.944908
1762624797.752033,-0.116286,0.118587,-0.004428,0.986101,-0.040386,-0.014802,0.016385,-0.004623,-0.002366,-0.006521,0.232848,0.230390,-0.944829
1762624797.752142,-0.116605,0.118441,-0.004153,0.986082,-0.040545,0.002974,0.024488,-0.002364,-0.004109,-0.008097,0.232616,0.230949,-0.944750
1762624797.761344,-0.117060,0.118465,-0.003774,0.986027,-0.043895,0.018899,0.022119,-0.004050,-0.002641,-0.007254,0.232736,0.231742,-0.944526
1762624797.791405,-0.117359,0.118545,-0.003608,0.985982,-0.042388,0.017685,0.012599,-0.004957,-0.002153,-0.003482,0.232921,0.232283,-0.944348
1762624797.821723,-0.117618,0.118595,-0.003549,0.985945,-0.042996,0.012789,0.002111,-0.003704,-0.001290,-0.002447,0.233022,0.232771,-0.944202
1762624797.821986,-0.117877,0.118645,-0.003489,0.985909,-0.043604,0.007894,-0.008376,-0.002450,-0.000428,-0.001413,0.233123,0.233260,-0.944057
1762624797.858207,-0.118443,0.118789,-0.003611,0.985823,-0.040002,0.012337,-0.015068,-0.002499,0.000170,0.000781,0.233354,0.234385,-0.943721
1762624797.858484,-0.118625,0.118838,-0.003680,0.985795,-0.033323,0.013315,-0.018706,-0.004026,-0.002922,0.000316,0.233428,0.234754,-0.943611
1762624797.889535,-0.118909,0.118685,-0.003978,0.985778,-0.015852,-0.005843,-0.017147,-0.003175,0.006557,-0.001988,0.233047,0.235381,-0.943549
1762624797.968155,-0.119188,0.118645,-0.003928,0.985749,-0.018849,0.000278,-0.013263,-0.001892,0.005276,-0.002366,0.232973,0.235911,-0.943435
1762624797.968490,-0.119467,0.118606,-0.003877,0.985721,-0.021846,0.006399,-0.009380,-0.000610,0.003995,-0.002744,0.232899,0.236442,-0.943320
1762624797.968743,-0.119746,0.118567,-0.003827,0.985692,-0.024843,0.012520,-0.005496,0.000673,0.002714,-0.003122,0.232825,0.236972,-0.943206
1762624797.969218,-0.120024,0.118528,-0.003777,0.985663,-0.027840,0.018641,-0.001613,0.001955,0.001433,-0.003500,0.232750,0.237502,-0.943091
1762624798.000519,-0.120278,0.118586,-0.003758,0.985625,-0.029754,0.019639,-0.001698,-0.000003,0.001506,-0.001912,0.232858,0.237988,-0.942942
1762624798.000818,-0.120531,0.118643,-0.003739,0.985587,-0.031667,0.020636,-0.001783,-0.001962,0.001580,-0.000325,0.232966,0.238474,-0.942792
1762624798.028584,-0.120952,0.118848,-0.003934,0.985510,-0.010417,0.011132,-0.016793,-0.000483,-0.000675,0.001512,0.233299,0.239334,-0.942492
1762624798.059303,-0.120986,0.118932,-0.004076,0.985495,-0.003795,0.013855,-0.017462,0.000434,0.000976,-0.000635,0.233428,0.239431,-0.942435
1762624798.059759,-0.121020,0.119017,-0.004217,0.985480,0.002827,0.016579,-0.018131,0.001350,0.002627,-0.002782,0.233557,0.239529,-0.942378
1762624798.089910,-0.120902,0.119253,-0.004491,0.985465,0.014881,0.016887,-0.009926,-0.000483,0.002031,-0.002756,0.233954,0.239361,-0.942323
1762624798.120581,-0.120768,0.119340,-0.004567,0.985471,0.018232,0.017627,-0.010563,-0.000003,0.001695,-0.002163,0.234109,0.239116,-0.942346
1762624798.120937,-0.120633,0.119427,-0.004644,0.985476,0.021583,0.018367,-0.011200,0.000477,0.001360,-0.001570,0.234264,0.238871,-0.942370
1762624798.150975,-0.120324,0.119733,-0.004886,0.985476,0.015714,0.015982,-0.009043,0.000192,0.003124,0.001207,0.234811,0.238323,-0.942372
1762624798.158924,-0.120251,0.119847,-0.005054,0.985470,0.007248,0.010146,-0.011571,-0.000034,0.001263,0.001866,0.234995,0.238219,-0.942353
1762624798.203169,-0.120234,0.119867,-0.005143,0.985469,0.006166,0.006030,-0.012828,-0.000366,0.000279,0.002213,0.235013,0.238208,-0.942351
1762624798.203419,-0.120218,0.119887,-0.005233,0.985468,0.005085,0.001914,-0.014085,-0.000698,-0.000705,0.002560,0.235031,0.238196,-0.942350
1762624798.259181,-0.120209,0.119750,-0.005454,0.985484,0.000357,-0.015565,-0.014650,-0.000746,0.000635,0.001408,0.234713,0.238235,-0.942419
1762624798.259534,-0.120227,0.119619,-0.005524,0.985498,0.001273,-0.018025,-0.011287,-0.000120,-0.000379,0.000264,0.234441,0.238289,-0.942473
1762624798.259874,-0.120245,0.119489,-0.005594,0.985511,0.002190,-0.020486,-0.007925,0.000507,-0.001392,-0.000881,0.234169,0.238342,-0.942527
1762624798.304559,-0.120243,0.119243,-0.005720,0.985540,-0.000467,-0.010435,-0.008593,-0.000035,0.002203,-0.005838,0.233662,0.238373,-0.942645
1762624798.304879,-0.120265,0.119198,-0.005752,0.985543,-0.008334,-0.008492,-0.004055,-0.003066,0.003211,-0.003108,0.233566,0.238424,-0.942656
1762624798.336204,-0.120435,0.118909,-0.005727,0.985557,-0.006755,-0.029114,0.000416,-0.003350,0.000553,0.001841,0.233003,0.238753,-0.942712
1762624798.336670,-0.120441,0.118692,-0.005714,0.985583,-0.003668,-0.028161,0.000842,-0.000211,0.000005,-0.000985,0.232585,0.238766,-0.942812
1762624798.367992,-0.120414,0.118510,-0.005527,0.985609,0.004040,0.001432,0.014012,0.001905,-0.000627,-0.006601,0.232277,0.238672,-0.942912
