quat_x,quat_y,quat_z,quat_w,rot_x,rot_y,rot_z,acc_x,acc_y,acc_z,grav_x,grav_y,grav_z,pitch_rad
0.060728,-0.630807,-0.0,0.77356,-0.024504,-0.008226,-0.010933,1.008535,0.400533,-0.753392,-0.975934,-0.093953,-0.196789,-1.35096445384269
-0.003343,-0.480398,0.104155,0.870838,-0.024856,-0.007057,-0.007761,0.86829,0.201671,-0.411293,-0.836001,0.105893,-0.538414,-0.9899550000139844
-0.067256,-0.30739,0.20341,0.927153,-0.025209,-0.005888,-0.004589,0.574612,0.058783,-0.147257,-0.542634,0.249766,-0.801976,-0.5735698159023052
-0.128006,-0.119923,0.293097,0.939855,-0.025562,-0.004719,-0.001417,0.182051,-0.001379,-0.010294,-0.150385,0.310912,-0.938466,-0.15095679299246387
-0.152773,-0.036287,0.328028,0.931526,-0.02426,-0.001003,0.002554,-0.002805,0.00234,0.001887,0.032622,0.30843,-0.950687,0.03262886473687263
-0.152697,-0.036457,0.328034,0.93153,-0.019426,7.8e-05,0.002269,-0.001956,0.002774,0.001955,0.032258,0.308403,-0.950709,0.03226363411377785
-0.152622,-0.036626,0.328039,0.931534,-0.014592,0.001159,0.001985,-0.001107,0.003209,0.002023,0.031895,0.308375,-0.95073,0.031900618280458544
-0.152935,-0.036994,0.327976,0.93149,-0.001491,-0.000396,-0.001649,-0.000627,0.004884,0.001951,0.031399,0.30918,-0.950485,0.03140409862360581
-0.153061,-0.037135,0.32792,0.931484,-0.00194,0.001803,-0.003205,-0.000447,0.004646,0.001649,0.031202,0.309501,-0.950387,0.03120727474293466
-0.153187,-0.037276,0.327864,0.931477,-0.002388,0.004002,-0.004762,-0.000267,0.004408,0.001346,0.031005,0.309822,-0.950289,0.03101050180751965
-0.153555,-0.037429,0.327685,0.931473,0.004292,0.008222,-0.007601,0.000322,0.001319,0.002451,0.030907,0.310594,-0.95004,0.030912057310760833
-0.153748,-0.037432,0.327596,0.931473,0.006618,0.013821,-0.00731,0.001004,0.001065,0.001895,0.031001,0.310949,-0.949921,0.031005632578824962
-0.153996,-0.037468,0.327405,0.931497,0.007822,0.009901,-0.00869,0.000195,0.001173,0.000246,0.031035,0.311429,-0.949762,0.031040445954183562
-0.154043,-0.037429,0.327331,0.931517,0.008429,0.008263,-0.008112,0.000113,0.000679,0.000142,0.031116,0.311491,-0.94974,0.03111962150366932
-0.15409,-0.037389,0.327257,0.931537,0.009035,0.006625,-0.007534,3.1e-05,0.000185,3.9e-05,0.031196,0.311552,-0.949717,0.03120065043219279
-0.15407,-0.03725,0.327135,0.931589,0.012209,0.00262,-0.001776,0.000195,-0.001511,0.000745,0.031401,0.311432,-0.94975,0.031405160547224274
-0.154017,-0.037203,0.327134,0.9316,0.011747,0.001965,0.000163,0.000388,-0.001655,0.000722,0.031451,0.311305,-0.949789,0.031456952684143134
-0.153963,-0.037157,0.327133,0.931611,0.011284,0.00131,0.002101,0.000582,-0.001798,0.0007,0.031501,0.311178,-0.949829,0.03150622844850354
-0.153839,-0.037122,0.327182,0.931616,0.011277,0.000941,0.00566,-0.000252,-0.001654,0.00027,0.0315,0.310929,-0.949911,0.03150501663512771
-0.153749,-0.03709,0.327213,0.931621,0.008813,-0.001354,0.005251,-7.3e-05,-0.001182,-0.000196,0.031509,0.310744,-0.949971,0.0315149137500346
-0.153659,-0.037058,0.327243,0.931627,0.006349,-0.003648,0.004842,0.000106,-0.000709,-0.000663,0.031519,0.310559,-0.950032,0.03152441871918661
-0.153469,-0.036942,0.327387,0.931612,0.012888,-0.001533,0.006491,-0.000829,-0.000866,0.000736,0.031657,0.310135,-0.950165,0.03166157962095554
-0.153372,-0.036911,0.32745,0.931607,0.011211,-0.003479,0.006846,-0.000924,-0.000271,0.000785,0.03167,0.309937,-0.95023,0.031675527462497355
-0.153274,-0.03688,0.327513,0.931602,0.009534,-0.005425,0.007201,-0.001019,0.000324,0.000833,0.031683,0.309739,-0.950294,0.03168879487858687
-0.153118,-0.036767,0.327598,0.931602,0.009865,0.003677,0.003898,-0.000163,0.000987,0.000978,0.031817,0.30938,-0.950406,0.03182325072465271
-0.15308,-0.036716,0.327641,0.931596,0.009402,0.005391,0.004541,0.000692,0.000439,0.002047,0.031902,0.309276,-0.950437,0.03190702468057143
-0.153042,-0.036664,0.327683,0.931589,0.008939,0.007104,0.005184,0.001547,-0.00011,0.003115,0.031987,0.309172,-0.950468,0.03199242235521532
-0.153046,-0.036383,0.327797,0.931559,0.005606,0.014716,0.013793,0.000214,-0.000656,-2.9e-05,0.03255,0.308995,-0.950506,0.03255596778832345
-0.153045,-0.036305,0.32787,0.931537,0.006974,0.013297,0.013018,0.000237,-0.001313,0.001603,0.032719,0.308941,-0.950518,0.032724667245930414
-0.153044,-0.036227,0.327944,0.931514,0.008342,0.011878,0.012243,0.00026,-0.001969,0.003235,0.032888,0.308886,-0.95053,0.03289373922221084
-0.152967,-0.035966,0.328091,0.931485,0.017208,0.016651,0.015423,-0.00109,-0.004803,0.001049,0.033372,0.308574,-0.950615,0.03337680965336552
-0.152719,-0.035731,0.328225,0.931487,0.022305,0.015572,0.01202,-0.001015,-0.002227,0.000687,0.033687,0.307967,-0.9508,0.03369283792025775
-0.152471,-0.035495,0.328359,0.93149,0.027402,0.014494,0.008617,-0.00094,0.00035,0.000324,0.034003,0.30736,-0.950986,0.034010531454528224
-0.152058,-0.035214,0.328473,0.931528,0.025663,0.005886,-0.000724,-0.001453,0.000835,-0.00094,0.034288,0.306427,-0.951276,0.034294963127357934
-0.151828,-0.03515,0.328442,0.931579,0.025322,0.003852,-0.004429,-0.000739,0.000262,0.002233,0.034243,0.305969,-0.951425,0.03425007613567856
-0.151677,-0.035059,0.328386,0.931626,0.021528,0.005864,-0.004331,-0.000707,-0.000713,0.002775,0.034293,0.305638,-0.95153,0.03430018008747336
-0.151525,-0.034969,0.328331,0.931674,0.017734,0.007875,-0.004232,-0.000674,-0.001688,0.003318,0.034342,0.305307,-0.951635,0.03434804684369381
-0.151445,-0.034894,0.328289,0.931705,0.013321,0.0075,-0.002391,0.000126,-0.002081,0.002426,0.034414,0.305115,-0.951693,0.034420422955750526
-0.151365,-0.034819,0.328247,0.931735,0.008908,0.007125,-0.000549,0.000927,-0.002475,0.001535,0.034486,0.304923,-0.951752,0.034492891681164414
-0.151359,-0.034656,0.32822,0.931752,0.001063,0.007698,0.002122,-0.001277,-0.001917,0.000991,0.034777,0.304808,-0.951779,0.034783520970041254
-0.151397,-0.034577,0.328252,0.931737,-0.000479,0.004551,0.003865,0.000136,-0.000773,0.000717,0.03496,0.304825,-0.951767,0.03496652050116913
-0.151407,-0.03455,0.328289,0.931724,-0.003104,0.005231,0.006043,0.00025,-0.000681,0.000695,0.035027,0.304823,-0.951765,0.035035544032273346
-0.151445,-0.034517,0.328316,0.931709,-0.006169,0.002623,0.005215,0.000186,-0.000685,4.5e-05,0.035124,0.30487,-0.951746,0.03513126022016873
-0.151483,-0.034484,0.328343,0.931695,-0.009233,1.6e-05,0.004386,0.000122,-0.000689,-0.000605,0.03522,0.304916,-0.951728,0.03522690984455979
-0.151573,-0.034536,0.328447,0.931641,-0.006982,0.000879,0.009719,0.001455,-0.001389,-0.000303,0.035218,0.30511,-0.951666,0.03522437080144228
-0.15164,-0.034545,0.328519,0.931605,-0.009568,0.002677,0.009883,0.001065,-0.001318,0.000501,0.035268,0.305234,-0.951624,0.03527596861519158
-0.151706,-0.034555,0.328591,0.931568,-0.012153,0.004476,0.010047,0.000675,-0.001247,0.001304,0.035319,0.305358,-0.951582,0.03532513438746133
-0.151818,-0.034487,0.328812,0.931474,-0.001801,-0.005239,0.017776,0.000979,-0.001549,0.000117,0.035592,0.305509,-0.951524,0.03559919143653656
-0.151711,-0.034378,0.329118,0.931388,0.004047,0.022841,0.021714,0.002667,0.000977,0.006137,0.035823,0.305232,-0.951604,0.0358307948454605
-0.151781,-0.034255,0.329215,0.931346,-4.8e-05,0.016653,0.018014,-0.000489,0.00138,0.000573,0.03613,0.305276,-0.951578,0.036138514959854456
-0.151791,-0.034149,0.329317,0.931313,0.000486,0.010498,0.016466,-0.000708,0.000514,0.000359,0.036369,0.30522,-0.951587,0.03637591983786023
-0.151766,-0.033937,0.329549,0.931243,0.00808,0.008499,0.015123,-0.000114,0.000689,0.000683,0.036822,0.305029,-0.951631,0.036829805324785754
-0.151708,-0.033817,0.329644,0.931223,0.008462,0.009915,0.012935,-0.000147,0.000892,0.000884,0.037038,0.304843,-0.951682,0.037045400221864644
-0.15165,-0.033697,0.329739,0.931203,0.008845,0.011331,0.010747,-0.000181,0.001095,0.001084,0.037253,0.304656,-0.951734,0.03726096517968171
-0.151592,-0.033577,0.329833,0.931183,0.009227,0.012746,0.00856,-0.000214,0.001297,0.001285,0.037468,0.304469,-0.951785,0.0374761968105022
-0.151563,-0.033478,0.329894,0.93117,0.008362,0.012722,0.008271,-0.000221,0.001339,0.001326,0.037651,0.30435,-0.951816,0.037660932196920766
-0.151547,-0.033262,0.329992,0.931146,0.001513,0.013391,0.011496,-0.000573,0.002042,0.000637,0.038075,0.304178,-0.951854,0.03808424436909088
-0.15158,-0.033188,0.33005,0.931122,-0.000193,0.009209,0.008492,-0.000975,0.002813,-0.000208,0.038255,0.304186,-0.951844,0.03826314008367201
-0.151626,-0.03314,0.330083,0.931105,-0.00083,0.010894,0.006162,-0.000717,0.002785,0.001249,0.038384,0.304238,-0.951822,0.03839412267219896
-0.151672,-0.033093,0.330115,0.931088,-0.001466,0.012579,0.003832,-0.00046,0.002757,0.002707,0.038513,0.30429,-0.951801,0.03852294160192561
-0.151666,-0.032838,0.330084,0.931109,0.013559,0.012381,-0.004147,0.000155,0.001793,0.000712,0.038973,0.304113,-0.951838,0.03898339833356416
-0.151544,-0.032637,0.329958,0.931181,0.022373,0.014758,-0.011166,0.000914,0.000305,-0.000156,0.039224,0.303768,-0.951938,0.0392344668214581
-0.151399,-0.032472,0.32987,0.931241,0.020126,0.010968,-0.006258,0.000725,-0.000896,-0.000431,0.039405,0.303401,-0.952048,0.039415665958335996
-0.151319,-0.032372,0.329817,0.931276,0.015606,0.008332,-0.003812,0.000916,-0.001842,1.6e-05,0.039521,0.303194,-0.952109,0.03953091888288441
-0.15124,-0.032271,0.329763,0.931312,0.011086,0.005696,-0.001365,0.001106,-0.002787,0.000463,0.039637,0.302986,-0.95217,0.0396483601400956
-0.151198,-0.032192,0.329762,0.931321,0.009491,0.004887,0.002135,0.000748,-0.003518,0.000305,0.039757,0.30286,-0.952206,0.03976701902464273
-0.151086,-0.032009,0.329841,0.931318,0.010335,0.006305,0.011753,0.001293,-0.003917,5e-06,0.040047,0.302533,-0.952297,0.04005831145232754
-0.151027,-0.03194,0.32992,0.931302,0.007582,0.00635,0.011489,0.001023,-0.003082,-0.0,0.040162,0.302379,-0.952341,0.04017288862433555
-0.150957,-0.031785,0.330068,0.931266,0.004361,0.00444,0.007917,-0.000151,-0.001686,0.00138,0.040452,0.302145,-0.952403,0.040462610680086095
-0.150922,-0.031718,0.330097,0.931264,0.004355,0.006538,0.006925,0.000184,-0.001131,0.001705,0.040562,0.302036,-0.952433,0.04057326673192245
-0.150887,-0.031651,0.330125,0.931262,0.004348,0.008635,0.005933,0.000519,-0.000576,0.002031,0.040672,0.301928,-0.952463,0.04068361665712175
-0.150819,-0.031496,0.33019,0.931255,0.004616,0.008149,0.000703,-0.000372,-0.000183,0.000766,0.040936,0.301701,-0.952523,0.04094767821368285
-0.150826,-0.031344,0.33013,0.93128,-0.000952,0.008689,-0.000806,-0.000177,0.001193,0.001302,0.041205,0.301618,-0.952538,0.04121596243643028
-0.150871,-0.031269,0.330101,0.931286,-0.002149,0.010331,-0.004619,0.000209,-0.000206,0.000823,0.041365,0.301652,-0.95252,0.0413763771546803
-0.150914,-0.031228,0.330053,0.931298,-0.002344,0.010598,-0.005238,9.5e-05,-9.3e-05,0.000373,0.041454,0.301705,-0.9525,0.04146597092434909
-0.150979,-0.031043,0.329971,0.931322,0.004525,0.010143,-0.003896,0.000391,-0.000599,0.000669,0.041815,0.301708,-0.952483,0.041827520956488395
-0.150958,-0.030953,0.329942,0.931339,0.006783,0.009925,-0.0033,0.001,-0.000395,0.000566,0.041959,0.301611,-0.952507,0.04197161863717643
-0.150937,-0.030862,0.329912,0.931356,0.009041,0.009708,-0.002703,0.001609,-0.000192,0.000462,0.042104,0.301515,-0.952531,0.04211728797681132
-0.150821,-0.030651,0.329837,0.931408,0.017187,0.010104,-0.001744,0.002038,0.000679,0.001052,0.042396,0.301171,-0.952627,0.04240822956448126
-0.150714,-0.030495,0.329821,0.931436,0.019139,0.009501,-0.002014,0.001833,-1.7e-05,0.001118,0.04261,0.300877,-0.952711,0.042621906259425885
-0.150608,-0.030339,0.329806,0.931464,0.021092,0.008899,-0.002284,0.001627,-0.000713,0.001185,0.042824,0.300583,-0.952794,0.04283657095211536
-0.150511,-0.030225,0.329798,0.931486,0.017491,0.006661,-0.002399,0.002429,-0.000151,0.000644,0.042969,0.300333,-0.952866,0.042981357572850515
-0.150294,-0.030046,0.329768,0.931538,0.009424,0.002394,-0.001205,0.001814,0.0007,-0.000223,0.043145,0.299825,-0.953018,0.04315972021722656
-0.150238,-0.029996,0.329784,0.931542,0.01083,-0.000917,0.000559,0.00174,0.001146,0.00022,0.043207,0.29969,-0.953058,0.043220564389421186
-0.150173,-0.029961,0.32977,0.931559,0.010141,-0.000237,-0.002154,0.001662,0.001618,0.000687,0.043224,0.29955,-0.953101,0.043237692893439865
-0.149977,-0.029849,0.329725,0.93161,0.017321,0.004091,-0.004491,0.001353,0.003968,0.002978,0.043287,0.299125,-0.953232,0.04330060862829185
-0.149875,-0.029802,0.329692,0.93164,0.021456,0.003924,-0.006606,0.00196,0.003398,0.002169,0.043296,0.298909,-0.953299,0.04330924429433073
-0.14957,-0.029661,0.329591,0.931729,0.027178,0.003456,-0.010132,-0.000449,0.002362,0.001159,0.043322,0.29827,-0.953498,0.043335386384533034
-0.149397,-0.029582,0.329518,0.931785,0.03031,0.005445,-0.011618,0.000573,0.00082,0.000174,0.04333,0.297908,-0.953611,0.043343443500208585
-0.149234,-0.029487,0.329461,0.931835,0.03252,-0.000133,-0.007174,-6.5e-05,-0.000957,-0.000976,0.043379,0.297551,-0.95372,0.043393145138531625
-0.148701,-0.029307,0.329425,0.931938,0.043607,-0.000219,-0.000687,0.000963,-0.001917,0.001896,0.043347,0.296468,-0.954059,0.04336062601007539
-0.148456,-0.029206,0.329443,0.931974,0.04353,-0.002172,0.003116,0.0009,-0.002417,0.000545,0.043378,0.295957,-0.954216,0.04339072913438943
-0.148211,-0.029104,0.329461,0.93201,0.043452,-0.004125,0.00692,0.000837,-0.002917,-0.000805,0.043409,0.295445,-0.954373,0.04342269497776727
-0.147562,-0.028954,0.329543,0.932088,0.046009,-0.010545,0.004746,0.000345,-0.000717,0.000619,0.043281,0.294165,-0.954774,0.043294220199141496
-0.147258,-0.02891,0.329589,0.932121,0.041648,-0.009438,0.004417,0.000812,-0.001878,0.001088,0.043175,0.293582,-0.954958,0.04318742164635703
-0.146681,-0.02889,0.329686,0.932179,0.02046,-0.017867,0.001333,0.000332,-0.002072,-0.000647,0.042856,0.292516,-0.9553,0.042869171088469084
-0.14652,-0.028991,0.329709,0.932193,0.00959,-0.025453,-0.002334,-0.000291,-0.00228,-0.000541,0.042568,0.292288,-0.955383,0.042580376665980045
-0.14646,-0.029111,0.329723,0.932194,0.003339,-0.022407,-0.002615,0.000374,-0.00206,0.000822,0.042308,0.292255,-0.955404,0.04232089415729705
-0.146427,-0.02946,0.329712,0.932192,-0.015402,-0.018237,-0.00372,0.00097,-0.001863,0.002043,0.041634,0.292423,-0.955382,0.04164476168665058
-0.146601,-0.029711,0.329743,0.932145,-0.021322,-0.015852,0.002947,0.001164,-0.002236,0.002451,0.041291,0.292902,-0.955251,0.04130312939627575
-0.146737,-0.029868,0.3298,0.932099,-0.022842,-0.012924,0.005545,0.000236,-0.001649,0.001044,0.041107,0.293248,-0.955152,0.04111944587678215
-0.146873,-0.030026,0.329857,0.932052,-0.024363,-0.009996,0.008143,-0.000692,-0.001063,-0.000363,0.040923,0.293595,-0.955054,0.04093401812508217
-0.146976,-0.030166,0.329913,0.932012,-0.022657,-0.011882,0.007291,-0.000464,-2e-05,-0.00056,0.040748,0.29387,-0.954976,0.04075972331652231
-0.14719,-0.030479,0.330029,0.931927,-0.022902,-0.018154,-0.001331,-0.000714,0.001946,-0.000376,0.040345,0.294459,-0.954812,0.040356484465405296
-0.147291,-0.030634,0.33002,0.931909,-0.02209,-0.018846,-0.006079,-0.000574,0.001992,0.000532,0.040122,0.294742,-0.954734,0.04013252319733054
-0.147364,-0.030804,0.330013,0.931894,-0.021312,-0.017821,-0.007537,-0.000302,0.001222,0.000621,0.039851,0.294987,-0.95467,0.03986250211930656
-0.147497,-0.031026,0.329949,0.931888,-0.027833,-0.017121,-0.012046,-0.000675,0.000462,0.000736,0.039508,0.295376,-0.954564,0.03951774582292538
-0.14763,-0.031248,0.329885,0.931883,-0.034354,-0.016421,-0.016556,-0.001048,-0.000298,0.000851,0.039164,0.295765,-0.954458,0.039172902939852705
-0.147764,-0.031469,0.32982,0.931877,-0.040875,-0.015721,-0.021065,-0.001421,-0.001058,0.000966,0.03882,0.296153,-0.954351,0.03883032762309491
-0.148265,-0.032138,0.329585,0.931858,-0.034451,-0.030664,-0.013912,-0.001288,-0.004072,0.002094,0.037836,0.297509,-0.953969,0.037844768308375125
-0.148622,-0.032546,0.329418,0.931845,-0.032424,0.004805,-0.013045,-0.001566,-0.002505,0.004266,0.037261,0.298427,-0.953705,0.037270497331731066
-0.148838,-0.032633,0.329331,0.931839,-0.036356,-0.004735,-0.01636,-0.002499,-0.001895,-1.6e-05,0.037217,0.298881,-0.953564,0.0372251271921109
-0.149029,-0.032794,0.329216,0.931843,-0.034383,-0.007397,-0.01586,-0.002123,-0.001175,0.000168,0.037007,0.299335,-0.95343,0.03701619652292708
-0.149482,-0.033218,0.32891,0.931864,-0.041279,-0.019557,-0.029059,-0.000975,0.00173,-0.001783,0.036422,0.300445,-0.953104,0.03643099064006925
-0.149625,-0.033415,0.328757,0.931888,-0.036052,-0.017812,-0.029948,-0.001009,0.000884,-0.000137,0.036103,0.300837,-0.952992,0.03611030439484271
-0.149972,-0.033871,0.3283,0.931976,-0.027878,-0.01267,-0.035714,-0.00285,0.00028,0.001123,0.035338,0.301781,-0.952722,0.03534505581880796
-0.150083,-0.034003,0.3281,0.932024,-0.025015,-0.013342,-0.040828,-0.002828,0.001922,0.001038,0.035101,0.302075,-0.952638,0.03510845247803018
-0.150356,-0.034418,0.327412,0.932207,-0.021989,-0.007279,-0.051514,-0.002039,0.001325,0.002871,0.034287,0.302864,-0.952417,0.034294037991379145
-0.150463,-0.034547,0.327116,0.932289,-0.021086,-0.00345,-0.053537,-0.001441,-0.000678,0.002456,0.034022,0.303152,-0.952335,0.0340287001391351
-0.150705,-0.034867,0.326313,0.932519,-0.021055,-0.001192,-0.056417,-0.001215,-0.001134,0.000943,0.033326,0.303825,-0.952145,0.03333189308054793
-0.15082,-0.03499,0.32599,0.932609,-0.02061,0.00163,-0.05577,-0.000655,-0.000948,0.000847,0.033067,0.304125,-0.952058,0.033073675155975035
-0.150972,-0.035081,0.325628,0.932708,-0.021781,0.00184,-0.054128,-0.001058,-0.000832,0.000664,0.03288,0.304472,-0.951954,0.03288668982965717
-0.151123,-0.035172,0.325266,0.932806,-0.022952,0.00205,-0.052487,-0.00146,-0.000717,0.00048,0.032693,0.304818,-0.951849,0.03269886888626708
-0.151472,-0.035435,0.324442,0.933026,-0.024072,-0.00652,-0.041997,1.5e-05,-0.000186,4.4e-05,0.032164,0.305647,-0.951601,0.032169753049658675
-0.151611,-0.035583,0.324178,0.93309,-0.027456,-0.007652,-0.039553,0.000204,-0.002554,0.0006,0.031894,0.306003,-0.951496,0.03189902809944406
-0.151943,-0.035909,0.323699,0.93319,-0.02659,-0.008377,-0.023923,-0.001195,-0.002086,-0.000253,0.031347,0.306831,-0.951248,0.0313528913100535
-0.152075,-0.036072,0.323561,0.93321,-0.031438,-0.012938,-0.020127,-0.000951,-0.000535,0.000103,0.031086,0.307179,-0.951144,0.031090584487746098
-0.152252,-0.036216,0.323472,0.933206,-0.037527,-0.01193,-0.015844,-0.000565,-0.001107,0.000902,0.030905,0.307594,-0.951016,0.030909462451197696
-0.152795,-0.036644,0.323338,0.933147,-0.045638,-0.015621,-0.000226,-0.002141,-0.0027,-4.6e-05,0.030421,0.308857,-0.950622,0.030425075874033026
-0.153029,-0.036888,0.323333,0.933101,-0.049391,-0.019928,0.003495,-0.001741,-0.001044,0.001275,0.030119,0.309436,-0.950443,0.030122747193876292
-0.153732,-0.037473,0.32341,0.932935,-0.063385,-0.023131,0.006292,-0.003169,0.000867,-0.000506,0.029517,0.311082,-0.949925,0.029521473622826998
-0.154013,-0.037705,0.323439,0.93287,-0.069161,-0.023507,0.00422,-0.002804,0.001762,0.000137,0.02928,0.311738,-0.949717,0.02928407999750412
-0.155133,-0.038653,0.323342,0.932679,-0.063936,-0.027617,-0.017251,-0.001142,0.003742,0.00131,0.028221,0.314374,-0.94888,0.02822409326490248
-0.155614,-0.039119,0.323154,0.932645,-0.052882,-0.020738,-0.026708,-0.001764,0.00376,0.002786,0.027605,0.315547,-0.948508,0.027609801298745806
