t_sec,event,value,confidence
1760039328.166,SLOUCH_START,type=normal_slouch,0.000
1760039328.616,SLOUCHED_HOLD_START,type=normal_slouch,0.000
1760039333.541,RECOVERY_START,type=normal_slouch,2.145
1760039335.409,UPRIGHT_HOLD_START,type=normal_slouch,6.000
1760039341.737,SLOUCH_START,type=fast_slouch,0.000
1760039342.187,SLOUCHED_HOLD_START,type=fast_slouch,0.000
1760039347.409,RECOVERY_START,type=fast_slouch,2.084
1760039348.561,UPRIGHT_HOLD_START,type=fast_slouch,6.000
1760039357.866,SLOUCH_START,type=micro_slouch,5.507
1760039358.887,SLOUCHED_HOLD_START,type=micro_slouch,4.058
1760039362.087,RECOVERY_START,type=micro_slouch,0.000
1760039362.487,UPRIGHT_HOLD_START,type=micro_slouch,0.000
1760039372.333,SLOUCH_START,type=lateral_left,0.000
1760039372.783,SLOUCHED_HOLD_START,type=lateral_left,0.000
1760039377.983,RECOVERY_START,type=lateral_left,1.621
1760039379.784,UPRIGHT_HOLD_START,type=lateral_left,6.000
1760039388.360,SLOUCH_START,type=lateral_right,0.000
1760039388.810,SLOUCHED_HOLD_START,type=lateral_right,0.000
1760039393.802,RECOVERY_START,type=lateral_right,4.356
1760039395.438,UPRIGHT_HOLD_START,type=lateral_right,6.000
1760039448.130,SLOUCH_START,type=normal_slouch,1.848
1760039450.049,SLOUCHED_HOLD_START,type=normal_slouch,2.346
1760039453.188,RECOVERY_START,type=normal_slouch,2.259
1760039454.416,UPRIGHT_HOLD_START,type=normal_slouch,6.000
1760039462.664,SLOUCH_START,type=fast_slouch,2.126
1760039463.860,SLOUCHED_HOLD_START,type=fast_slouch,4.458
1760039467.522,RECOVERY_START,type=fast_slouch,2.228
1760039468.705,UPRIGHT_HOLD_START,type=fast_slouch,6.000
1760039477.915,SLOUCH_START,type=micro_slouch,1.663
1760039478.870,SLOUCHED_HOLD_START,type=micro_slouch,2.582
1760039482.913,RECOVERY_START,type=micro_slouch,2.361
1760039483.991,UPRIGHT_HOLD_START,type=micro_slouch,6.000
1760039492.898,SLOUCH_START,type=lateral_left,0.000
1760039493.348,SLOUCHED_HOLD_START,type=lateral_left,0.000
1760039498.377,RECOVERY_START,type=lateral_left,4.769
1760039500.301,UPRIGHT_HOLD_START,type=lateral_left,6.000
1760039506.940,SLOUCH_START,type=lateral_right,0.000
1760039507.390,SLOUCHED_HOLD_START,type=lateral_right,0.000
1760039512.393,RECOVERY_START,type=lateral_right,2.057
1760039513.776,UPRIGHT_HOLD_START,type=lateral_right,6.000
1760039567.795,SLOUCH_START,type=normal_slouch,1.644
1760039569.172,SLOUCHED_HOLD_START,type=normal_slouch,1.793
1760039572.799,RECOVERY_START,type=normal_slouch,2.913
1760039574.326,UPRIGHT_HOLD_START,type=normal_slouch,6.000
1760039582.866,SLOUCH_START,type=fast_slouch,0.000
1760039583.316,SLOUCHED_HOLD_START,type=fast_slouch,0.000
1760039588.457,RECOVERY_START,type=fast_slouch,2.215
1760039589.853,UPRIGHT_HOLD_START,type=fast_slouch,6.000
1760039599.306,SLOUCH_START,type=micro_slouch,3.745
1760039600.168,SLOUCHED_HOLD_START,type=micro_slouch,4.837
1760039603.953,RECOVERY_START,type=micro_slouch,2.743
1760039605.138,UPRIGHT_HOLD_START,type=micro_slouch,6.000
1760039611.900,SLOUCH_START,type=lateral_left,0.000
1760039612.350,SLOUCHED_HOLD_START,type=lateral_left,0.000
1760039617.439,RECOVERY_START,type=lateral_left,2.409
1760039618.932,UPRIGHT_HOLD_START,type=lateral_left,6.000
1760039628.499,SLOUCH_START,type=lateral_right,0.000
1760039628.949,SLOUCHED_HOLD_START,type=lateral_right,0.000
1760039633.860,RECOVERY_START,type=lateral_right,2.208
1760039635.881,UPRIGHT_HOLD_START,type=lateral_right,6.000
