t_sec,event,value,confidence
1760109105.150,SLOUCH_START,type=normal_slouch,0.000
1760109105.600,SLOUCHED_HOLD_START,type=normal_slouch,0.000
1760109110.884,RECOVERY_START,type=normal_slouch,2.296
1760109111.656,UPRIGHT_HOLD_START,type=normal_slouch,6.000
1760109118.721,SLOUCH_START,type=fast_slouch,0.000
1760109119.171,SLOUCHED_HOLD_START,type=fast_slouch,0.000
1760109124.633,RECOVERY_START,type=fast_slouch,3.102
1760109125.766,UPRIGHT_HOLD_START,type=fast_slouch,6.000
1760109134.571,SLOUCH_START,type=micro_slouch,0.000
1760109134.971,SLOUCHED_HOLD_START,type=micro_slouch,0.000
1760109140.233,RECOVERY_START,type=micro_slouch,2.264
1760109140.661,UPRIGHT_HOLD_START,type=micro_slouch,6.000
1760109150.350,SLOUCH_START,type=lateral_left,2.399
1760109152.071,SLOUCHED_HOLD_START,type=lateral_left,3.224
1760109155.156,RECOVERY_START,type=lateral_left,2.496
1760109156.231,UPRIGHT_HOLD_START,type=lateral_left,6.000
1760109165.344,SLOUCH_START,type=lateral_right,0.000
1760109165.794,SLOUCHED_HOLD_START,type=lateral_right,0.000
1760109171.204,RECOVERY_START,type=lateral_right,2.285
1760109172.107,UPRIGHT_HOLD_START,type=lateral_right,6.000
1760109224.715,SLOUCH_START,type=normal_slouch,0.000
1760109225.165,SLOUCHED_HOLD_START,type=normal_slouch,0.000
1760109230.737,RECOVERY_START,type=normal_slouch,2.975
1760109231.644,UPRIGHT_HOLD_START,type=normal_slouch,6.000
1760109240.046,SLOUCH_START,type=fast_slouch,5.096
1760109240.988,SLOUCHED_HOLD_START,type=fast_slouch,4.111
1760109244.607,RECOVERY_START,type=fast_slouch,2.774
1760109245.804,UPRIGHT_HOLD_START,type=fast_slouch,6.000
1760109254.458,SLOUCH_START,type=micro_slouch,0.000
1760109254.858,SLOUCHED_HOLD_START,type=micro_slouch,0.000
1760109258.958,RECOVERY_START,type=micro_slouch,0.000
1760109259.358,UPRIGHT_HOLD_START,type=micro_slouch,0.000
1760109269.882,SLOUCH_START,type=lateral_left,0.000
1760109270.332,SLOUCHED_HOLD_START,type=lateral_left,0.000
1760109275.642,RECOVERY_START,type=lateral_left,2.516
1760109276.927,UPRIGHT_HOLD_START,type=lateral_left,6.000
1760109284.870,SLOUCH_START,type=lateral_right,2.001
1760109287.087,SLOUCHED_HOLD_START,type=lateral_right,4.988
1760109289.626,RECOVERY_START,type=lateral_right,2.280
1760109290.687,UPRIGHT_HOLD_START,type=lateral_right,6.000
1760109344.312,SLOUCH_START,type=normal_slouch,0.000
1760109344.762,SLOUCHED_HOLD_START,type=normal_slouch,0.000
1760109350.775,RECOVERY_START,type=normal_slouch,2.155
1760109351.254,UPRIGHT_HOLD_START,type=normal_slouch,6.000
1760109361.226,SLOUCH_START,type=fast_slouch,1.954
1760109362.264,SLOUCHED_HOLD_START,type=fast_slouch,1.995
1760109365.985,RECOVERY_START,type=fast_slouch,4.819
1760109366.893,UPRIGHT_HOLD_START,type=fast_slouch,6.000
1760109375.640,SLOUCH_START,type=micro_slouch,0.000
1760109376.040,SLOUCHED_HOLD_START,type=micro_slouch,0.000
1760109380.140,RECOVERY_START,type=micro_slouch,0.000
1760109380.540,UPRIGHT_HOLD_START,type=micro_slouch,0.000
1760109388.884,SLOUCH_START,type=lateral_left,0.000
1760109389.334,SLOUCHED_HOLD_START,type=lateral_left,0.000
1760109394.552,RECOVERY_START,type=lateral_left,1.530
1760109396.727,UPRIGHT_HOLD_START,type=lateral_left,6.000
1760109405.483,SLOUCH_START,type=lateral_right,0.000
1760109405.933,SLOUCHED_HOLD_START,type=lateral_right,0.000
1760109411.255,RECOVERY_START,type=lateral_right,2.536
1760109412.287,UPRIGHT_HOLD_START,type=lateral_right,6.000
