timestamp,quat_x,quat_y,quat_z,quat_w,rot_x,rot_y,rot_z,acc_x,acc_y,acc_z,grav_x,grav_y,grav_z
1760109579.838954,-0.048544,0.069241,-0.000000,0.996418,0.004099,0.007445,-0.058498,0.002574,-0.003773,0.001983,0.137986,0.096741,-0.985698
1760109579.868183,-0.048500,0.069193,-0.000368,0.996424,0.007366,-0.001230,-0.054832,0.002027,-0.001222,0.002226,0.137856,0.096705,-0.985720
1760109579.868595,-0.048457,0.069145,-0.000735,0.996429,0.010633,-0.009904,-0.051167,0.001480,0.001328,0.002470,0.137725,0.096669,-0.985742
1760109579.868904,-0.048413,0.069097,-0.001103,0.996434,0.013900,-0.018579,-0.047501,0.000933,0.003880,0.002714,0.137595,0.096632,-0.985764
1760109579.904471,-0.046899,0.069993,-0.001489,0.996443,0.003524,-0.024455,-0.019318,-0.001181,0.016024,-0.001307,0.139348,0.093674,-0.985803
1760109579.936289,-0.046971,0.070689,-0.001422,0.996391,-0.017159,-0.023417,0.018119,-0.006886,0.013218,-0.001017,0.140734,0.093804,-0.985594
1760109579.965938,-0.047906,0.070338,-0.001303,0.996371,-0.015776,-0.022901,0.019247,-0.004237,0.007930,-0.002224,0.140041,0.095647,-0.985515
1760109579.966257,-0.048841,0.069987,-0.001185,0.996351,-0.014393,-0.022385,0.020374,-0.001588,0.002642,-0.003435,0.139348,0.097491,-0.985433
1760109579.967664,-0.050850,0.069419,-0.000943,0.996290,-0.013715,-0.013614,0.018294,-0.000499,-0.005085,-0.002639,0.138227,0.101454,-0.985191
1760109580.011708,-0.051198,0.069278,-0.000900,0.996282,-0.012074,-0.015773,0.009317,-0.003079,-0.006731,-0.000780,0.137949,0.102140,-0.985159
1760109580.012051,-0.051546,0.069138,-0.000858,0.996274,-0.010434,-0.017932,0.000340,-0.005659,-0.008376,0.001078,0.137671,0.102826,-0.985126
1760109580.042082,-0.051574,0.068575,-0.001001,0.996311,-0.012112,-0.021715,-0.012837,-0.000639,-0.004050,-0.004188,0.136542,0.102904,-0.985275
1760109580.073359,-0.051187,0.068576,-0.001232,0.996331,-0.013036,0.003410,-0.030673,-0.000778,-0.003559,-0.004243,0.136522,0.102168,-0.985354
