timestamp,quat_x,quat_y,quat_z,quat_w,rot_x,rot_y,rot_z,acc_x,acc_y,acc_z,grav_x,grav_y,grav_z
1759863952.563534,-0.071760,0.395815,0.000000,0.915522,-0.043748,-0.000992,-0.000011,-0.601965,0.121961,-0.286789,0.724754,0.131397,-0.676363
1759863952.594634,-0.118250,0.078309,-0.136587,0.980423,-0.079529,-0.013022,-0.010245,0.004133,-0.001893,0.001553,0.121249,0.253262,-0.959769
1759863952.594952,-0.118382,0.078363,-0.136580,0.980403,-0.077708,-0.016742,-0.010776,0.002733,0.001166,0.002681,0.121318,0.253529,-0.959690
1759863952.642121,-0.118449,0.078488,-0.136557,0.980388,-0.076978,-0.018441,-0.011742,0.001718,0.004800,0.002783,0.121547,0.253689,-0.959619
1759863952.642482,-0.118517,0.078613,-0.136535,0.980373,-0.076249,-0.020140,-0.012707,0.000703,0.008433,0.002885,0.121777,0.253848,-0.959548
1759863952.674831,-0.118925,0.078898,-0.136552,0.980299,-0.070344,-0.022754,-0.021344,0.000287,0.011506,0.002146,0.122209,0.254712,-0.959264
1759863952.675167,-0.119410,0.078930,-0.136648,0.980224,-0.064325,-0.020628,-0.026476,-0.000294,0.011186,0.000585,0.122104,0.255668,-0.959023
1759863952.705626,-0.119995,0.078989,-0.136782,0.980129,-0.054402,-0.020103,-0.033475,-0.000902,0.009751,-0.002678,0.122012,0.256829,-0.958724
1759863952.748990,-0.121322,0.079115,-0.137261,0.979888,-0.032164,0.012229,-0.032129,0.000165,0.006505,-0.006595,0.121743,0.259482,-0.958044
1759863952.750380,-0.121642,0.079199,-0.137618,0.979792,-0.003667,0.004776,-0.035915,-0.003747,0.004048,-0.002805,0.121717,0.260166,-0.957862
1759863952.750733,-0.121962,0.079282,-0.137975,0.979695,0.024830,-0.002677,-0.039702,-0.007659,0.001590,0.000983,0.121689,0.260849,-0.957679
1759863952.791446,-0.121939,0.079264,-0.138176,0.979671,0.033699,0.009117,-0.035605,-0.004473,0.000641,-0.003658,0.121607,0.260825,-0.957696
1759863952.791794,-0.121916,0.079245,-0.138377,0.979647,0.042568,0.020910,-0.031507,-0.001288,-0.000308,-0.008299,0.121524,0.260802,-0.957713
1759863952.822015,-0.121253,0.079730,-0.139056,0.979594,0.058918,0.058309,-0.029552,-0.002108,-0.000017,-0.005943,0.122485,0.259731,-0.957882
1759863952.861483,-0.120674,0.079935,-0.139728,0.979553,0.040851,0.032240,-0.029726,-0.006195,0.002625,0.004785,0.122878,0.258751,-0.958097
1759863952.861863,-0.120492,0.079913,-0.139956,0.979545,0.035438,0.013780,-0.034131,-0.005483,0.005505,0.006249,0.122829,0.258424,-0.958191
1759863952.894565,-0.120199,0.079719,-0.140365,0.979538,0.002464,-0.017895,-0.004417,-0.003644,0.010940,0.007068,0.122432,0.257859,-0.958394
1759863952.895409,-0.120280,0.079531,-0.140331,0.979548,-0.006303,-0.025248,0.016987,-0.003484,0.009024,0.006293,0.122051,0.257961,-0.958415
1759863952.922855,-0.120426,0.079238,-0.140082,0.979590,-0.003874,-0.040962,0.037800,-0.002548,0.008380,0.007094,0.121503,0.258135,-0.958438
1759863952.955665,-0.120764,0.078364,-0.139153,0.979751,0.002533,-0.071358,0.072201,-0.003877,0.010098,0.005822,0.119946,0.258446,-0.958550
1759863952.955914,-0.121012,0.077994,-0.138543,0.979836,-0.013015,-0.073180,0.084304,-0.003434,0.010950,0.004888,0.119312,0.258754,-0.958546
1759863952.985232,-0.121344,0.077578,-0.137898,0.979919,-0.025441,-0.078986,0.084862,-0.003637,0.010058,0.004334,0.118574,0.259211,-0.958514
1759863953.021764,-0.122376,0.076553,-0.136422,0.980078,-0.055109,-0.101817,0.067515,-0.005372,0.009070,0.001233,0.116666,0.260762,-0.958328
1759863953.022058,-0.122912,0.076204,-0.136029,0.980093,-0.071474,-0.082216,0.055242,-0.001926,0.007927,-0.003769,0.115935,0.261662,-0.958171
1759863953.057033,-0.124396,0.075603,-0.135196,0.980067,-0.100828,-0.043579,0.041253,-0.004921,0.008925,-0.002600,0.114555,0.264275,-0.957620
1759863953.092294,-0.125034,0.075432,-0.135019,0.980024,-0.096321,-0.041925,0.029354,-0.006431,0.010997,-0.000992,0.114085,0.265442,-0.957353
1759863953.092634,-0.125672,0.075261,-0.134841,0.979980,-0.091815,-0.040270,0.017455,-0.007942,0.013070,0.000613,0.113616,0.266609,-0.957085
