t_sec,event,value,confidence
1760006548.474,SLOUCH_START,type=normal_slouch,1.877
1760006549.465,SLOUCHED_HOLD_START,type=normal_slouch,2.415
1760006551.947,RECOVERY_START,type=normal_slouch,0.000
1760006552.397,UPRIGHT_HOLD_START,type=normal_slouch,0.000
1760006561.018,SLOUCH_START,type=fast_slouch,0.000
1760006561.468,SLOUCHED_HOLD_START,type=fast_slouch,0.000
1760006566.685,RECOVERY_START,type=fast_slouch,2.257
1760006567.691,UPRIGHT_HOLD_START,type=fast_slouch,6.000
1760006576.868,SLOUCH_START,type=micro_slouch,0.000
1760006577.268,SLOUCHED_HOLD_START,type=micro_slouch,0.000
1760006582.389,RECOVERY_START,type=micro_slouch,1.945
1760006583.656,UPRIGHT_HOLD_START,type=micro_slouch,6.000
1760006591.614,SLOUCH_START,type=lateral_left,0.000
1760006592.064,SLOUCHED_HOLD_START,type=lateral_left,0.000
1760006597.232,RECOVERY_START,type=lateral_left,2.541
1760006598.308,UPRIGHT_HOLD_START,type=lateral_left,6.000
1760006607.641,SLOUCH_START,type=lateral_right,0.000
1760006608.091,SLOUCHED_HOLD_START,type=lateral_right,0.000
1760006613.270,RECOVERY_START,type=lateral_right,2.269
1760006614.398,UPRIGHT_HOLD_START,type=lateral_right,6.000
1760006667.012,SLOUCH_START,type=normal_slouch,0.000
1760006667.462,SLOUCHED_HOLD_START,type=normal_slouch,0.000
1760006671.512,RECOVERY_START,type=normal_slouch,0.000
1760006671.962,UPRIGHT_HOLD_START,type=normal_slouch,0.000
1760006682.212,SLOUCH_START,type=fast_slouch,3.906
1760006683.050,SLOUCHED_HOLD_START,type=fast_slouch,5.411
1760006686.758,RECOVERY_START,type=fast_slouch,3.387
1760006688.644,UPRIGHT_HOLD_START,type=fast_slouch,6.000
1760006696.755,SLOUCH_START,type=micro_slouch,0.000
1760006697.155,SLOUCHED_HOLD_START,type=micro_slouch,0.000
1760006702.423,RECOVERY_START,type=micro_slouch,2.226
1760006702.823,UPRIGHT_HOLD_START,type=micro_slouch,0.000
1760006712.994,SLOUCH_START,type=lateral_left,3.191
1760006716.015,SLOUCHED_HOLD_START,type=lateral_left,6.984
1760006717.764,RECOVERY_START,type=lateral_left,2.366
1760006719.354,UPRIGHT_HOLD_START,type=lateral_left,6.000
1760006726.898,SLOUCH_START,type=lateral_right,2.144
1760006728.727,SLOUCHED_HOLD_START,type=lateral_right,6.679
1760006731.784,RECOVERY_START,type=lateral_right,3.007
1760006732.901,UPRIGHT_HOLD_START,type=lateral_right,6.000
1760006786.609,SLOUCH_START,type=normal_slouch,0.000
1760006787.059,SLOUCHED_HOLD_START,type=normal_slouch,0.000
1760006792.290,RECOVERY_START,type=normal_slouch,3.382
1760006792.867,UPRIGHT_HOLD_START,type=normal_slouch,6.000
1760006802.147,SLOUCH_START,type=fast_slouch,0.000
1760006802.597,SLOUCHED_HOLD_START,type=fast_slouch,0.000
1760006808.194,RECOVERY_START,type=fast_slouch,2.479
1760006808.867,UPRIGHT_HOLD_START,type=fast_slouch,6.000
1760006817.937,SLOUCH_START,type=micro_slouch,0.000
1760006818.337,SLOUCHED_HOLD_START,type=micro_slouch,0.000
1760006823.391,RECOVERY_START,type=micro_slouch,4.792
1760006824.927,UPRIGHT_HOLD_START,type=micro_slouch,6.000
1760006832.129,SLOUCH_START,type=lateral_left,3.427
1760006834.601,SLOUCHED_HOLD_START,type=lateral_left,6.137
1760006836.795,RECOVERY_START,type=lateral_left,2.238
1760006837.857,UPRIGHT_HOLD_START,type=lateral_left,6.000
1760006847.780,SLOUCH_START,type=lateral_right,0.000
1760006848.230,SLOUCHED_HOLD_START,type=lateral_right,0.000
1760006853.280,RECOVERY_START,type=lateral_right,2.095
1760006854.696,UPRIGHT_HOLD_START,type=lateral_right,6.000
