quat_x,quat_y,quat_z,quat_w,rot_x,rot_y,rot_z,acc_x,acc_y,acc_z,grav_x,grav_y,grav_z,pitch_rad
0.015073,0.517367,0.0,0.855631,-0.050917,0.04372,0.031865,-0.732399,0.182961,-0.526696,0.88535,-0.025794,-0.464209,1.087247329485405
-0.019302,0.34183,-0.087498,0.93548,-0.052841,0.047252,0.033247,-0.487909,0.061126,-0.218878,0.636173,0.095932,-0.765559,0.6895272233738823
-0.052789,0.150561,-0.170968,0.972273,-0.054765,0.050783,0.034628,-0.131144,0.002816,-0.028878,0.274722,0.154133,-0.94909,0.2783009100450255
-0.063817,0.087922,-0.19568,0.974631,-0.076047,0.015436,0.038465,-0.00314,0.005694,0.005109,0.146408,0.158806,-0.976394,0.14693574857276678
-0.063111,0.089396,-0.194826,0.974714,-0.111486,0.006606,0.035318,-0.004939,0.009661,0.003252,0.14968,0.157863,-0.976051,0.15024435393751479
-0.06342,0.088653,-0.194533,0.974821,-0.123346,-0.000806,0.033308,-0.00319,0.011504,0.004434,0.148167,0.158138,-0.976237,0.14871460351963153
-0.064324,0.088143,-0.194261,0.974862,-0.130167,-0.007071,0.03548,-0.001609,0.0128,0.0059,0.146864,0.15966,-0.976186,0.14739636855982696
-0.065228,0.087634,-0.193989,0.974902,-0.136989,-0.013336,0.037653,-2.8e-05,0.014097,0.007362,0.145561,0.161182,-0.976131,0.1460810947993488
-0.068251,0.087816,-0.19354,0.974768,-0.120598,-0.013865,0.004116,0.001534,0.013837,-0.004444,0.144781,0.167049,-0.97526,0.14529250231766808
-0.06928,0.08805,-0.193601,0.974662,-0.112467,-0.005628,-0.008976,0.000258,0.014533,-0.004929,0.144812,0.169141,-0.974895,0.14532359736151368
-0.070308,0.088283,-0.193662,0.974555,-0.104336,0.002608,-0.022069,-0.001018,0.01523,-0.00542,0.144842,0.171233,-0.974526,0.14535258164083095
-0.071337,0.088517,-0.193722,0.974447,-0.096206,0.010845,-0.035162,-0.002293,0.015928,-0.005914,0.144871,0.173324,-0.974152,0.14538275512116802
-0.073177,0.089101,-0.194359,0.974131,-0.076364,0.034282,-0.053705,-0.002043,0.020713,0.00044,0.145147,0.177203,-0.973412,0.14566141830499543
-0.073848,0.089503,-0.194695,0.973976,-0.07079,0.032417,-0.049002,-0.005432,0.024277,0.006781,0.145593,0.178705,-0.973071,0.14611119585206972
-0.075325,0.089845,-0.19523,0.973724,-0.049535,0.011678,-0.026013,-6.3e-05,0.025396,0.007002,0.145557,0.181772,-0.972508,0.14607601197263975
-0.075885,0.089956,-0.195393,0.973638,-0.033333,0.009254,-0.023575,0.000427,0.022192,0.006633,0.145514,0.182922,-0.972299,0.14603285061964555
-0.076445,0.090067,-0.195556,0.973551,-0.017131,0.00683,-0.021136,0.000917,0.018988,0.006263,0.14547,0.184073,-0.972088,0.14598909982957084
-0.07793,0.090206,-0.195923,0.973347,-0.00703,0.000549,-0.010899,0.002592,0.016852,0.005567,0.145067,0.187053,-0.97158,0.145580607813388
-0.078491,0.090234,-0.19601,0.973282,-0.007714,-0.01217,-0.007852,0.001814,0.017325,0.005553,0.144876,0.188161,-0.971394,0.14538786562214592
