t_beep,event,type,axis_chosen,onset_time,hold_time,onset_score,dtheta,max_pitch,max_roll
1760006979.97193,BEEP_SLOUCH,normal_slouch,fallback,nan,nan,0.0,0.0,1.6071181332923823,7.656092751555008
1760006984.47193,BEEP_RECOVER,normal_slouch,roll,1760006986.215414,1760006986.543466,1.9330227264588697,3.315133975876961,1.7845864081828244,8.417177282772457
1760006993.74293,BEEP_SLOUCH,fast_slouch,fallback,nan,nan,0.0,0.0,2.342372689775149,12.171286951413265
1760006998.24293,BEEP_RECOVER,fast_slouch,roll,1760006999.880247,1760007001.277267,1.7118190373660647,2.9357696490828005,1.5341187337962179,12.71768820342146
1760007009.24293,BEEP_SLOUCH,micro_slouch,fallback,nan,nan,0.0,0.0,1.9796470674348114,6.49438727936456
1760007013.74293,BEEP_RECOVER,micro_slouch,roll,1760007015.74177,1760007016.491369,1.0503808206612462,3.6763328723143616,1.3847693143256041,8.578715007264151
1760007024.13893,BEEP_SLOUCH,lateral_left,pitch,1760007025.498057,1760007028.437895,1.1730119873881246,3.4486552429210855,40.01012182544949,12.02453993035519
1760007028.63893,BEEP_RECOVER,lateral_left,pitch,1760007030.482214,1760007031.428805,2.2982497168807945,13.789498301284766,44.394848926875866,11.774105436371116
1760007040.16593,BEEP_SLOUCH,lateral_right,pitch,1760007041.807498,1760007043.873958,1.2647617263851012,7.588570358310607,45.89293266601564,13.557607561093931
1760007044.66593,BEEP_RECOVER,lateral_right,pitch,1760007046.524391,1760007047.242444,2.821645052988243,16.929870317929456,48.17213720604391,13.721425663380842
1760007099.53693,BEEP_SLOUCH,normal_slouch,fallback,nan,nan,0.0,0.0,1.9222304660170035,13.016947840716966
1760007104.03693,BEEP_RECOVER,normal_slouch,roll,1760007106.101222,1760007106.462899,1.542916938303311,5.400209284061589,2.717566400353716,11.8004771310286
1760007113.75293,BEEP_SLOUCH,fast_slouch,roll,1760007115.28879,1760007116.53253,1.2276214632984939,2.1053708095569164,1.571734321618261,11.007965731328056
1760007118.25293,BEEP_RECOVER,fast_slouch,fallback,nan,nan,0.0,0.0,2.5297708855262906,16.992841711204505
1760007129.12993,BEEP_SLOUCH,micro_slouch,fallback,nan,nan,0.0,0.0,1.40298947806488,4.862894748069124
1760007133.62993,BEEP_RECOVER,micro_slouch,fallback,nan,nan,0.0,0.0,0.8533259703444651,3.7166927678637762
1760007144.70393,BEEP_SLOUCH,lateral_left,fallback,nan,nan,0.0,0.0,45.99264819686798,349.51083321228646
1760007149.20393,BEEP_RECOVER,lateral_left,pitch,1760007150.97021,1760007151.985703,2.338908460957221,14.033450765743325,49.103126514446345,153.01777843162373
1760007158.74593,BEEP_SLOUCH,lateral_right,fallback,nan,nan,0.0,0.0,50.19378171679686,5.783970037496914
1760007163.24593,BEEP_RECOVER,lateral_right,pitch,1760007164.89624,1760007166.241686,2.2493523286679795,13.496113972007876,53.271156586835495,4.653299676123083
1760007219.13393,BEEP_SLOUCH,normal_slouch,fallback,nan,nan,0.0,0.0,2.4549399190082317,13.753279641080155
1760007223.63393,BEEP_RECOVER,normal_slouch,roll,1760007225.424701,1760007226.209689,1.725766355052055,6.040182242682192,2.8923420726584155,16.16244648935023
1760007234.87193,BEEP_SLOUCH,fast_slouch,roll,1760007236.705314,1760007237.694474,1.7792039047980939,3.0513346967287305,0.8172644659008954,10.460765716368371
1760007239.37193,BEEP_RECOVER,fast_slouch,roll,1760007241.053479,1760007241.824542,1.0266133974971499,3.593146891240025,2.0255267984493974,13.23467063244263
1760007250.31193,BEEP_SLOUCH,micro_slouch,fallback,nan,nan,0.0,0.0,1.9823177182843779,7.828787323598732
1760007254.81193,BEEP_RECOVER,micro_slouch,roll,1760007256.67036,1760007257.470341,1.5162999306753813,2.6004543811082783,2.0091036622596157,8.480880578071805
1760007263.70593,BEEP_SLOUCH,lateral_left,pitch,1760007264.834326,1760007266.687046,1.1712095085974963,3.4433559552766386,47.48738804677577,350.6521984274434
1760007268.20593,BEEP_RECOVER,lateral_left,pitch,1760007269.960495,1760007271.061304,3.295147492870941,19.770884957225647,52.23149104297801,31.606553903035802
1760007280.30493,BEEP_SLOUCH,lateral_right,fallback,nan,nan,0.0,0.0,49.92897834237596,11.618561881112555
1760007284.80493,BEEP_RECOVER,lateral_right,pitch,1760007286.516889,1760007287.473222,3.417978762100392,20.507872572602352,53.16128712893273,8.242612717740514
