timestamp,quat_x,quat_y,quat_z,quat_w,rot_x,rot_y,rot_z,acc_x,acc_y,acc_z,grav_x,grav_y,grav_z
1760474588.256700,-0.014968,-0.560079,-0.000000,0.828304,0.006437,0.002633,0.002147,1.006480,0.306429,-0.567411,-0.927831,0.024796,-0.372176
1760474588.287743,-0.174330,-0.009489,0.278851,0.944331,0.012457,0.002694,0.004948,0.000606,-0.004167,0.001514,0.079304,0.334542,-0.939038
1760474588.318171,-0.174267,-0.009472,0.278835,0.944347,0.010391,0.002978,0.001524,0.000353,-0.003524,0.001288,0.079294,0.334421,-0.939082
1760474588.318521,-0.174205,-0.009456,0.278819,0.944364,0.008324,0.003263,-0.001899,0.000100,-0.002881,0.001062,0.079284,0.334299,-0.939126
1760474588.318793,-0.174143,-0.009440,0.278803,0.944380,0.006257,0.003547,-0.005323,-0.000153,-0.002239,0.000836,0.079274,0.334178,-0.939170
1760474588.368023,-0.172858,-0.008281,0.278913,0.944595,0.008619,0.010722,-0.003798,-0.001164,-0.001563,-0.000013,0.080780,0.331181,-0.940103
1760474588.368288,-0.172755,-0.008196,0.278872,0.944626,0.010597,0.011978,-0.004736,-0.000922,-0.001185,-0.000355,0.080868,0.330949,-0.940177
1760474588.411740,-0.172645,-0.008202,0.278803,0.944667,0.010412,0.009861,-0.003668,-0.000537,-0.001000,-0.000477,0.080771,0.330758,-0.940253
1760474588.412127,-0.172535,-0.008208,0.278735,0.944707,0.010227,0.007745,-0.002601,-0.000152,-0.000816,-0.000599,0.080675,0.330566,-0.940328
1760474588.455126,-0.172355,-0.008171,0.278651,0.944765,0.008351,0.011524,-0.001857,0.000669,-0.001285,0.001408,0.080614,0.330224,-0.940454
1760474588.455813,-0.172320,-0.008125,0.278624,0.944780,0.008351,0.011524,-0.001857,0.000830,-0.001594,0.001747,0.080672,0.330136,-0.940480
1760474588.486600,-0.172176,-0.008020,0.278545,0.944830,0.003235,0.014318,-0.002483,0.000765,-0.001897,0.000772,0.080763,0.329821,-0.940582
1760474588.486928,-0.172152,-0.007876,0.278496,0.944850,0.004148,0.016556,-0.000875,0.000828,-0.001393,0.002132,0.081004,0.329703,-0.940603
