timestamp,quat_x,quat_y,quat_z,quat_w,rot_x,rot_y,rot_z,acc_x,acc_y,acc_z,grav_x,grav_y,grav_z,pitch_rad
1762015683.464339,0.238829,-0.630322,-0.0,0.738685,-0.162918,-0.208393,0.12648,0.863905,0.183883,-0.905381,-0.931218,-0.352839,-0.091311,1.197740581075447
1762015683.464616,0.12442,-0.158795,-0.055653,0.977858,-0.18274,-0.213086,0.148489,0.229151,0.098091,-0.068497,-0.29671,-0.261005,-0.918607,0.30124577420054727
1762015683.498174,0.104277,-0.08938,-0.061518,0.988612,-0.17554,-0.199237,0.149928,0.095211,0.057352,-0.016117,-0.163894,-0.217175,-0.962275,0.16463679614006332
1762015683.498763,0.083081,-0.024756,-0.065552,0.994076,-0.106174,-0.15213,0.133022,-0.034494,0.011037,0.025006,-0.038327,-0.168422,-0.984969,0.0383364115359777
1762015683.529219,0.082544,-0.025458,-0.064933,0.994144,-0.050123,-0.109233,0.0991,-0.0288,0.011954,0.03337,-0.039898,-0.167428,-0.985077,0.03990857925793076
1762015683.565669,0.079655,-0.037611,-0.063153,0.994109,0.07048,0.010681,0.000975,0.005542,0.0166,0.042314,-0.064718,-0.163123,-0.984481,0.06476325098913635
1762015683.565974,0.079583,-0.038218,-0.063179,0.99409,0.100676,0.063495,-0.047305,0.008931,0.020849,0.036883,-0.065928,-0.163054,-0.984412,0.06597584991093092
1762015683.595409,0.07997,-0.038426,-0.063562,0.994026,0.103121,0.093541,-0.086434,0.010835,0.024451,0.025589,-0.066228,-0.16387,-0.984256,0.06627653007477076
1762015683.63946,0.080792,-0.037695,-0.065138,0.993886,0.065996,0.140312,-0.158908,0.018665,0.026774,0.008639,-0.064403,-0.165508,-0.984103,0.06444762520409736
1762015683.639759,0.080741,-0.037009,-0.065859,0.993868,0.046166,0.146656,-0.171234,0.019883,0.022759,0.005054,-0.06293,-0.165366,-0.984223,0.06297157801015361
1762015683.64008,0.080689,-0.036324,-0.066579,0.99385,0.026336,0.152999,-0.183561,0.021102,0.018741,0.001466,-0.061457,-0.165222,-0.98434,0.061495737071135155
1762015683.675109,0.079086,-0.033714,-0.06904,0.993903,0.000965,0.130448,-0.157968,0.022785,-0.010189,-0.007721,-0.056096,-0.161863,-0.985218,0.05612543658866894
1762015683.706431,0.077206,-0.031363,-0.070933,0.993994,0.01441,0.07743,-0.094338,0.023883,-0.029658,-0.009757,-0.051397,-0.157934,-0.986111,0.051419663379663055
1762015683.706728,0.076815,-0.030434,-0.071432,0.994017,0.026307,0.057079,-0.064353,0.025189,-0.033108,-0.008852,-0.049529,-0.157059,-0.986346,0.049549295234861485
1762015683.743443,0.077567,-0.028777,-0.072018,0.993966,0.050824,0.030239,-0.014347,0.028991,-0.032266,-0.005902,-0.046035,-0.158342,-0.986311,0.04605125684210038
1762015683.743727,0.078555,-0.028126,-0.072115,0.9939,0.05868,0.023143,0.00157,0.026733,-0.032049,-0.006498,-0.044579,-0.160208,-0.986076,0.04459378360289165
1762015683.771724,0.079775,-0.027605,-0.072068,0.993821,0.067833,0.007991,0.01597,0.025214,-0.027094,-0.004071,-0.043371,-0.162544,-0.985748,0.04338459312492911
1762015683.807792,0.082685,-0.026469,-0.071737,0.993638,0.06789,0.000515,0.029379,0.023509,-0.012116,0.004073,-0.040738,-0.168116,-0.984925,0.040749279921183344
1762015683.808044,0.083557,-0.026014,-0.07162,0.993586,0.057344,-0.003833,0.02882,0.022088,-0.008849,0.002132,-0.039725,-0.169769,-0.984683,0.03973545163708109
1762015683.846936,0.085786,-0.024644,-0.071388,0.993447,0.027818,-0.001897,0.007181,0.015386,-0.006354,0.002309,-0.036716,-0.173967,-0.984067,0.03672424614123666
1762015683.846932,0.085337,-0.024967,-0.071417,0.993476,0.030917,-0.003118,0.01037,0.018154,-0.005056,0.002179,-0.03742,-0.173126,-0.984189,0.037428722412842126
1762015683.878998,0.086626,-0.023821,-0.071294,0.993401,0.014467,-0.006357,0.010708,0.009677,-0.004314,0.001298,-0.034976,-0.175506,-0.983857,0.034983130293712125
1762015683.879173,0.086806,-0.023567,-0.07126,0.993394,0.003203,-0.009178,0.00988,0.006556,-0.003015,0.001262,-0.034451,-0.175823,-0.983819,0.03445781116091186
1762015683.9367,0.086819,-0.023341,-0.071197,0.993403,-0.006483,-0.008395,0.010326,0.004939,-0.001521,0.003352,-0.034012,-0.175816,-0.983835,0.034018571413999416
1762015683.936954,0.086832,-0.023115,-0.071134,0.993411,-0.016169,-0.007611,0.010771,0.003321,-2.7e-05,0.005441,-0.033573,-0.175808,-0.983852,0.03357930415062712
1762015683.938476,0.086735,-0.022704,-0.070993,0.993439,-0.031357,-0.000551,0.00912,0.00207,0.006355,0.006337,-0.032795,-0.175555,-0.983923,0.03280088896366848
1762015683.966992,0.086563,-0.022539,-0.070963,0.99346,-0.03511,0.003451,0.004577,0.001218,0.008706,0.00588,-0.032498,-0.175193,-0.983998,0.03250371047951571
1762015683.998134,0.086099,-0.022171,-0.071062,0.993502,-0.032213,0.014986,-0.013093,0.001936,0.007903,0.004433,-0.031816,-0.174231,-0.984191,0.031821360185714596
1762015684.028585,0.085917,-0.022023,-0.0712,0.993511,-0.025007,0.015846,-0.017957,0.002633,0.006979,0.003442,-0.031525,-0.173854,-0.984267,0.03153021513248687
1762015684.028799,0.085734,-0.021875,-0.071338,0.99352,-0.0178,0.016706,-0.022821,0.003331,0.006055,0.00245,-0.031235,-0.173478,-0.984342,0.0312400903192388
1762015684.07198,0.085389,-0.021546,-0.07173,0.993529,-0.008332,0.013505,-0.02503,0.004193,0.001823,-0.001141,-0.030563,-0.172764,-0.984489,0.03056775879331282
1762015684.072329,0.085287,-0.021447,-0.071838,0.993532,-0.005792,0.011529,-0.01991,0.004063,0.001075,-0.000408,-0.030362,-0.172552,-0.984532,0.030366677399278102
1762015684.103048,0.085129,-0.021285,-0.072107,0.993529,-0.000626,0.000906,-0.011617,0.003271,-0.00094,-0.00101,-0.030019,-0.172225,-0.9846,0.030023514123937497
1762015684.103444,0.085087,-0.021252,-0.072168,0.993529,0.001006,-0.004339,-0.004201,0.003195,-0.000484,-0.000558,-0.029947,-0.172141,-0.984617,0.029951478248519358
1762015684.137787,0.085025,-0.021315,-0.072186,0.993532,0.00088,-0.012942,0.004829,0.001789,0.00085,-7.4e-05,-0.03008,-0.172027,-0.984633,0.030084534335515667
1762015684.169007,0.085015,-0.021388,-0.072147,0.993534,-0.000908,-0.016397,0.006903,0.001798,0.001332,0.000921,-0.030232,-0.172017,-0.98463,0.030236606212092267
1762015684.169513,0.085006,-0.021461,-0.072108,0.993536,-0.002696,-0.019853,0.008977,0.001806,0.001814,0.001915,-0.030385,-0.172008,-0.984627,0.030389672419444735
