t_beep,event,type,onset_event,onset_time,hold_event,hold_time
1762015688.243339,BEEP_SLOUCH,normal_slouch,SLOUCH_START,1762015688.193339,SLOUCHED_HOLD_START,1762015689.143339
1762015692.743339,BEEP_RECOVER,normal_slouch,RECOVERY_START,1762015692.693339,UPRIGHT_HOLD_START,1762015693.643339
1762015702.014339,BEEP_SLOUCH,fast_slouch,SLOUCH_START,1762015701.964339,SLOUCHED_HOLD_START,1762015702.914339
1762015706.514339,BEEP_RECOVER,fast_slouch,RECOVERY_START,1762015706.464339,UPRIGHT_HOLD_START,1762015707.414339
1762015717.514339,BEEP_SLOUCH,micro_slouch,SLOUCH_START,1762015717.464339,SLOUCHED_HOLD_START,1762015718.414339
1762015722.014339,BEEP_RECOVER,micro_slouch,RECOVERY_START,1762015721.964339,UPRIGHT_HOLD_START,1762015722.914339
1762015732.410339,BEEP_SLOUCH,lateral_left,NOSLOUCH_START,1762015732.360339,NOSLOUCHED_HOLD_START,1762015733.310339
1762015736.910339,BEEP_RECOVER,lateral_left,RECOVERY_START,1762015736.860339,UPRIGHT_HOLD_START,1762015737.810339
1762015748.437339,BEEP_SLOUCH,lateral_right,NOSLOUCH_START,1762015748.387339,NOSLOUCHED_HOLD_START,1762015749.337339
1762015752.937339,BEEP_RECOVER,lateral_right,RECOVERY_START,1762015752.887339,UPRIGHT_HOLD_START,1762015753.837339
1762015763.317339,BEEP_SLOUCH,neck_only,SLOUCH_START,1762015763.267339,SLOUCHED_HOLD_START,1762015764.217339
1762015767.817339,BEEP_RECOVER,neck_only,RECOVERY_START,1762015767.767339,UPRIGHT_HOLD_START,1762015768.717339
1762015778.748339,BEEP_SLOUCH,reach_left,NOSLOUCH_START,1762015778.698339,NOSLOUCHED_HOLD_START,1762015779.648339
1762015783.248339,BEEP_RECOVER,reach_left,RECOVERY_START,1762015783.198339,UPRIGHT_HOLD_START,1762015784.148339
1762015792.138339,BEEP_SLOUCH,reach_right,NOSLOUCH_START,1762015792.088339,NOSLOUCHED_HOLD_START,1762015793.038339
1762015796.638339,BEEP_RECOVER,reach_right,RECOVERY_START,1762015796.588339,UPRIGHT_HOLD_START,1762015797.538339
1762015807.808339,BEEP_SLOUCH,normal_slouch,SLOUCH_START,1762015807.758339,SLOUCHED_HOLD_START,1762015808.708339
1762015812.308339,BEEP_RECOVER,normal_slouch,RECOVERY_START,1762015812.258339,UPRIGHT_HOLD_START,1762015813.208339
1762015822.024339,BEEP_SLOUCH,fast_slouch,SLOUCH_START,1762015821.974339,SLOUCHED_HOLD_START,1762015822.924339
1762015826.524339,BEEP_RECOVER,fast_slouch,RECOVERY_START,1762015826.474339,UPRIGHT_HOLD_START,1762015827.424339
1762015837.401339,BEEP_SLOUCH,micro_slouch,SLOUCH_START,1762015837.351339,SLOUCHED_HOLD_START,1762015838.301339
1762015841.901339,BEEP_RECOVER,micro_slouch,RECOVERY_START,1762015841.851339,UPRIGHT_HOLD_START,1762015842.801339
1762015852.975339,BEEP_SLOUCH,lateral_left,NOSLOUCH_START,1762015852.925339,NOSLOUCHED_HOLD_START,1762015853.875339
1762015857.475339,BEEP_RECOVER,lateral_left,RECOVERY_START,1762015857.425339,UPRIGHT_HOLD_START,1762015858.375339
1762015867.017339,BEEP_SLOUCH,lateral_right,NOSLOUCH_START,1762015866.967339,NOSLOUCHED_HOLD_START,1762015867.917339
1762015871.517339,BEEP_RECOVER,lateral_right,RECOVERY_START,1762015871.467339,UPRIGHT_HOLD_START,1762015872.417339
1762015882.362339,BEEP_SLOUCH,neck_only,SLOUCH_START,1762015882.312339,SLOUCHED_HOLD_START,1762015883.262339
1762015886.862339,BEEP_RECOVER,neck_only,RECOVERY_START,1762015886.812339,UPRIGHT_HOLD_START,1762015887.762339
1762015898.264339,BEEP_SLOUCH,reach_left,NOSLOUCH_START,1762015898.214339,NOSLOUCHED_HOLD_START,1762015899.164339
1762015902.764339,BEEP_RECOVER,reach_left,RECOVERY_START,1762015902.714339,UPRIGHT_HOLD_START,1762015903.664339
1762015913.054339,BEEP_SLOUCH,reach_right,NOSLOUCH_START,1762015913.004339,NOSLOUCHED_HOLD_START,1762015913.954339
1762015917.554339,BEEP_RECOVER,reach_right,RECOVERY_START,1762015917.504339,UPRIGHT_HOLD_START,1762015918.454339
1762015927.405339,BEEP_SLOUCH,normal_slouch,SLOUCH_START,1762015927.355339,SLOUCHED_HOLD_START,1762015928.305339
1762015931.905339,BEEP_RECOVER,normal_slouch,RECOVERY_START,1762015931.855339,UPRIGHT_HOLD_START,1762015932.805339
1762015943.143339,BEEP_SLOUCH,fast_slouch,SLOUCH_START,1762015943.093339,SLOUCHED_HOLD_START,1762015944.043339
1762015947.643339,BEEP_RECOVER,fast_slouch,RECOVERY_START,1762015947.593339,UPRIGHT_HOLD_START,1762015948.543339
1762015958.583339,BEEP_SLOUCH,micro_slouch,SLOUCH_START,1762015958.533339,SLOUCHED_HOLD_START,1762015959.483339
1762015963.083339,BEEP_RECOVER,micro_slouch,RECOVERY_START,1762015963.033339,UPRIGHT_HOLD_START,1762015963.983339
