t_sec,event,value
1762017217.663,UPRIGHT_HOLD_START,type=normal_slouch
1762017222.392,SLOUCH_START,type=normal_slouch
1762017223.342,SLOUCHED_HOLD_START,type=normal_slouch
1762017226.892,RECOVERY_START,type=normal_slouch
1762017227.842,UPRIGHT_HOLD_START,type=normal_slouch
1762017236.163,SLOUCH_START,type=fast_slouch
1762017237.113,SLOUCHED_HOLD_START,type=fast_slouch
1762017240.663,RECOVERY_START,type=fast_slouch
1762017241.613,UPRIGHT_HOLD_START,type=fast_slouch
1762017251.663,SLOUCH_START,type=micro_slouch
1762017252.613,SLOUCHED_HOLD_START,type=micro_slouch
1762017256.163,RECOVERY_START,type=micro_slouch
1762017257.113,UPRIGHT_HOLD_START,type=micro_slouch
1762017266.559,NOSLOUCH_START,type=lateral_left
1762017267.509,NOSLOUCHED_HOLD_START,type=lateral_left
1762017271.059,RECOVERY_START,type=lateral_left
1762017272.009,UPRIGHT_HOLD_START,type=lateral_left
1762017282.586,NOSLOUCH_START,type=lateral_right
1762017283.536,NOSLOUCHED_HOLD_START,type=lateral_right
1762017287.086,RECOVERY_START,type=lateral_right
1762017288.036,UPRIGHT_HOLD_START,type=lateral_right
1762017297.466,SLOUCH_START,type=neck_only
1762017298.416,SLOUCHED_HOLD_START,type=neck_only
1762017301.966,RECOVERY_START,type=neck_only
1762017302.916,UPRIGHT_HOLD_START,type=neck_only
1762017312.897,NOSLOUCH_START,type=reach_left
1762017313.847,NOSLOUCHED_HOLD_START,type=reach_left
1762017317.397,RECOVERY_START,type=reach_left
1762017318.347,UPRIGHT_HOLD_START,type=reach_left
1762017326.287,NOSLOUCH_START,type=reach_right
1762017327.237,NOSLOUCHED_HOLD_START,type=reach_right
1762017330.787,RECOVERY_START,type=reach_right
1762017331.737,UPRIGHT_HOLD_START,type=reach_right
1762017341.957,SLOUCH_START,type=normal_slouch
1762017342.907,SLOUCHED_HOLD_START,type=normal_slouch
1762017346.457,RECOVERY_START,type=normal_slouch
1762017347.407,UPRIGHT_HOLD_START,type=normal_slouch
1762017356.173,SLOUCH_START,type=fast_slouch
1762017357.123,SLOUCHED_HOLD_START,type=fast_slouch
1762017360.673,RECOVERY_START,type=fast_slouch
1762017361.623,UPRIGHT_HOLD_START,type=fast_slouch
1762017371.550,SLOUCH_START,type=micro_slouch
1762017372.500,SLOUCHED_HOLD_START,type=micro_slouch
1762017376.050,RECOVERY_START,type=micro_slouch
1762017377.000,UPRIGHT_HOLD_START,type=micro_slouch
1762017387.124,NOSLOUCH_START,type=lateral_left
1762017388.074,NOSLOUCHED_HOLD_START,type=lateral_left
1762017391.624,RECOVERY_START,type=lateral_left
1762017392.574,UPRIGHT_HOLD_START,type=lateral_left
1762017401.166,NOSLOUCH_START,type=lateral_right
1762017402.116,NOSLOUCHED_HOLD_START,type=lateral_right
1762017405.666,RECOVERY_START,type=lateral_right
1762017406.616,UPRIGHT_HOLD_START,type=lateral_right
1762017416.511,SLOUCH_START,type=neck_only
1762017417.461,SLOUCHED_HOLD_START,type=neck_only
1762017421.011,RECOVERY_START,type=neck_only
1762017421.961,UPRIGHT_HOLD_START,type=neck_only
1762017432.413,NOSLOUCH_START,type=reach_left
1762017433.363,NOSLOUCHED_HOLD_START,type=reach_left
1762017436.913,RECOVERY_START,type=reach_left
1762017437.863,UPRIGHT_HOLD_START,type=reach_left
1762017447.203,NOSLOUCH_START,type=reach_right
1762017448.153,NOSLOUCHED_HOLD_START,type=reach_right
1762017451.703,RECOVERY_START,type=reach_right
1762017452.653,UPRIGHT_HOLD_START,type=reach_right
1762017461.554,SLOUCH_START,type=normal_slouch
1762017462.504,SLOUCHED_HOLD_START,type=normal_slouch
1762017466.054,RECOVERY_START,type=normal_slouch
1762017467.004,UPRIGHT_HOLD_START,type=normal_slouch
1762017477.292,SLOUCH_START,type=fast_slouch
1762017478.242,SLOUCHED_HOLD_START,type=fast_slouch
1762017481.792,RECOVERY_START,type=fast_slouch
1762017482.742,UPRIGHT_HOLD_START,type=fast_slouch
1762017492.732,SLOUCH_START,type=micro_slouch
1762017493.682,SLOUCHED_HOLD_START,type=micro_slouch
1762017497.232,RECOVERY_START,type=micro_slouch
1762017498.182,UPRIGHT_HOLD_START,type=micro_slouch
1762017506.126,NOSLOUCH_START,type=lateral_left
1762017507.076,NOSLOUCHED_HOLD_START,type=lateral_left
1762017510.626,RECOVERY_START,type=lateral_left
1762017511.576,UPRIGHT_HOLD_START,type=lateral_left
1762017522.725,NOSLOUCH_START,type=lateral_right
1762017523.675,NOSLOUCHED_HOLD_START,type=lateral_right
1762017527.225,RECOVERY_START,type=lateral_right
1762017528.175,UPRIGHT_HOLD_START,type=lateral_right
1762017537.509,SLOUCH_START,type=neck_only
1762017538.459,SLOUCHED_HOLD_START,type=neck_only
1762017542.009,RECOVERY_START,type=neck_only
1762017542.959,UPRIGHT_HOLD_START,type=neck_only
1762017551.794,NOSLOUCH_START,type=reach_left
1762017552.744,NOSLOUCHED_HOLD_START,type=reach_left
1762017556.294,RECOVERY_START,type=reach_left
1762017557.244,UPRIGHT_HOLD_START,type=reach_left
1762017566.424,NOSLOUCH_START,type=reach_right
1762017567.374,NOSLOUCHED_HOLD_START,type=reach_right
1762017570.924,RECOVERY_START,type=reach_right
1762017571.874,UPRIGHT_HOLD_START,type=reach_right
