timestamp,quat_x,quat_y,quat_z,quat_w,rot_x,rot_y,rot_z,acc_x,acc_y,acc_z,grav_x,grav_y,grav_z
1760629580.581783,-0.121656,0.125487,-0.000000,0.984608,-0.005674,0.003814,-0.011393,-0.002394,0.002449,-0.001475,0.247110,0.239566,-0.938906
1760629580.582263,-0.121728,0.125441,-0.000102,0.984605,-0.008770,0.001827,-0.017289,-0.002925,-0.000617,0.001532,0.246995,0.239733,-0.938894
1760629580.612627,-0.121831,0.125462,-0.000242,0.984589,-0.011398,0.006788,-0.019841,-0.001965,-0.001612,0.001252,0.246999,0.239967,-0.938833
1760629580.657548,-0.122168,0.125570,-0.000606,0.984534,-0.029469,0.013495,-0.024128,-0.001682,-0.007840,-0.000749,0.247108,0.240710,-0.938614
1760629580.658759,-0.122464,0.124956,-0.000872,0.984575,-0.047583,0.013919,-0.026337,-0.000834,-0.004971,-0.001022,0.245844,0.241368,-0.938777
1760629580.659055,-0.122760,0.124342,-0.001138,0.984615,-0.065697,0.014343,-0.028546,0.000014,-0.002102,-0.001296,0.244580,0.242025,-0.938938
1760629580.688960,-0.122677,0.124475,-0.001197,0.984609,-0.068964,0.013351,-0.027912,-0.000005,-0.000086,0.000991,0.244824,0.241875,-0.938913
1760629580.721056,-0.122321,0.124729,-0.001278,0.984621,-0.069122,0.008121,-0.021075,-0.000305,0.002167,0.002458,0.245309,0.241198,-0.938961
1760629580.721352,-0.122370,0.124681,-0.001336,0.984621,-0.069296,0.003384,-0.023511,-0.000109,0.002697,0.004651,0.245201,0.241310,-0.938960
1760629580.782706,-0.122979,0.124702,-0.001587,0.984542,-0.073947,0.010206,-0.029509,0.001281,0.002158,0.002881,0.245159,0.242552,-0.938651
1760629580.783192,-0.123588,0.124723,-0.001837,0.984463,-0.078598,0.017028,-0.035508,0.002671,0.001618,0.001109,0.245116,0.243794,-0.938340
1760629580.783575,-0.124197,0.124744,-0.002088,0.984383,-0.083250,0.023851,-0.041507,0.004062,0.001079,-0.000665,0.245072,0.245035,-0.938028
1760629580.819052,-0.125323,0.124958,-0.002610,0.984212,-0.062572,0.013487,-0.046043,0.002695,-0.000209,-0.000553,0.245316,0.247342,-0.937359
1760629580.819362,-0.125702,0.125030,-0.002846,0.984154,-0.048547,0.007105,-0.035333,0.001838,-0.002508,0.002588,0.245382,0.248132,-0.937133
1760629580.849042,-0.126037,0.125133,-0.003013,0.984097,-0.038554,0.005501,-0.030178,-0.000445,-0.000670,-0.001883,0.245526,0.248819,-0.936913
1760629580.881243,-0.126526,0.125323,-0.003224,0.984010,-0.038381,-0.018091,-0.013164,-0.004613,0.014766,0.001589,0.245822,0.249814,-0.936571
1760629580.881554,-0.126744,0.125267,-0.003246,0.983989,-0.048010,-0.013228,-0.017744,-0.004834,0.019227,0.004793,0.245700,0.250242,-0.936488
1760629580.910488,-0.127037,0.125165,-0.003351,0.983963,-0.056252,-0.022106,-0.029169,-0.006456,0.019605,0.004962,0.245465,0.250838,-0.936390
1760629580.943272,-0.128388,0.124389,-0.003862,0.983885,-0.054220,-0.029230,-0.028835,-0.005883,0.010579,0.010695,0.243777,0.253599,-0.936088
1760629580.943265,-0.127883,0.124674,-0.003716,0.983915,-0.056327,-0.029002,-0.032972,-0.007322,0.013344,0.007663,0.244386,0.252579,-0.936205
1760629580.991528,-0.129676,0.124017,-0.004100,0.983762,-0.038093,-0.001974,-0.008590,-0.002204,0.006807,0.016549,0.242943,0.256158,-0.935608
1760629580.991653,-0.130073,0.123953,-0.004130,0.983717,-0.037365,0.000297,-0.005561,-0.000955,0.005536,0.012842,0.242794,0.256934,-0.935433
1760629581.006212,-0.130970,0.123964,-0.004184,0.983597,-0.020090,0.031145,0.004328,0.002912,0.000229,0.011433,0.242765,0.258681,-0.934960
1760629581.055447,-0.131173,0.124207,-0.004188,0.983539,-0.016973,0.038342,0.004856,0.002640,0.000846,0.013037,0.243226,0.259068,-0.934733
1760629581.055821,-0.131376,0.124450,-0.004191,0.983481,-0.013857,0.045539,0.005384,0.002367,0.001464,0.014641,0.243687,0.259454,-0.934505
1760629581.055996,-0.131578,0.124693,-0.004195,0.983423,-0.010741,0.052736,0.005912,0.002095,0.002081,0.016245,0.244148,0.259841,-0.934277
1760629581.085274,-0.132081,0.125909,-0.004409,0.983200,-0.034813,0.080606,-0.015901,0.004012,0.006852,0.004369,0.246424,0.260834,-0.933403
1760629581.103613,-0.132497,0.126575,-0.004729,0.983057,-0.039345,0.073949,-0.035097,0.004929,0.000570,0.002857,0.247607,0.261701,-0.932847
1760629581.155209,-0.133116,0.127747,-0.005335,0.982818,-0.018727,0.082603,-0.030675,0.008097,-0.011051,0.000720,0.249685,0.263021,-0.931921
1760629581.155563,-0.133207,0.128128,-0.005495,0.982756,-0.004527,0.087329,-0.022266,0.007991,-0.010770,-0.001984,0.250374,0.263228,-0.931678
1760629581.155995,-0.133298,0.128509,-0.005655,0.982693,0.009673,0.092055,-0.013857,0.007886,-0.010489,-0.004688,0.251063,0.263435,-0.931434
1760629581.185327,-0.133051,0.129868,-0.006251,0.982544,0.040029,0.076922,-0.028265,0.003642,-0.009929,-0.008344,0.253539,0.263080,-0.930864
1760629581.217942,-0.131914,0.130886,-0.007042,0.982557,0.090784,0.053118,-0.035540,0.000916,-0.016486,-0.002447,0.255348,0.261069,-0.930935
1760629581.218186,-0.131176,0.131273,-0.007340,0.982602,0.106646,0.056465,-0.025157,-0.000470,-0.011641,-0.001085,0.256052,0.259714,-0.931121
1760629581.248845,-0.130489,0.131554,-0.007617,0.982654,0.092150,0.042335,-0.025962,-0.002897,-0.000640,-0.000675,0.256556,0.258455,-0.931332
1760629581.268963,-0.129837,0.131796,-0.007999,0.982705,0.057521,0.034977,-0.034625,-0.003412,0.004366,0.006559,0.256957,0.257291,-0.931544
1760629581.338932,-0.129209,0.132355,-0.008854,0.982705,-0.015819,0.048919,-0.047803,-0.000404,0.001162,0.012161,0.257843,0.256293,-0.931574
1760629581.339030,-0.129525,0.132742,-0.009114,0.982609,-0.023101,0.053875,-0.035868,0.000401,0.000809,0.016204,0.258505,0.256965,-0.931206
1760629581.339145,-0.129842,0.133128,-0.009375,0.982512,-0.030383,0.058832,-0.023934,0.001207,0.000455,0.020247,0.259166,0.257638,-0.930836
1760629581.339279,-0.130158,0.133515,-0.009635,0.982415,-0.037665,0.063789,-0.012000,0.002014,0.000102,0.024289,0.259827,0.258310,-0.930465
1760629581.359856,-0.130650,0.134193,-0.009780,0.982256,-0.057468,0.084537,-0.002035,0.003145,0.009257,0.016072,0.261068,0.259288,-0.929846
1760629581.390055,-0.131129,0.134714,-0.009855,0.982120,-0.088981,0.079466,-0.020982,0.005581,0.015559,0.010259,0.262027,0.260225,-0.929314
1760629581.455816,-0.132793,0.135878,-0.010243,0.981732,-0.152533,0.077334,-0.051215,0.014036,0.011897,-0.009743,0.264072,0.263517,-0.927806
1760629581.455990,-0.134087,0.136224,-0.010530,0.981505,-0.129671,0.059787,-0.043738,0.012146,0.009893,-0.009346,0.264586,0.266082,-0.926927
1760629581.456263,-0.135380,0.136570,-0.010817,0.981277,-0.106810,0.042240,-0.036261,0.010259,0.007890,-0.008956,0.265097,0.268646,-0.926042
1760629581.456417,-0.136674,0.136916,-0.011104,0.981046,-0.083948,0.024692,-0.028784,0.008375,0.005889,-0.008573,0.265606,0.271207,-0.925149
1760629581.486066,-0.137145,0.136998,-0.011217,0.980967,-0.052370,0.002931,-0.028335,0.007797,0.005590,-0.007612,0.265704,0.272143,-0.924846
1760629581.517533,-0.137335,0.136742,-0.011416,0.980974,0.025151,-0.037232,-0.009770,0.000218,0.002481,0.001290,0.265145,0.272567,-0.924881
1760629581.517779,-0.137043,0.136451,-0.011444,0.981055,0.049275,-0.049535,-0.006343,-0.002021,0.009479,0.005940,0.264594,0.272017,-0.925201
1760629581.547401,-0.136714,0.136112,-0.011512,0.981147,0.050428,-0.058324,-0.015260,-0.001250,0.010185,0.005074,0.263945,0.271408,-0.925565
1760629581.578736,-0.136018,0.135269,-0.011751,0.981358,0.053695,-0.050576,-0.014231,0.002321,-0.000414,0.006698,0.262298,0.270144,-0.926403
1760629581.579130,-0.135658,0.135025,-0.011818,0.981440,0.058812,-0.037232,0.001119,0.002941,-0.005057,0.001234,0.261832,0.269471,-0.926730
1760629581.611311,-0.134912,0.134633,-0.011631,0.981599,0.051316,-0.026635,0.036762,-0.006775,-0.010777,0.021716,0.261173,0.267992,-0.927345
1760629581.657787,-0.134756,0.134749,-0.011125,0.981611,0.022164,-0.015866,0.045094,-0.002939,-0.006833,0.014630,0.261543,0.267555,-0.927367
1760629581.658123,-0.134600,0.134864,-0.010619,0.981622,-0.006988,-0.005097,0.053427,0.000897,-0.002888,0.007544,0.261913,0.267117,-0.927389
1760629581.658349,-0.134444,0.134980,-0.010113,0.981633,-0.036140,0.005671,0.061759,0.004733,0.001057,0.000458,0.262282,0.266679,-0.927411
1760629581.697734,-0.134963,0.135304,-0.009046,0.981527,-0.068075,0.019847,0.070977,0.007669,0.000997,-0.005631,0.263166,0.267388,-0.926956
1760629581.698075,-0.135314,0.135478,-0.008597,0.981459,-0.082250,0.015989,0.059366,0.007012,0.006342,-0.006208,0.263605,0.267940,-0.926672
1760629581.744275,-0.136277,0.135718,-0.007994,0.981298,-0.063687,0.012857,0.020124,0.002351,-0.005868,-0.004066,0.264181,0.269627,-0.926018
1760629581.744369,-0.136526,0.135755,-0.007893,0.981259,-0.036115,-0.005609,0.002487,0.000664,-0.013883,-0.005794,0.264266,0.270077,-0.925863
1760629581.775553,-0.136057,0.135552,-0.007682,0.981354,0.089897,-0.036628,0.033791,-0.004008,-0.025661,-0.000038,0.263958,0.269123,-0.926228
1760629581.775995,-0.135285,0.135300,-0.007468,0.981497,0.101237,-0.039931,0.042897,-0.001225,0.001037,0.000629,0.263572,0.267585,-0.926784
1760629581.814418,-0.134420,0.134751,-0.007382,0.981692,0.025322,-0.046388,-0.023298,-0.006387,0.021056,0.000473,0.262583,0.265907,-0.927547
1760629581.814750,-0.134325,0.134377,-0.007572,0.981755,-0.021114,-0.060868,-0.055468,-0.010790,0.014735,0.007048,0.261817,0.265783,-0.927799
1760629581.844375,-0.134447,0.133940,-0.007877,0.981795,-0.041366,-0.052471,-0.057196,-0.010952,-0.001507,0.018899,0.260885,0.266108,-0.927969
1760629581.882150,-0.135265,0.133227,-0.008307,0.981776,-0.055730,-0.028534,-0.019099,-0.004707,-0.009855,0.011496,0.259350,0.267813,-0.927908
1760629581.882478,-0.135656,0.133051,-0.008357,0.981746,-0.061129,-0.020245,-0.014953,-0.003138,-0.003510,0.013550,0.258977,0.268584,-0.927789
1760629581.913287,-0.137209,0.132956,-0.008413,0.981542,-0.119759,0.017431,-0.022757,0.000188,0.021961,-0.004949,0.258694,0.271591,-0.926993
1760629581.954734,-0.138332,0.133044,-0.008767,0.981370,-0.107037,0.025808,-0.043105,-0.000120,0.014437,0.000629,0.258705,0.273843,-0.926327
1760629581.955035,-0.139455,0.133132,-0.009121,0.981196,-0.094314,0.034185,-0.063453,-0.000426,0.006915,0.006201,0.258713,0.276093,-0.925657
1760629581.955304,-0.140577,0.133220,-0.009475,0.981020,-0.081592,0.042562,-0.083800,-0.000730,-0.000606,0.011769,0.258719,0.278342,-0.924981
1760629581.993441,-0.141126,0.133435,-0.010501,0.980902,0.027707,0.027347,-0.063419,-0.003884,-0.003835,0.010238,0.258810,0.279664,-0.924557
1760629582.002727,-0.140679,0.133682,-0.011364,0.980923,0.062140,0.040465,-0.071933,-0.002236,0.004933,0.009303,0.259066,0.279029,-0.924677
1760629582.045768,-0.140337,0.133889,-0.011889,0.980937,0.072014,0.051871,-0.075545,-0.002495,0.004618,0.009316,0.259336,0.278506,-0.924759
1760629582.046128,-0.139994,0.134095,-0.012413,0.980952,0.081888,0.063277,-0.079158,-0.002755,0.004303,0.009328,0.259606,0.277983,-0.924841
1760629582.076388,-0.138805,0.134998,-0.014043,0.980975,0.094319,0.095360,-0.087228,0.000057,-0.008151,0.011310,0.260961,0.276120,-0.925017
1760629582.076704,-0.138245,0.135619,-0.014846,0.980956,0.094169,0.109597,-0.085954,-0.000453,-0.011382,0.010568,0.261967,0.275252,-0.924991
1760629582.110097,-0.137116,0.137330,-0.016474,0.980851,0.090677,0.151199,-0.067941,-0.000177,-0.006549,0.021493,0.264882,0.273506,-0.924679
1760629582.140613,-0.136694,0.138302,-0.017124,0.980762,0.074456,0.160055,-0.066358,0.002214,-0.001125,0.015424,0.266601,0.272865,-0.924375
1760629582.140928,-0.136271,0.139274,-0.017775,0.980672,0.058235,0.168910,-0.064774,0.004606,0.004298,0.009350,0.268320,0.272226,-0.924066
1760629582.168810,-0.135894,0.141757,-0.019522,0.980335,-0.006071,0.151667,-0.092136,0.005136,0.008844,-0.007621,0.272632,0.271978,-0.922876
1760629582.215759,-0.136279,0.142549,-0.020452,0.980148,-0.018436,0.128087,-0.093064,0.006318,0.004131,-0.005957,0.273864,0.272977,-0.922216
1760629582.216087,-0.136663,0.143342,-0.021382,0.979959,-0.030802,0.104506,-0.093992,0.007503,-0.000584,-0.004295,0.275093,0.273978,-0.921553
1760629582.216589,-0.137047,0.144134,-0.022312,0.979768,-0.043168,0.080926,-0.094921,0.008691,-0.005300,-0.002636,0.276319,0.274980,-0.920887
1760629582.256581,-0.137747,0.144954,-0.023454,0.979522,-0.026835,0.044527,-0.052940,0.008386,-0.008654,-0.006045,0.277510,0.276652,-0.920028
1760629582.256899,-0.137917,0.145116,-0.023730,0.979468,-0.019539,0.026980,-0.038266,0.009393,-0.007209,-0.006627,0.277727,0.277058,-0.919841
