t_sec,event,value
1760629580.582,UPRIGHT_HOLD_START,type=normal_slouch
1760629587.311,SLOUCH_START,type=normal_slouch
1760629588.261,SLOUCHED_HOLD_START,type=normal_slouch
1760629591.811,RECOVERY_START,type=normal_slouch
1760629592.761,UPRIGHT_HOLD_START,type=normal_slouch
1760629601.082,SLOUCH_START,type=fast_slouch
1760629602.032,SLOUCHED_HOLD_START,type=fast_slouch
1760629605.582,RECOVERY_START,type=fast_slouch
1760629606.532,UPRIGHT_HOLD_START,type=fast_slouch
1760629616.582,SLOUCH_START,type=micro_slouch
1760629617.532,SLOUCHED_HOLD_START,type=micro_slouch
1760629621.082,RECOVERY_START,type=micro_slouch
1760629622.032,UPRIGHT_HOLD_START,type=micro_slouch
1760629631.478,NOSLOUCH_START,type=lateral_left
1760629632.428,NOSLOUCHED_HOLD_START,type=lateral_left
1760629635.978,RECOVERY_START,type=lateral_left
1760629636.928,UPRIGHT_HOLD_START,type=lateral_left
1760629647.505,NOSLOUCH_START,type=lateral_right
1760629648.455,NOSLOUCHED_HOLD_START,type=lateral_right
1760629652.005,RECOVERY_START,type=lateral_right
1760629652.955,UPRIGHT_HOLD_START,type=lateral_right
1760629662.385,SLOUCH_START,type=neck_only
1760629663.335,SLOUCHED_HOLD_START,type=neck_only
1760629666.885,RECOVERY_START,type=neck_only
1760629667.835,UPRIGHT_HOLD_START,type=neck_only
1760629677.816,NOSLOUCH_START,type=reach_left
1760629678.766,NOSLOUCHED_HOLD_START,type=reach_left
1760629682.316,RECOVERY_START,type=reach_left
1760629683.266,UPRIGHT_HOLD_START,type=reach_left
1760629691.206,NOSLOUCH_START,type=reach_right
1760629692.156,NOSLOUCHED_HOLD_START,type=reach_right
1760629695.706,RECOVERY_START,type=reach_right
1760629696.656,UPRIGHT_HOLD_START,type=reach_right
1760629706.876,SLOUCH_START,type=normal_slouch
1760629707.826,SLOUCHED_HOLD_START,type=normal_slouch
1760629711.376,RECOVERY_START,type=normal_slouch
1760629712.326,UPRIGHT_HOLD_START,type=normal_slouch
1760629721.092,SLOUCH_START,type=fast_slouch
1760629722.042,SLOUCHED_HOLD_START,type=fast_slouch
1760629725.592,RECOVERY_START,type=fast_slouch
1760629726.542,UPRIGHT_HOLD_START,type=fast_slouch
1760629736.469,SLOUCH_START,type=micro_slouch
1760629737.419,SLOUCHED_HOLD_START,type=micro_slouch
1760629740.969,RECOVERY_START,type=micro_slouch
1760629741.919,UPRIGHT_HOLD_START,type=micro_slouch
1760629752.043,NOSLOUCH_START,type=lateral_left
1760629752.993,NOSLOUCHED_HOLD_START,type=lateral_left
1760629756.543,RECOVERY_START,type=lateral_left
1760629757.493,UPRIGHT_HOLD_START,type=lateral_left
1760629766.085,NOSLOUCH_START,type=lateral_right
1760629767.035,NOSLOUCHED_HOLD_START,type=lateral_right
1760629770.585,RECOVERY_START,type=lateral_right
1760629771.535,UPRIGHT_HOLD_START,type=lateral_right
1760629781.430,SLOUCH_START,type=neck_only
1760629782.380,SLOUCHED_HOLD_START,type=neck_only
1760629785.930,RECOVERY_START,type=neck_only
1760629786.880,UPRIGHT_HOLD_START,type=neck_only
1760629797.332,NOSLOUCH_START,type=reach_left
1760629798.282,NOSLOUCHED_HOLD_START,type=reach_left
1760629801.832,RECOVERY_START,type=reach_left
1760629802.782,UPRIGHT_HOLD_START,type=reach_left
1760629812.122,NOSLOUCH_START,type=reach_right
1760629813.072,NOSLOUCHED_HOLD_START,type=reach_right
1760629816.622,RECOVERY_START,type=reach_right
1760629817.572,UPRIGHT_HOLD_START,type=reach_right
1760629826.473,SLOUCH_START,type=normal_slouch
1760629827.423,SLOUCHED_HOLD_START,type=normal_slouch
1760629830.973,RECOVERY_START,type=normal_slouch
1760629831.923,UPRIGHT_HOLD_START,type=normal_slouch
1760629842.211,SLOUCH_START,type=fast_slouch
1760629843.161,SLOUCHED_HOLD_START,type=fast_slouch
1760629846.711,RECOVERY_START,type=fast_slouch
1760629847.661,UPRIGHT_HOLD_START,type=fast_slouch
1760629857.651,SLOUCH_START,type=micro_slouch
1760629858.601,SLOUCHED_HOLD_START,type=micro_slouch
1760629862.151,RECOVERY_START,type=micro_slouch
1760629863.101,UPRIGHT_HOLD_START,type=micro_slouch
1760629871.045,NOSLOUCH_START,type=lateral_left
1760629871.995,NOSLOUCHED_HOLD_START,type=lateral_left
1760629875.545,RECOVERY_START,type=lateral_left
1760629876.495,UPRIGHT_HOLD_START,type=lateral_left
1760629887.644,NOSLOUCH_START,type=lateral_right
1760629888.594,NOSLOUCHED_HOLD_START,type=lateral_right
1760629892.144,RECOVERY_START,type=lateral_right
1760629893.094,UPRIGHT_HOLD_START,type=lateral_right
1760629902.428,SLOUCH_START,type=neck_only
1760629903.378,SLOUCHED_HOLD_START,type=neck_only
1760629906.928,RECOVERY_START,type=neck_only
1760629907.878,UPRIGHT_HOLD_START,type=neck_only
1760629916.713,NOSLOUCH_START,type=reach_left
1760629917.663,NOSLOUCHED_HOLD_START,type=reach_left
1760629921.213,RECOVERY_START,type=reach_left
1760629922.163,UPRIGHT_HOLD_START,type=reach_left
1760629931.343,NOSLOUCH_START,type=reach_right
1760629932.293,NOSLOUCHED_HOLD_START,type=reach_right
1760629935.843,RECOVERY_START,type=reach_right
1760629936.793,UPRIGHT_HOLD_START,type=reach_right
