timestamp,quat_x,quat_y,quat_z,quat_w,rot_x,rot_y,rot_z,acc_x,acc_y,acc_z,grav_x,grav_y,grav_z,pitch_rad
1760630301.921586,0.021943,-0.595694,0.0,0.802911,-0.009575,-0.001559,-0.001554,1.051236,0.337109,-0.655788,-0.95658,-0.035236,-0.289333,1.2750324762863219
1760630301.922219,-0.051545,-0.391071,0.127986,0.90996,-0.013948,0.000803,-0.007277,0.792611,0.108742,-0.257596,-0.698523,0.193911,-0.688814,0.7733310885588742
1760630301.922309,-0.121161,-0.157073,0.246359,0.94866,-0.018321,0.003165,-0.013001,0.331839,-0.00384,-0.026402,-0.23832,0.307274,-0.921296,0.2406356338612576
1760630301.950728,-0.140554,-0.083971,0.278458,0.94639,-0.018011,0.000935,-0.016821,0.173715,-0.009672,-0.001555,-0.080661,0.312802,-0.946387,0.0807487376263997
1760630301.951078,-0.158997,-0.0103,0.308677,0.937727,-0.017701,-0.001295,-0.020642,0.01375,-0.001724,0.001042,0.078839,0.30455,-0.949228,-0.07892089765861147
1760630301.981542,-0.160448,-0.004011,0.311102,0.936726,-0.008562,-0.002319,-0.006958,1.1e-05,-0.004431,0.000284,0.092317,0.303087,-0.948481,-0.09244861601773212
1760630302.018028,-0.160567,-0.00441,0.311041,0.936724,-0.003129,-0.005422,0.007746,0.000228,-0.001378,-0.001365,0.091625,0.303557,-0.948398,-0.09175365261472043
1760630302.048181,-0.160519,-0.004373,0.31116,0.936693,-0.002739,-0.007229,0.010564,-0.000189,-0.000793,-0.000633,0.091701,0.303435,-0.948429,-0.09183003460647197
1760630302.048438,-0.16047,-0.004337,0.311278,0.936662,-0.002348,-0.009037,0.013382,-0.000607,-0.000208,9.8e-05,0.091777,0.303313,-0.948461,-0.09190632782762034
1760630302.048778,-0.160422,-0.004301,0.311397,0.936631,-0.001958,-0.010844,0.0162,-0.001024,0.000377,0.00083,0.091854,0.303191,-0.948493,-0.09198361530976035
1760630302.076686,-0.159936,-0.004181,0.31171,0.936611,-0.002044,-0.006827,0.006551,-0.000649,0.003925,0.003888,0.091876,0.302202,-0.948806,-0.09200574733707802
1760630302.124025,-0.159925,-0.004262,0.311713,0.936611,0.000321,-0.002256,0.000323,-0.000661,0.004,0.003963,0.091717,0.302233,-0.948811,-0.0918461176383892
1760630302.124359,-0.159915,-0.004344,0.311716,0.936612,0.002687,0.002316,-0.005906,-0.000673,0.004075,0.004037,0.091559,0.302265,-0.948817,-0.09168736848700788
1760630302.15871,-0.160189,-0.004378,0.311466,0.936648,0.003354,0.025245,-0.018821,0.00035,0.002022,0.007152,0.091585,0.302809,-0.94864,-0.09171356683189169
1760630302.159018,-0.160339,-0.004266,0.311309,0.936675,0.00372,0.030553,-0.020802,-0.00059,-1.6e-05,0.004908,0.091839,0.303028,-0.948546,-0.09196859895969293
1760630302.187787,-0.160474,-0.004137,0.311117,0.936716,0.005811,0.034828,-0.022481,-0.000591,-0.000474,0.002862,0.092102,0.303212,-0.948462,-0.09223269174737748
1760630302.18988,-0.160757,-0.00382,0.310653,0.936823,0.008884,0.036424,-0.021512,-0.000591,-0.000887,0.001011,0.092721,0.303576,-0.948285,-0.09285437261489829
