t_sec,event,value,confidence
1760636558.204,UPRIGHT_HOLD_START,type=normal_slouch,0.000
1760636561.654,SLOUCH_START,type=normal_slouch,0.000
1760636562.104,SLOUCHED_HOLD_START,type=normal_slouch,0.000
1760636569.028,RECOVERY_START,type=normal_slouch,2.187
1760636569.101,UPRIGHT_HOLD_START,type=normal_slouch,8.256
1760636575.225,SLOUCH_START,type=fast_slouch,0.000
1760636575.675,SLOUCHED_HOLD_START,type=fast_slouch,0.000
1760636581.823,RECOVERY_START,type=fast_slouch,2.309
1760636582.667,UPRIGHT_HOLD_START,type=fast_slouch,17.481
1760636592.660,SLOUCH_START,type=micro_slouch,2.574
1760636593.897,SLOUCHED_HOLD_START,type=micro_slouch,357.897
1760636597.688,RECOVERY_START,type=micro_slouch,2.071
1760636598.393,UPRIGHT_HOLD_START,type=micro_slouch,6.415
1760636605.821,NOSLOUCH_START,type=lateral_left,0.000
1760636606.271,NOSLOUCHED_HOLD_START,type=lateral_left,0.000
1760636613.090,RECOVERY_START,type=lateral_left,2.020
1760636613.169,UPRIGHT_HOLD_START,type=lateral_left,13.912
1760636621.848,NOSLOUCH_START,type=lateral_right,0.000
1760636622.298,NOSLOUCHED_HOLD_START,type=lateral_right,0.000
1760636629.020,RECOVERY_START,type=lateral_right,2.042
1760636629.124,UPRIGHT_HOLD_START,type=lateral_right,355.320
1760636638.142,NOSLOUCH_START,type=neck_only,2.018
1760636639.791,NOSLOUCHED_HOLD_START,type=neck_only,5.620
1760636643.227,RECOVERY_START,type=neck_only,2.139
1760636643.783,UPRIGHT_HOLD_START,type=neck_only,35.722
1760636653.352,NOSLOUCH_START,type=reach_left,2.106
1760636656.024,NOSLOUCHED_HOLD_START,type=reach_left,359.625
1760636659.941,RECOVERY_START,type=reach_left,0.215
1760636659.998,UPRIGHT_HOLD_START,type=reach_left,356.530
1760636665.549,NOSLOUCH_START,type=reach_right,0.000
1760636665.999,NOSLOUCHED_HOLD_START,type=reach_right,0.000
1760636671.787,RECOVERY_START,type=reach_right,-0.323
1760636671.865,UPRIGHT_HOLD_START,type=reach_right,205.947
1760636682.882,SLOUCH_START,type=normal_slouch,2.377
1760636684.013,SLOUCHED_HOLD_START,type=normal_slouch,8.255
1760636688.313,RECOVERY_START,type=normal_slouch,2.061
1760636688.551,UPRIGHT_HOLD_START,type=normal_slouch,14.402
1760636695.235,SLOUCH_START,type=fast_slouch,0.000
1760636695.685,SLOUCHED_HOLD_START,type=fast_slouch,0.000
1760636702.859,RECOVERY_START,type=fast_slouch,1.343
1760636703.005,UPRIGHT_HOLD_START,type=fast_slouch,16.192
1760636710.962,SLOUCH_START,type=micro_slouch,0.000
1760636711.362,SLOUCHED_HOLD_START,type=micro_slouch,0.000
1760636717.239,RECOVERY_START,type=micro_slouch,3.080
1760636718.039,UPRIGHT_HOLD_START,type=micro_slouch,2.924
1760636728.055,NOSLOUCH_START,type=lateral_left,1.650
1760636730.306,NOSLOUCHED_HOLD_START,type=lateral_left,2.984
1760636733.125,RECOVERY_START,type=lateral_left,1.654
1760636733.195,UPRIGHT_HOLD_START,type=lateral_left,14.949
1760636740.428,NOSLOUCH_START,type=lateral_right,0.000
1760636740.878,NOSLOUCHED_HOLD_START,type=lateral_right,0.000
1760636746.913,RECOVERY_START,type=lateral_right,1.427
1760636747.181,UPRIGHT_HOLD_START,type=lateral_right,12.178
1760636757.183,NOSLOUCH_START,type=neck_only,3.683
1760636759.050,NOSLOUCHED_HOLD_START,type=neck_only,4.210
1760636762.168,RECOVERY_START,type=neck_only,2.230
1760636762.665,UPRIGHT_HOLD_START,type=neck_only,32.793
1760636771.675,NOSLOUCH_START,type=reach_left,0.000
1760636772.125,NOSLOUCHED_HOLD_START,type=reach_left,0.000
1760636778.381,RECOVERY_START,type=reach_left,2.100
1760636778.473,UPRIGHT_HOLD_START,type=reach_left,7.721
1760636786.465,NOSLOUCH_START,type=reach_right,0.000
1760636786.915,NOSLOUCHED_HOLD_START,type=reach_right,0.000
1760636794.232,RECOVERY_START,type=reach_right,0.223
1760636794.327,UPRIGHT_HOLD_START,type=reach_right,3.595
1760636802.568,SLOUCH_START,type=normal_slouch,3.342
1760636803.766,SLOUCHED_HOLD_START,type=normal_slouch,5.247
1760636809.723,RECOVERY_START,type=normal_slouch,1.561
1760636809.821,UPRIGHT_HOLD_START,type=normal_slouch,13.510
1760636816.354,SLOUCH_START,type=fast_slouch,0.000
1760636816.804,SLOUCHED_HOLD_START,type=fast_slouch,0.000
1760636822.869,RECOVERY_START,type=fast_slouch,-0.238
1760636823.184,UPRIGHT_HOLD_START,type=fast_slouch,14.232
1760636833.812,SLOUCH_START,type=micro_slouch,3.835
1760636834.640,SLOUCHED_HOLD_START,type=micro_slouch,5.878
1760636838.279,RECOVERY_START,type=micro_slouch,2.325
