t_sec,event,value
3.779,BEEP_COUNTIN,3
4.779,BEEP_COUNTIN,2
5.779,BEEP_COUNTIN,1
6.779,BEEP_SLOUCH,type=normal_slouch
11.279,BEEP_RECOVER,type=normal_slouch
17.550,BEEP_COUNTIN,3
18.550,BEEP_COUNTIN,2
19.550,BEEP_COUNTIN,1
20.550,BEEP_SLOUCH,type=fast_slouch
25.050,BEEP_RECOVER,type=fast_slouch
33.050,BEEP_COUNTIN,3
34.050,BEEP_COUNTIN,2
35.050,BEEP_COUNTIN,1
36.050,BEEP_SLOUCH,type=micro_slouch
40.550,BEEP_RECOVER,type=micro_slouch
47.946,BEEP_COUNTIN,3
48.946,BEEP_COUNTIN,2
49.946,BEEP_COUNTIN,1
50.946,BEEP_SLOUCH,type=lateral_left
55.446,BEEP_RECOVER,type=lateral_left
63.973,BEEP_COUNTIN,3
64.973,BEEP_COUNTIN,2
65.973,BEEP_COUNTIN,1
66.973,BEEP_SLOUCH,type=lateral_right
71.473,BEEP_RECOVER,type=lateral_right
78.853,BEEP_COUNTIN,3
79.853,BEEP_COUNTIN,2
80.853,BEEP_COUNTIN,1
81.853,BEEP_SLOUCH,type=neck_only
86.353,BEEP_RECOVER,type=neck_only
94.284,BEEP_COUNTIN,3
95.284,BEEP_COUNTIN,2
96.284,BEEP_COUNTIN,1
97.284,BEEP_SLOUCH,type=reach_left
101.784,BEEP_RECOVER,type=reach_left
107.674,BEEP_COUNTIN,3
108.674,BEEP_COUNTIN,2
109.674,BEEP_COUNTIN,1
110.674,BEEP_SLOUCH,type=reach_right
115.174,BEEP_RECOVER,type=reach_right
123.344,BEEP_COUNTIN,3
124.344,BEEP_COUNTIN,2
125.344,BEEP_COUNTIN,1
126.344,BEEP_SLOUCH,type=normal_slouch
130.844,BEEP_RECOVER,type=normal_slouch
137.560,BEEP_COUNTIN,3
138.560,BEEP_COUNTIN,2
139.560,BEEP_COUNTIN,1
140.560,BEEP_SLOUCH,type=fast_slouch
145.060,BEEP_RECOVER,type=fast_slouch
152.937,BEEP_COUNTIN,3
153.937,BEEP_COUNTIN,2
154.937,BEEP_COUNTIN,1
155.937,BEEP_SLOUCH,type=micro_slouch
160.437,BEEP_RECOVER,type=micro_slouch
168.511,BEEP_COUNTIN,3
169.511,BEEP_COUNTIN,2
170.511,BEEP_COUNTIN,1
171.511,BEEP_SLOUCH,type=lateral_left
176.011,BEEP_RECOVER,type=lateral_left
182.553,BEEP_COUNTIN,3
183.553,BEEP_COUNTIN,2
184.553,BEEP_COUNTIN,1
185.553,BEEP_SLOUCH,type=lateral_right
190.053,BEEP_RECOVER,type=lateral_right
197.898,BEEP_COUNTIN,3
198.898,BEEP_COUNTIN,2
199.898,BEEP_COUNTIN,1
200.898,BEEP_SLOUCH,type=neck_only
205.398,BEEP_RECOVER,type=neck_only
213.800,BEEP_COUNTIN,3
214.800,BEEP_COUNTIN,2
215.800,BEEP_COUNTIN,1
216.800,BEEP_SLOUCH,type=reach_left
221.300,BEEP_RECOVER,type=reach_left
228.590,BEEP_COUNTIN,3
229.590,BEEP_COUNTIN,2
230.590,BEEP_COUNTIN,1
231.590,BEEP_SLOUCH,type=reach_right
236.090,BEEP_RECOVER,type=reach_right
242.941,BEEP_COUNTIN,3
243.941,BEEP_COUNTIN,2
244.941,BEEP_COUNTIN,1
245.941,BEEP_SLOUCH,type=normal_slouch
250.441,BEEP_RECOVER,type=normal_slouch
258.679,BEEP_COUNTIN,3
259.679,BEEP_COUNTIN,2
260.679,BEEP_COUNTIN,1
261.679,BEEP_SLOUCH,type=fast_slouch
266.179,BEEP_RECOVER,type=fast_slouch
274.119,BEEP_COUNTIN,3
275.119,BEEP_COUNTIN,2
276.119,BEEP_COUNTIN,1
277.119,BEEP_SLOUCH,type=micro_slouch
281.619,BEEP_RECOVER,type=micro_slouch
287.513,BEEP_COUNTIN,3
288.513,BEEP_COUNTIN,2
289.513,BEEP_COUNTIN,1
290.513,BEEP_SLOUCH,type=lateral_left
295.013,BEEP_RECOVER,type=lateral_left
304.112,BEEP_COUNTIN,3
305.112,BEEP_COUNTIN,2
306.112,BEEP_COUNTIN,1
307.112,BEEP_SLOUCH,type=lateral_right
311.612,BEEP_RECOVER,type=lateral_right
318.896,BEEP_COUNTIN,3
319.896,BEEP_COUNTIN,2
320.896,BEEP_COUNTIN,1
321.896,BEEP_SLOUCH,type=neck_only
326.396,BEEP_RECOVER,type=neck_only
333.181,BEEP_COUNTIN,3
334.181,BEEP_COUNTIN,2
335.181,BEEP_COUNTIN,1
336.181,BEEP_SLOUCH,type=reach_left
340.681,BEEP_RECOVER,type=reach_left
347.811,BEEP_COUNTIN,3
348.811,BEEP_COUNTIN,2
349.811,BEEP_COUNTIN,1
350.811,BEEP_SLOUCH,type=reach_right
355.311,BEEP_RECOVER,type=reach_right
