t_beep,event,type,onset_event,onset_time,hold_event,hold_time
1760643937.309578,BEEP_SLOUCH,normal_slouch,SLOUCH_START,1760643937.259578,SLOUCHED_HOLD_START,1760643938.209578
1760643941.809578,BEEP_RECOVER,normal_slouch,RECOVERY_START,1760643941.759578,UPRIGHT_HOLD_START,1760643942.709578
1760643951.080578,BEEP_SLOUCH,fast_slouch,SLOUCH_START,1760643951.030578,SLOUCHED_HOLD_START,1760643951.980578
1760643955.580578,BEEP_RECOVER,fast_slouch,RECOVERY_START,1760643955.530578,UPRIGHT_HOLD_START,1760643956.480578
1760643966.580578,BEEP_SLOUCH,micro_slouch,SLOUCH_START,1760643966.530578,SLOUCHED_HOLD_START,1760643967.480578
1760643971.080578,BEEP_RECOVER,micro_slouch,RECOVERY_START,1760643971.030578,UPRIGHT_HOLD_START,1760643971.980578
1760643981.476578,BEEP_SLOUCH,lateral_left,NOSLOUCH_START,1760643981.426578,NOSLOUCHED_HOLD_START,1760643982.376578
1760643985.976578,BEEP_RECOVER,lateral_left,RECOVERY_START,1760643985.926578,UPRIGHT_HOLD_START,1760643986.876578
1760643997.503578,BEEP_SLOUCH,lateral_right,NOSLOUCH_START,1760643997.453578,NOSLOUCHED_HOLD_START,1760643998.403578
1760644002.003578,BEEP_RECOVER,lateral_right,RECOVERY_START,1760644001.953578,UPRIGHT_HOLD_START,1760644002.903578
1760644012.383578,BEEP_SLOUCH,neck_only,SLOUCH_START,1760644012.333578,SLOUCHED_HOLD_START,1760644013.283578
1760644016.883578,BEEP_RECOVER,neck_only,RECOVERY_START,1760644016.833578,UPRIGHT_HOLD_START,1760644017.783578
1760644027.814578,BEEP_SLOUCH,reach_left,NOSLOUCH_START,1760644027.764578,NOSLOUCHED_HOLD_START,1760644028.714578
1760644032.314578,BEEP_RECOVER,reach_left,RECOVERY_START,1760644032.264578,UPRIGHT_HOLD_START,1760644033.214578
