t_sec,event,value,confidence
1760171181.320,SLOUCH_START,type=normal_slouch,4.263
1760171182.171,SLOUCHED_HOLD_START,type=normal_slouch,7.601
1760171184.861,RECOVERY_START,type=normal_slouch,1.590
1760171185.276,UPRIGHT_HOLD_START,type=normal_slouch,3.257
1760171195.213,SLOUCH_START,type=fast_slouch,3.290
1760171196.052,SLOUCHED_HOLD_START,type=fast_slouch,12.889
1760171198.041,RECOVERY_START,type=fast_slouch,3.000
1760171198.320,UPRIGHT_HOLD_START,type=fast_slouch,2.310
1760171209.565,SLOUCH_START,type=micro_slouch,0.000
1760171209.965,SLOUCHED_HOLD_START,type=micro_slouch,0.000
1760171215.317,RECOVERY_START,type=micro_slouch,3.853
1760171216.515,UPRIGHT_HOLD_START,type=micro_slouch,10.103
1760171224.311,SLOUCH_START,type=lateral_left,0.000
1760171224.761,SLOUCHED_HOLD_START,type=lateral_left,0.000
1760171230.337,RECOVERY_START,type=lateral_left,2.495
1760171231.525,UPRIGHT_HOLD_START,type=lateral_left,4.387
1760171240.338,SLOUCH_START,type=lateral_right,0.000
1760171240.788,SLOUCHED_HOLD_START,type=lateral_right,0.000
1760171244.838,RECOVERY_START,type=lateral_right,0.000
1760171245.288,UPRIGHT_HOLD_START,type=lateral_right,0.000
1760171299.709,SLOUCH_START,type=normal_slouch,0.000
1760171300.159,SLOUCHED_HOLD_START,type=normal_slouch,0.000
1760171305.588,RECOVERY_START,type=normal_slouch,3.145
1760171307.600,UPRIGHT_HOLD_START,type=normal_slouch,10.278
1760171314.972,SLOUCH_START,type=fast_slouch,2.074
1760171315.965,SLOUCHED_HOLD_START,type=fast_slouch,9.552
1760171319.833,RECOVERY_START,type=fast_slouch,3.612
1760171320.972,UPRIGHT_HOLD_START,type=fast_slouch,10.841
1760171330.439,SLOUCH_START,type=micro_slouch,2.663
1760171331.126,SLOUCHED_HOLD_START,type=micro_slouch,7.120
1760171335.025,RECOVERY_START,type=micro_slouch,2.593
1760171336.275,UPRIGHT_HOLD_START,type=micro_slouch,7.580
1760171344.876,SLOUCH_START,type=lateral_left,0.000
1760171345.326,SLOUCHED_HOLD_START,type=lateral_left,0.000
1760171350.795,RECOVERY_START,type=lateral_left,2.200
1760171351.435,UPRIGHT_HOLD_START,type=lateral_left,7.902
1760171359.772,SLOUCH_START,type=lateral_right,2.270
1760171361.030,SLOUCHED_HOLD_START,type=lateral_right,2.528
1760171364.768,RECOVERY_START,type=lateral_right,2.750
1760171365.863,UPRIGHT_HOLD_START,type=lateral_right,6.947
1760171419.306,SLOUCH_START,type=normal_slouch,0.000
1760171419.756,SLOUCHED_HOLD_START,type=normal_slouch,0.000
1760171425.212,RECOVERY_START,type=normal_slouch,2.235
1760171426.144,UPRIGHT_HOLD_START,type=normal_slouch,11.755
1760171434.844,SLOUCH_START,type=fast_slouch,0.000
1760171435.294,SLOUCHED_HOLD_START,type=fast_slouch,0.000
1760171440.904,RECOVERY_START,type=fast_slouch,2.166
1760171442.043,UPRIGHT_HOLD_START,type=fast_slouch,10.865
1760171451.319,SLOUCH_START,type=micro_slouch,2.437
1760171452.666,SLOUCHED_HOLD_START,type=micro_slouch,283.396
1760171456.327,RECOVERY_START,type=micro_slouch,3.391
1760171457.936,UPRIGHT_HOLD_START,type=micro_slouch,8.507
1760171463.878,SLOUCH_START,type=lateral_left,0.000
1760171464.328,SLOUCHED_HOLD_START,type=lateral_left,0.000
1760171469.785,RECOVERY_START,type=lateral_left,2.672
1760171471.134,UPRIGHT_HOLD_START,type=lateral_left,8.879
1760171480.477,SLOUCH_START,type=lateral_right,0.000
1760171480.927,SLOUCHED_HOLD_START,type=lateral_right,0.000
1760171484.977,RECOVERY_START,type=lateral_right,0.000
1760171485.427,UPRIGHT_HOLD_START,type=lateral_right,0.000
