t_beep,event,type,onset_event,onset_time,hold_event,hold_time
1760172677.608870,BEEP_SLOUCH,normal_slouch,SLOUCH_START,1760172677.058870,SLOUCHED_HOLD_START,1760172678.058870
1760172682.108870,BEEP_RECOVER,normal_slouch,RECOVERY_START,1760172681.558870,UPRIGHT_HOLD_START,1760172682.558870
1760172691.379870,BEEP_SLOUCH,fast_slouch,SLOUCH_START,1760172690.829870,SLOUCHED_HOLD_START,1760172691.829870
1760172695.879870,BEEP_RECOVER,fast_slouch,RECOVERY_START,1760172695.329870,UPRIGHT_HOLD_START,1760172696.329870
1760172706.879870,BEEP_SLOUCH,micro_slouch,SLOUCH_START,1760172706.329870,SLOUCHED_HOLD_START,1760172707.329870
1760172711.379870,BEEP_RECOVER,micro_slouch,RECOVERY_START,1760172710.829870,UPRIGHT_HOLD_START,1760172711.829870
1760172721.775870,BEEP_SLOUCH,lateral_left,NOSLOUCH_START,1760172721.225870,NOSLOUCHED_HOLD_START,1760172722.225870
1760172726.275870,BEEP_RECOVER,lateral_left,RECOVERY_START,1760172725.725870,UPRIGHT_HOLD_START,1760172726.725870
1760172737.802870,BEEP_SLOUCH,lateral_right,NOSLOUCH_START,1760172737.252870,NOSLOUCHED_HOLD_START,1760172738.252870
1760172742.302870,BEEP_RECOVER,lateral_right,RECOVERY_START,1760172741.752870,UPRIGHT_HOLD_START,1760172742.752870
1760172752.682870,BEEP_SLOUCH,neck_only,SLOUCH_START,1760172752.132870,SLOUCHED_HOLD_START,1760172753.132870
1760172757.182870,BEEP_RECOVER,neck_only,RECOVERY_START,1760172756.632870,UPRIGHT_HOLD_START,1760172757.632870
1760172768.113870,BEEP_SLOUCH,reach_left,NOSLOUCH_START,1760172767.563870,NOSLOUCHED_HOLD_START,1760172768.563870
1760172772.613870,BEEP_RECOVER,reach_left,RECOVERY_START,1760172772.063870,UPRIGHT_HOLD_START,1760172773.063870
1760172781.503870,BEEP_SLOUCH,reach_right,NOSLOUCH_START,1760172780.953870,NOSLOUCHED_HOLD_START,1760172781.953870
1760172786.003870,BEEP_RECOVER,reach_right,RECOVERY_START,1760172785.453870,UPRIGHT_HOLD_START,1760172786.453870
1760172797.173870,BEEP_SLOUCH,normal_slouch,SLOUCH_START,1760172796.623870,SLOUCHED_HOLD_START,1760172797.623870
1760172801.673870,BEEP_RECOVER,normal_slouch,RECOVERY_START,1760172801.123870,UPRIGHT_HOLD_START,1760172802.123870
1760172811.389870,BEEP_SLOUCH,fast_slouch,SLOUCH_START,1760172810.839870,SLOUCHED_HOLD_START,1760172811.839870
1760172815.889870,BEEP_RECOVER,fast_slouch,RECOVERY_START,1760172815.339870,UPRIGHT_HOLD_START,1760172816.339870
1760172826.766870,BEEP_SLOUCH,micro_slouch,SLOUCH_START,1760172826.216870,SLOUCHED_HOLD_START,1760172827.216870
1760172831.266870,BEEP_RECOVER,micro_slouch,RECOVERY_START,1760172830.716870,UPRIGHT_HOLD_START,1760172831.716870
1760172842.340870,BEEP_SLOUCH,lateral_left,NOSLOUCH_START,1760172841.790870,NOSLOUCHED_HOLD_START,1760172842.790870
1760172846.840870,BEEP_RECOVER,lateral_left,RECOVERY_START,1760172846.290870,UPRIGHT_HOLD_START,1760172847.290870
1760172856.382870,BEEP_SLOUCH,lateral_right,NOSLOUCH_START,1760172855.832870,NOSLOUCHED_HOLD_START,1760172856.832870
1760172860.882870,BEEP_RECOVER,lateral_right,RECOVERY_START,1760172860.332870,UPRIGHT_HOLD_START,1760172861.332870
1760172871.727870,BEEP_SLOUCH,neck_only,SLOUCH_START,1760172871.177870,SLOUCHED_HOLD_START,1760172872.177870
1760172876.227870,BEEP_RECOVER,neck_only,RECOVERY_START,1760172875.677870,UPRIGHT_HOLD_START,1760172876.677870
1760172887.629870,BEEP_SLOUCH,reach_left,NOSLOUCH_START,1760172887.079870,NOSLOUCHED_HOLD_START,1760172888.079870
1760172892.129870,BEEP_RECOVER,reach_left,RECOVERY_START,1760172891.579870,UPRIGHT_HOLD_START,1760172892.579870
1760172902.419870,BEEP_SLOUCH,reach_right,NOSLOUCH_START,1760172901.869870,NOSLOUCHED_HOLD_START,1760172902.869870
1760172906.919870,BEEP_RECOVER,reach_right,RECOVERY_START,1760172906.369870,UPRIGHT_HOLD_START,1760172907.369870
1760172916.770870,BEEP_SLOUCH,normal_slouch,SLOUCH_START,1760172916.220870,SLOUCHED_HOLD_START,1760172917.220870
