t_beep,event,type,axis_chosen,onset_time,hold_time,onset_score,dtheta,max_pitch,max_roll
1760173131.608799,BEEP_SLOUCH,normal_slouch,roll,1760173132.668292,1760173133.826664,74.88111938476422,262.08391784667475,38.92772115918163,279.05661647248104
1760173136.108799,BEEP_RECOVER,normal_slouch,roll,1760173137.507363,1760173138.312933,24.19981411476194,84.69934940166678,25.148365478978878,214.25791512516236
1760173145.379799,BEEP_SLOUCH,fast_slouch,roll,1760173146.245765,1760173147.52793,64.19712658987598,224.6899430645659,19.517603001959518,287.76766732988506
1760173149.879799,BEEP_RECOVER,fast_slouch,roll,1760173151.268026,1760173152.439743,19.289213437670178,67.51224703184562,13.972023676038802,207.1588372531678
1760173160.879799,BEEP_SLOUCH,micro_slouch,roll,1760173161.927527,1760173163.148971,85.95397141208855,300.8388999423099,13.322796980637554,306.2082575728989
1760173165.379799,BEEP_RECOVER,micro_slouch,roll,1760173166.819349,1760173167.526189,16.665299143919917,58.328547003719706,16.927897978794697,247.12462121432267
1760173175.775799,BEEP_SLOUCH,lateral_left,pitch,1760173176.398899,1760173178.420428,2.7445791975905194,16.467475185543115,88.35539138299558,317.7044552558847
1760173180.275799,BEEP_RECOVER,lateral_left,roll,1760173181.740242,1760173183.959785,6.335923605663369,22.175732619821794,110.81323964330363,191.46889321027223
1760173191.802799,BEEP_SLOUCH,lateral_right,fallback,nan,nan,0.0,0.0,86.79276681494116,66.14414639356875
1760173196.302799,BEEP_RECOVER,lateral_right,pitch,1760173197.791417,1760173198.859653,2.413558106971261,14.481348641827566,151.2176753321906,22.560337800392375
1760173206.6827989,BEEP_SLOUCH,neck_only,roll,1760173207.363961,1760173207.578689,1.794191176081735,6.2796691162860725,9.824189574194046,301.8302217190263
1760173211.1827989,BEEP_RECOVER,neck_only,roll,1760173212.546313,1760173213.467527,19.73370179722884,69.06795629030094,6.3812326152688925,242.5304449731421
1760173222.1137989,BEEP_SLOUCH,reach_left,pitch,1760173223.168814,1760173224.813292,9.80240176397734,58.81441058386404,80.83142419978489,300.3214833511429
