t_sec,event,value
1760173554.468,UPRIGHT_HOLD_START,type=normal_slouch
1760173558.697,SLOUCH_START,type=normal_slouch
1760173559.697,SLOUCHED_HOLD_START,type=normal_slouch
1760173563.197,RECOVERY_START,type=normal_slouch
1760173564.197,UPRIGHT_HOLD_START,type=normal_slouch
1760173572.468,SLOUCH_START,type=fast_slouch
1760173573.468,SLOUCHED_HOLD_START,type=fast_slouch
1760173576.968,RECOVERY_START,type=fast_slouch
1760173577.968,UPRIGHT_HOLD_START,type=fast_slouch
1760173587.968,SLOUCH_START,type=micro_slouch
1760173588.968,SLOUCHED_HOLD_START,type=micro_slouch
1760173592.468,RECOVERY_START,type=micro_slouch
1760173593.468,UPRIGHT_HOLD_START,type=micro_slouch
1760173602.864,NOSLOUCH_START,type=lateral_left
1760173603.864,NOSLOUCHED_HOLD_START,type=lateral_left
1760173607.364,RECOVERY_START,type=lateral_left
1760173608.364,UPRIGHT_HOLD_START,type=lateral_left
1760173618.891,NOSLOUCH_START,type=lateral_right
1760173619.891,NOSLOUCHED_HOLD_START,type=lateral_right
1760173623.391,RECOVERY_START,type=lateral_right
1760173624.391,UPRIGHT_HOLD_START,type=lateral_right
1760173633.771,SLOUCH_START,type=neck_only
1760173634.771,SLOUCHED_HOLD_START,type=neck_only
1760173638.271,RECOVERY_START,type=neck_only
1760173639.271,UPRIGHT_HOLD_START,type=neck_only
1760173649.202,NOSLOUCH_START,type=reach_left
1760173650.202,NOSLOUCHED_HOLD_START,type=reach_left
1760173653.702,RECOVERY_START,type=reach_left
1760173654.702,UPRIGHT_HOLD_START,type=reach_left
1760173662.592,NOSLOUCH_START,type=reach_right
1760173663.592,NOSLOUCHED_HOLD_START,type=reach_right
1760173667.092,RECOVERY_START,type=reach_right
1760173668.092,UPRIGHT_HOLD_START,type=reach_right
1760173678.262,SLOUCH_START,type=normal_slouch
1760173679.262,SLOUCHED_HOLD_START,type=normal_slouch
1760173682.762,RECOVERY_START,type=normal_slouch
1760173683.762,UPRIGHT_HOLD_START,type=normal_slouch
1760173692.478,SLOUCH_START,type=fast_slouch
1760173693.478,SLOUCHED_HOLD_START,type=fast_slouch
1760173696.978,RECOVERY_START,type=fast_slouch
1760173697.978,UPRIGHT_HOLD_START,type=fast_slouch
1760173707.855,SLOUCH_START,type=micro_slouch
1760173708.855,SLOUCHED_HOLD_START,type=micro_slouch
1760173712.355,RECOVERY_START,type=micro_slouch
1760173713.355,UPRIGHT_HOLD_START,type=micro_slouch
1760173723.429,NOSLOUCH_START,type=lateral_left
1760173724.429,NOSLOUCHED_HOLD_START,type=lateral_left
1760173727.929,RECOVERY_START,type=lateral_left
1760173728.929,UPRIGHT_HOLD_START,type=lateral_left
1760173737.471,NOSLOUCH_START,type=lateral_right
1760173738.471,NOSLOUCHED_HOLD_START,type=lateral_right
1760173741.971,RECOVERY_START,type=lateral_right
1760173742.971,UPRIGHT_HOLD_START,type=lateral_right
1760173752.816,SLOUCH_START,type=neck_only
1760173753.816,SLOUCHED_HOLD_START,type=neck_only
1760173757.316,RECOVERY_START,type=neck_only
1760173758.316,UPRIGHT_HOLD_START,type=neck_only
1760173768.718,NOSLOUCH_START,type=reach_left
1760173769.718,NOSLOUCHED_HOLD_START,type=reach_left
1760173773.218,RECOVERY_START,type=reach_left
1760173774.218,UPRIGHT_HOLD_START,type=reach_left
1760173783.508,NOSLOUCH_START,type=reach_right
1760173784.508,NOSLOUCHED_HOLD_START,type=reach_right
1760173788.008,RECOVERY_START,type=reach_right
1760173789.008,UPRIGHT_HOLD_START,type=reach_right
1760173797.859,SLOUCH_START,type=normal_slouch
1760173798.859,SLOUCHED_HOLD_START,type=normal_slouch
1760173802.359,RECOVERY_START,type=normal_slouch
1760173803.359,UPRIGHT_HOLD_START,type=normal_slouch
1760173813.597,SLOUCH_START,type=fast_slouch
1760173814.597,SLOUCHED_HOLD_START,type=fast_slouch
1760173818.097,RECOVERY_START,type=fast_slouch
1760173819.097,UPRIGHT_HOLD_START,type=fast_slouch
1760173829.037,SLOUCH_START,type=micro_slouch
1760173830.037,SLOUCHED_HOLD_START,type=micro_slouch
1760173833.537,RECOVERY_START,type=micro_slouch
1760173834.537,UPRIGHT_HOLD_START,type=micro_slouch
1760173842.431,NOSLOUCH_START,type=lateral_left
1760173843.431,NOSLOUCHED_HOLD_START,type=lateral_left
1760173846.931,RECOVERY_START,type=lateral_left
1760173847.931,UPRIGHT_HOLD_START,type=lateral_left
1760173859.030,NOSLOUCH_START,type=lateral_right
1760173860.030,NOSLOUCHED_HOLD_START,type=lateral_right
1760173863.530,RECOVERY_START,type=lateral_right
1760173864.530,UPRIGHT_HOLD_START,type=lateral_right
1760173873.814,SLOUCH_START,type=neck_only
1760173874.814,SLOUCHED_HOLD_START,type=neck_only
1760173878.314,RECOVERY_START,type=neck_only
1760173879.314,UPRIGHT_HOLD_START,type=neck_only
1760173888.099,NOSLOUCH_START,type=reach_left
1760173889.099,NOSLOUCHED_HOLD_START,type=reach_left
1760173892.599,RECOVERY_START,type=reach_left
1760173893.599,UPRIGHT_HOLD_START,type=reach_left
1760173902.729,NOSLOUCH_START,type=reach_right
1760173903.729,NOSLOUCHED_HOLD_START,type=reach_right
1760173907.229,RECOVERY_START,type=reach_right
1760173908.229,UPRIGHT_HOLD_START,type=reach_right
