t_beep,event,type,onset_event,onset_time,hold_event,hold_time
1760039331.495429,BEEP_SLOUCH,normal_slouch,SLOUCH_START,1760039331.445429,SLOUCHED_HOLD_START,1760039332.395429
1760039335.995429,BEEP_RECOVER,normal_slouch,RECOVERY_START,1760039335.945429,UPRIGHT_HOLD_START,1760039336.895429
1760039345.266429,BEEP_SLOUCH,fast_slouch,SLOUCH_START,1760039345.216429,SLOUCHED_HOLD_START,1760039346.166429
1760039349.766429,BEEP_RECOVER,fast_slouch,RECOVERY_START,1760039349.716429,UPRIGHT_HOLD_START,1760039350.666429
1760039360.766429,BEEP_SLOUCH,micro_slouch,SLOUCH_START,1760039360.716429,SLOUCHED_HOLD_START,1760039361.666429
1760039365.266429,BEEP_RECOVER,micro_slouch,RECOVERY_START,1760039365.216429,UPRIGHT_HOLD_START,1760039366.166429
1760039375.662429,BEEP_SLOUCH,lateral_left,NOSLOUCH_START,1760039375.612429,NOSLOUCHED_HOLD_START,1760039376.562429
1760039380.162429,BEEP_RECOVER,lateral_left,RECOVERY_START,1760039380.112429,UPRIGHT_HOLD_START,1760039381.062429
1760039391.689429,BEEP_SLOUCH,lateral_right,NOSLOUCH_START,1760039391.639429,NOSLOUCHED_HOLD_START,1760039392.589429
1760039396.189429,BEEP_RECOVER,lateral_right,RECOVERY_START,1760039396.139429,UPRIGHT_HOLD_START,1760039397.089429
1760039406.569429,BEEP_SLOUCH,neck_only,SLOUCH_START,1760039406.519429,SLOUCHED_HOLD_START,1760039407.469429
1760039411.069429,BEEP_RECOVER,neck_only,RECOVERY_START,1760039411.019429,UPRIGHT_HOLD_START,1760039411.969429
1760039422.000429,BEEP_SLOUCH,reach_left,NOSLOUCH_START,1760039421.950429,NOSLOUCHED_HOLD_START,1760039422.900429
1760039426.500429,BEEP_RECOVER,reach_left,RECOVERY_START,1760039426.450429,UPRIGHT_HOLD_START,1760039427.400429
1760039435.390429,BEEP_SLOUCH,reach_right,NOSLOUCH_START,1760039435.340429,NOSLOUCHED_HOLD_START,1760039436.290429
1760039439.890429,BEEP_RECOVER,reach_right,RECOVERY_START,1760039439.840429,UPRIGHT_HOLD_START,1760039440.790429
1760039451.060429,BEEP_SLOUCH,normal_slouch,SLOUCH_START,1760039451.010429,SLOUCHED_HOLD_START,1760039451.960429
1760039455.560429,BEEP_RECOVER,normal_slouch,RECOVERY_START,1760039455.510429,UPRIGHT_HOLD_START,1760039456.460429
1760039465.276429,BEEP_SLOUCH,fast_slouch,SLOUCH_START,1760039465.226429,SLOUCHED_HOLD_START,1760039466.176429
1760039469.776429,BEEP_RECOVER,fast_slouch,RECOVERY_START,1760039469.726429,UPRIGHT_HOLD_START,1760039470.676429
1760039480.653429,BEEP_SLOUCH,micro_slouch,SLOUCH_START,1760039480.603429,SLOUCHED_HOLD_START,1760039481.553429
1760039485.153429,BEEP_RECOVER,micro_slouch,RECOVERY_START,1760039485.103429,UPRIGHT_HOLD_START,1760039486.053429
1760039496.227429,BEEP_SLOUCH,lateral_left,NOSLOUCH_START,1760039496.177429,NOSLOUCHED_HOLD_START,1760039497.127429
1760039500.727429,BEEP_RECOVER,lateral_left,RECOVERY_START,1760039500.677429,UPRIGHT_HOLD_START,1760039501.627429
1760039510.269429,BEEP_SLOUCH,lateral_right,NOSLOUCH_START,1760039510.219429,NOSLOUCHED_HOLD_START,1760039511.169429
1760039514.769429,BEEP_RECOVER,lateral_right,RECOVERY_START,1760039514.719429,UPRIGHT_HOLD_START,1760039515.669429
1760039525.614429,BEEP_SLOUCH,neck_only,SLOUCH_START,1760039525.564429,SLOUCHED_HOLD_START,1760039526.514429
1760039530.114429,BEEP_RECOVER,neck_only,RECOVERY_START,1760039530.064429,UPRIGHT_HOLD_START,1760039531.014429
1760039541.516429,BEEP_SLOUCH,reach_left,NOSLOUCH_START,1760039541.466429,NOSLOUCHED_HOLD_START,1760039542.416429
1760039546.016429,BEEP_RECOVER,reach_left,RECOVERY_START,1760039545.966429,UPRIGHT_HOLD_START,1760039546.916429
1760039556.306429,BEEP_SLOUCH,reach_right,NOSLOUCH_START,1760039556.256429,NOSLOUCHED_HOLD_START,1760039557.206429
1760039560.806429,BEEP_RECOVER,reach_right,RECOVERY_START,1760039560.756429,UPRIGHT_HOLD_START,1760039561.706429
1760039570.657429,BEEP_SLOUCH,normal_slouch,SLOUCH_START,1760039570.607429,SLOUCHED_HOLD_START,1760039571.557429
1760039575.157429,BEEP_RECOVER,normal_slouch,RECOVERY_START,1760039575.107429,UPRIGHT_HOLD_START,1760039576.057429
1760039586.395429,BEEP_SLOUCH,fast_slouch,SLOUCH_START,1760039586.345429,SLOUCHED_HOLD_START,1760039587.295429
1760039590.895429,BEEP_RECOVER,fast_slouch,RECOVERY_START,1760039590.845429,UPRIGHT_HOLD_START,1760039591.795429
1760039601.835429,BEEP_SLOUCH,micro_slouch,SLOUCH_START,1760039601.785429,SLOUCHED_HOLD_START,1760039602.735429
1760039606.335429,BEEP_RECOVER,micro_slouch,RECOVERY_START,1760039606.285429,UPRIGHT_HOLD_START,1760039607.235429
1760039615.229429,BEEP_SLOUCH,lateral_left,NOSLOUCH_START,1760039615.179429,NOSLOUCHED_HOLD_START,1760039616.129429
1760039619.729429,BEEP_RECOVER,lateral_left,RECOVERY_START,1760039619.679429,UPRIGHT_HOLD_START,1760039620.629429
1760039631.828429,BEEP_SLOUCH,lateral_right,NOSLOUCH_START,1760039631.778429,NOSLOUCHED_HOLD_START,1760039632.728429
1760039636.328429,BEEP_RECOVER,lateral_right,RECOVERY_START,1760039636.278429,UPRIGHT_HOLD_START,1760039637.228429
1760039646.612429,BEEP_SLOUCH,neck_only,SLOUCH_START,1760039646.562429,SLOUCHED_HOLD_START,1760039647.512429
1760039651.112429,BEEP_RECOVER,neck_only,RECOVERY_START,1760039651.062429,UPRIGHT_HOLD_START,1760039652.012429
1760039660.897429,BEEP_SLOUCH,reach_left,NOSLOUCH_START,1760039660.847429,NOSLOUCHED_HOLD_START,1760039661.797429
1760039665.397429,BEEP_RECOVER,reach_left,RECOVERY_START,1760039665.347429,UPRIGHT_HOLD_START,1760039666.297429
