t_beep,event,type,axis_chosen,onset_time,hold_time,onset_score,dtheta,max_pitch,max_roll
1760039837.388582,BEEP_SLOUCH,normal_slouch,roll,1760039839.095559,1760039840.603667,1.1567368193874634,4.048578867856122,1.1031303179838794,15.875480359891185
1760039841.888582,BEEP_RECOVER,normal_slouch,roll,1760039843.923626,1760039844.916927,2.1364028782858133,7.477410074000346,1.7521008510682896,21.629219551986665
1760039851.159582,BEEP_SLOUCH,fast_slouch,roll,1760039852.764446,1760039854.331374,1.5414435194049143,2.6435756357794276,2.1609453010974162,23.540659631891657
1760039855.659582,BEEP_RECOVER,fast_slouch,roll,1760039857.5157,1760039858.707917,2.4004779407654757,8.401672792679165,3.5225681805287294,27.393352047792945
1760039866.659582,BEEP_SLOUCH,micro_slouch,roll,1760039867.942371,1760039869.061869,1.4561330524487657,2.4972681849496325,1.7721885956610435,16.15999438257029
1760039871.159582,BEEP_RECOVER,micro_slouch,roll,1760039873.058742,1760039874.10673,1.9871312417522355,6.954959346132824,1.8021120207265744,15.98863777237608
1760039881.555582,BEEP_SLOUCH,lateral_left,fallback,nan,nan,0.0,0.0,21.301396308082992,5.2468268410410985
1760039886.055582,BEEP_RECOVER,lateral_left,pitch,1760039888.137508,1760039889.265799,1.3158938849823547,7.895363309894129,25.397246676292482,3.325343641482675
1760039897.582582,BEEP_SLOUCH,lateral_right,fallback,nan,nan,0.0,0.0,27.420270213195863,8.757231082007337
1760039902.082582,BEEP_RECOVER,lateral_right,pitch,1760039904.0498,1760039904.942906,1.9119580477020162,11.471748286212097,33.72554383999058,7.867460626637666
1760039956.953582,BEEP_SLOUCH,normal_slouch,fallback,nan,nan,0.0,0.0,2.057230368175556,24.701356045325326
1760039961.453582,BEEP_RECOVER,normal_slouch,roll,1760039963.393783,1760039964.432676,2.5125932632546357,8.794076421391225,3.2249027891176043,24.981959287411456
1760039971.169582,BEEP_SLOUCH,fast_slouch,fallback,nan,nan,0.0,0.0,0.6475271754946119,22.451434713813768
1760039975.669582,BEEP_RECOVER,fast_slouch,roll,1760039977.563732,1760039979.015505,1.307214250149473,4.575249875523156,1.7417310053057924,23.89428124696184
1760039986.546582,BEEP_SLOUCH,micro_slouch,fallback,nan,nan,0.0,0.0,1.243786449942912,11.07926980294792
1760039991.046582,BEEP_RECOVER,micro_slouch,roll,1760039992.950887,1760039994.180909,1.2855314283365666,4.499359999177983,0.7476871381008496,13.379579653490879
1760040002.1205819,BEEP_SLOUCH,lateral_left,fallback,nan,nan,0.0,0.0,24.759465524932985,1.2192653042522466
1760040006.6205819,BEEP_RECOVER,lateral_left,pitch,1760040008.703608,1760040009.401838,1.7484530475576323,10.490718285345794,28.8978916275026,2.6314505757350446
1760040016.162582,BEEP_SLOUCH,lateral_right,fallback,nan,nan,0.0,0.0,28.210049839049336,2.7479448232232926
1760040020.662582,BEEP_RECOVER,lateral_right,pitch,1760040022.695213,1760040023.170243,2.401475138771881,14.408850832631288,29.594639571794655,4.312732316346086
1760040076.550582,BEEP_SLOUCH,normal_slouch,fallback,nan,nan,0.0,0.0,3.1467507436977247,17.935734520440803
1760040081.050582,BEEP_RECOVER,normal_slouch,roll,1760040083.148512,1760040084.548109,1.4383046332347607,5.034066216321662,4.293508394455061,21.484780434495065
1760040092.2885818,BEEP_SLOUCH,fast_slouch,roll,1760040093.707847,1760040095.350572,1.728159282356501,2.9637931692413986,2.244784206267124,25.049035673525793
1760040096.7885818,BEEP_RECOVER,fast_slouch,roll,1760040098.81345,1760040099.786321,1.9762313186856286,6.9168096153997,2.7000827038355784,23.87659368456994
1760040107.728582,BEEP_SLOUCH,micro_slouch,fallback,nan,nan,0.0,0.0,1.6405183587443188,11.685457202361334
1760040112.228582,BEEP_RECOVER,micro_slouch,roll,1760040114.053708,1760040115.394103,1.1717563410954799,4.10114719383418,1.601507811783813,18.844446874986403
1760040121.122582,BEEP_SLOUCH,lateral_left,fallback,nan,nan,0.0,0.0,24.689636700904593,3.672062239178814
1760040125.622582,BEEP_RECOVER,lateral_left,pitch,1760040127.668401,1760040128.472755,1.5990635258123802,9.59438115487428,27.37092950593591,3.539930691316698
1760040137.721582,BEEP_SLOUCH,lateral_right,fallback,nan,nan,0.0,0.0,40.110574135138236,6.518063510503765
1760040142.221582,BEEP_RECOVER,lateral_right,pitch,1760040144.178782,1760040144.851556,2.7600750297160026,16.560450178296016,42.61101826949641,8.581855018849069
