t_sec,event,value
1760039834.389,UPRIGHT_HOLD_START,type=normal_slouch
1760039839.118,SLOUCH_START,type=normal_slouch
1760039840.068,SLOUCHED_HOLD_START,type=normal_slouch
1760039843.618,RECOVERY_START,type=normal_slouch
1760039844.568,UPRIGHT_HOLD_START,type=normal_slouch
1760039852.889,SLOUCH_START,type=fast_slouch
1760039853.839,SLOUCHED_HOLD_START,type=fast_slouch
1760039857.389,RECOVERY_START,type=fast_slouch
1760039858.339,UPRIGHT_HOLD_START,type=fast_slouch
1760039868.389,SLOUCH_START,type=micro_slouch
1760039869.339,SLOUCHED_HOLD_START,type=micro_slouch
1760039872.889,RECOVERY_START,type=micro_slouch
1760039873.839,UPRIGHT_HOLD_START,type=micro_slouch
1760039883.285,NOSLOUCH_START,type=lateral_left
1760039884.235,NOSLOUCHED_HOLD_START,type=lateral_left
1760039887.785,RECOVERY_START,type=lateral_left
1760039888.735,UPRIGHT_HOLD_START,type=lateral_left
1760039899.312,NOSLOUCH_START,type=lateral_right
1760039900.262,NOSLOUCHED_HOLD_START,type=lateral_right
1760039903.812,RECOVERY_START,type=lateral_right
1760039904.762,UPRIGHT_HOLD_START,type=lateral_right
1760039914.192,SLOUCH_START,type=neck_only
1760039915.142,SLOUCHED_HOLD_START,type=neck_only
1760039918.692,RECOVERY_START,type=neck_only
1760039919.642,UPRIGHT_HOLD_START,type=neck_only
1760039929.623,NOSLOUCH_START,type=reach_left
1760039930.573,NOSLOUCHED_HOLD_START,type=reach_left
1760039934.123,RECOVERY_START,type=reach_left
1760039935.073,UPRIGHT_HOLD_START,type=reach_left
1760039943.013,NOSLOUCH_START,type=reach_right
1760039943.963,NOSLOUCHED_HOLD_START,type=reach_right
1760039947.513,RECOVERY_START,type=reach_right
1760039948.463,UPRIGHT_HOLD_START,type=reach_right
1760039958.683,SLOUCH_START,type=normal_slouch
1760039959.633,SLOUCHED_HOLD_START,type=normal_slouch
1760039963.183,RECOVERY_START,type=normal_slouch
1760039964.133,UPRIGHT_HOLD_START,type=normal_slouch
1760039972.899,SLOUCH_START,type=fast_slouch
1760039973.849,SLOUCHED_HOLD_START,type=fast_slouch
1760039977.399,RECOVERY_START,type=fast_slouch
1760039978.349,UPRIGHT_HOLD_START,type=fast_slouch
1760039988.276,SLOUCH_START,type=micro_slouch
1760039989.226,SLOUCHED_HOLD_START,type=micro_slouch
1760039992.776,RECOVERY_START,type=micro_slouch
1760039993.726,UPRIGHT_HOLD_START,type=micro_slouch
1760040003.850,NOSLOUCH_START,type=lateral_left
1760040004.800,NOSLOUCHED_HOLD_START,type=lateral_left
1760040008.350,RECOVERY_START,type=lateral_left
1760040009.300,UPRIGHT_HOLD_START,type=lateral_left
1760040017.892,NOSLOUCH_START,type=lateral_right
1760040018.842,NOSLOUCHED_HOLD_START,type=lateral_right
1760040022.392,RECOVERY_START,type=lateral_right
1760040023.342,UPRIGHT_HOLD_START,type=lateral_right
1760040033.237,SLOUCH_START,type=neck_only
1760040034.187,SLOUCHED_HOLD_START,type=neck_only
1760040037.737,RECOVERY_START,type=neck_only
1760040038.687,UPRIGHT_HOLD_START,type=neck_only
1760040049.139,NOSLOUCH_START,type=reach_left
1760040050.089,NOSLOUCHED_HOLD_START,type=reach_left
1760040053.639,RECOVERY_START,type=reach_left
1760040054.589,UPRIGHT_HOLD_START,type=reach_left
1760040063.929,NOSLOUCH_START,type=reach_right
1760040064.879,NOSLOUCHED_HOLD_START,type=reach_right
1760040068.429,RECOVERY_START,type=reach_right
1760040069.379,UPRIGHT_HOLD_START,type=reach_right
1760040078.280,SLOUCH_START,type=normal_slouch
1760040079.230,SLOUCHED_HOLD_START,type=normal_slouch
1760040082.780,RECOVERY_START,type=normal_slouch
1760040083.730,UPRIGHT_HOLD_START,type=normal_slouch
1760040094.018,SLOUCH_START,type=fast_slouch
1760040094.968,SLOUCHED_HOLD_START,type=fast_slouch
1760040098.518,RECOVERY_START,type=fast_slouch
1760040099.468,UPRIGHT_HOLD_START,type=fast_slouch
1760040109.458,SLOUCH_START,type=micro_slouch
1760040110.408,SLOUCHED_HOLD_START,type=micro_slouch
1760040113.958,RECOVERY_START,type=micro_slouch
1760040114.908,UPRIGHT_HOLD_START,type=micro_slouch
1760040122.852,NOSLOUCH_START,type=lateral_left
1760040123.802,NOSLOUCHED_HOLD_START,type=lateral_left
1760040127.352,RECOVERY_START,type=lateral_left
1760040128.302,UPRIGHT_HOLD_START,type=lateral_left
1760040139.451,NOSLOUCH_START,type=lateral_right
1760040140.401,NOSLOUCHED_HOLD_START,type=lateral_right
1760040143.951,RECOVERY_START,type=lateral_right
1760040144.901,UPRIGHT_HOLD_START,type=lateral_right
1760040154.235,SLOUCH_START,type=neck_only
1760040155.185,SLOUCHED_HOLD_START,type=neck_only
1760040158.735,RECOVERY_START,type=neck_only
1760040159.685,UPRIGHT_HOLD_START,type=neck_only
1760040168.520,NOSLOUCH_START,type=reach_left
1760040169.470,NOSLOUCHED_HOLD_START,type=reach_left
1760040173.020,RECOVERY_START,type=reach_left
1760040173.970,UPRIGHT_HOLD_START,type=reach_left
1760040183.150,NOSLOUCH_START,type=reach_right
1760040184.100,NOSLOUCHED_HOLD_START,type=reach_right
1760040187.650,RECOVERY_START,type=reach_right
1760040188.600,UPRIGHT_HOLD_START,type=reach_right
