t_sec,event,value,confidence
1760040399.389,UPRIGHT_HOLD_START,type=normal_slouch,0.000
1760040403.660,SLOUCH_START,type=normal_slouch,2.705
1760040405.047,SLOUCHED_HOLD_START,type=normal_slouch,294.537
1760040408.583,RECOVERY_START,type=normal_slouch,2.601
1760040409.778,UPRIGHT_HOLD_START,type=normal_slouch,5.767
1760040417.037,SLOUCH_START,type=fast_slouch,2.289
1760040418.457,SLOUCHED_HOLD_START,type=fast_slouch,269.645
1760040422.027,RECOVERY_START,type=fast_slouch,2.522
1760040423.353,UPRIGHT_HOLD_START,type=fast_slouch,7.263
1760040432.902,SLOUCH_START,type=micro_slouch,2.453
1760040434.305,SLOUCHED_HOLD_START,type=micro_slouch,32.480
1760040437.552,RECOVERY_START,type=micro_slouch,3.011
1760040438.930,UPRIGHT_HOLD_START,type=micro_slouch,12.198
1760040447.006,NOSLOUCH_START,type=lateral_left,0.000
1760040447.456,NOSLOUCHED_HOLD_START,type=lateral_left,0.000
1760040452.456,RECOVERY_START,type=lateral_left,1.845
1760040453.852,UPRIGHT_HOLD_START,type=lateral_left,4.869
1760040463.770,NOSLOUCH_START,type=lateral_right,2.185
1760040466.270,NOSLOUCHED_HOLD_START,type=lateral_right,21.194
1760040468.630,RECOVERY_START,type=lateral_right,2.128
1760040469.792,UPRIGHT_HOLD_START,type=lateral_right,10.036
1760040478.445,SLOUCH_START,type=neck_only,2.248
1760040480.427,SLOUCHED_HOLD_START,type=neck_only,306.404
1760040483.406,RECOVERY_START,type=neck_only,3.611
1760040484.772,UPRIGHT_HOLD_START,type=neck_only,6.827
1760040494.045,NOSLOUCH_START,type=reach_left,3.058
1760040495.783,NOSLOUCHED_HOLD_START,type=reach_left,9.778
1760040498.813,RECOVERY_START,type=reach_left,2.183
1760040500.549,UPRIGHT_HOLD_START,type=reach_left,145.365
1760040507.632,NOSLOUCH_START,type=reach_right,2.132
1760040509.345,NOSLOUCHED_HOLD_START,type=reach_right,11.248
1760040512.298,RECOVERY_START,type=reach_right,2.752
1760040513.477,UPRIGHT_HOLD_START,type=reach_right,35.923
1760040522.011,SLOUCH_START,type=normal_slouch,3.393
1760040522.558,SLOUCHED_HOLD_START,type=normal_slouch,3.474
1760040527.917,RECOVERY_START,type=normal_slouch,2.096
1760040529.452,UPRIGHT_HOLD_START,type=normal_slouch,5.092
1760040537.162,SLOUCH_START,type=fast_slouch,2.131
1760040538.552,SLOUCHED_HOLD_START,type=fast_slouch,162.362
1760040542.053,RECOVERY_START,type=fast_slouch,4.579
1760040543.706,UPRIGHT_HOLD_START,type=fast_slouch,4.384
1760040552.761,SLOUCH_START,type=micro_slouch,2.502
1760040554.209,SLOUCHED_HOLD_START,type=micro_slouch,11.568
1760040557.518,RECOVERY_START,type=micro_slouch,3.028
1760040558.901,UPRIGHT_HOLD_START,type=micro_slouch,20.682
1760040568.222,NOSLOUCH_START,type=lateral_left,3.484
1760040570.486,NOSLOUCHED_HOLD_START,type=lateral_left,12.315
1760040573.158,RECOVERY_START,type=lateral_left,2.108
1760040574.595,UPRIGHT_HOLD_START,type=lateral_left,7.314
1760040582.237,NOSLOUCH_START,type=lateral_right,3.149
1760040584.533,NOSLOUCHED_HOLD_START,type=lateral_right,5.769
1760040587.084,RECOVERY_START,type=lateral_right,2.350
1760040588.534,UPRIGHT_HOLD_START,type=lateral_right,346.747
1760040597.621,SLOUCH_START,type=neck_only,2.296
1760040599.193,SLOUCHED_HOLD_START,type=neck_only,268.867
1760040602.426,RECOVERY_START,type=neck_only,4.950
1760040603.660,UPRIGHT_HOLD_START,type=neck_only,13.258
1760040613.485,NOSLOUCH_START,type=reach_left,2.488
1760040615.621,NOSLOUCHED_HOLD_START,type=reach_left,345.248
1760040618.384,RECOVERY_START,type=reach_left,3.060
1760040620.128,UPRIGHT_HOLD_START,type=reach_left,33.044
1760040628.464,NOSLOUCH_START,type=reach_right,4.280
1760040630.890,NOSLOUCHED_HOLD_START,type=reach_right,318.625
1760040633.197,RECOVERY_START,type=reach_right,2.876
1760040634.438,UPRIGHT_HOLD_START,type=reach_right,203.713
1760040642.492,SLOUCH_START,type=normal_slouch,2.211
1760040644.695,SLOUCHED_HOLD_START,type=normal_slouch,14.045
1760040647.618,RECOVERY_START,type=normal_slouch,3.893
1760040648.826,UPRIGHT_HOLD_START,type=normal_slouch,15.921
1760040657.539,SLOUCH_START,type=fast_slouch,0.000
1760040657.989,SLOUCHED_HOLD_START,type=fast_slouch,0.000
1760040663.203,RECOVERY_START,type=fast_slouch,3.202
1760040664.547,UPRIGHT_HOLD_START,type=fast_slouch,12.978
1760040674.135,SLOUCH_START,type=micro_slouch,2.415
1760040675.296,SLOUCHED_HOLD_START,type=micro_slouch,11.734
1760040677.474,RECOVERY_START,type=micro_slouch,2.158
1760040678.283,UPRIGHT_HOLD_START,type=micro_slouch,3.666
1760040687.058,NOSLOUCH_START,type=lateral_left,6.109
1760040689.026,NOSLOUCHED_HOLD_START,type=lateral_left,2.338
