t_sec,event,value,confidence
1760040857.470,SLOUCH_START,type=normal_slouch,0.000
1760040857.920,SLOUCHED_HOLD_START,type=normal_slouch,0.000
1760040863.470,RECOVERY_START,type=normal_slouch,2.384
1760040864.640,UPRIGHT_HOLD_START,type=normal_slouch,6.000
1760040871.943,SLOUCH_START,type=fast_slouch,2.106
1760040873.644,SLOUCHED_HOLD_START,type=fast_slouch,1.905
1760040877.086,RECOVERY_START,type=fast_slouch,2.462
1760040878.472,UPRIGHT_HOLD_START,type=fast_slouch,6.000
1760040886.891,SLOUCH_START,type=micro_slouch,0.000
1760040887.291,SLOUCHED_HOLD_START,type=micro_slouch,0.000
1760040892.538,RECOVERY_START,type=micro_slouch,1.675
1760040893.822,UPRIGHT_HOLD_START,type=micro_slouch,6.000
1760040901.637,SLOUCH_START,type=lateral_left,0.000
1760040902.087,SLOUCHED_HOLD_START,type=lateral_left,0.000
1760040907.535,RECOVERY_START,type=lateral_left,2.014
1760040908.473,UPRIGHT_HOLD_START,type=lateral_left,6.000
1760040917.664,SLOUCH_START,type=lateral_right,0.000
1760040918.114,SLOUCHED_HOLD_START,type=lateral_right,0.000
1760040923.762,RECOVERY_START,type=lateral_right,2.473
1760040924.372,UPRIGHT_HOLD_START,type=lateral_right,6.000
1760040977.035,SLOUCH_START,type=normal_slouch,0.000
1760040977.485,SLOUCHED_HOLD_START,type=normal_slouch,0.000
1760040983.137,RECOVERY_START,type=normal_slouch,2.019
1760040984.206,UPRIGHT_HOLD_START,type=normal_slouch,6.000
1760040991.051,SLOUCH_START,type=fast_slouch,0.000
1760040991.501,SLOUCHED_HOLD_START,type=fast_slouch,0.000
1760040997.049,RECOVERY_START,type=fast_slouch,2.883
1760040998.877,UPRIGHT_HOLD_START,type=fast_slouch,6.000
1760041007.807,SLOUCH_START,type=micro_slouch,1.548
1760041008.745,SLOUCHED_HOLD_START,type=micro_slouch,2.603
1760041012.496,RECOVERY_START,type=micro_slouch,2.357
1760041013.558,UPRIGHT_HOLD_START,type=micro_slouch,6.000
1760041022.202,SLOUCH_START,type=lateral_left,0.000
1760041022.652,SLOUCHED_HOLD_START,type=lateral_left,0.000
1760041028.156,RECOVERY_START,type=lateral_left,2.067
1760041029.005,UPRIGHT_HOLD_START,type=lateral_left,6.000
1760041036.244,SLOUCH_START,type=lateral_right,0.000
1760041036.694,SLOUCHED_HOLD_START,type=lateral_right,0.000
1760041042.297,RECOVERY_START,type=lateral_right,2.078
1760041043.053,UPRIGHT_HOLD_START,type=lateral_right,6.000
1760041096.632,SLOUCH_START,type=normal_slouch,0.000
1760041097.082,SLOUCHED_HOLD_START,type=normal_slouch,0.000
1760041102.640,RECOVERY_START,type=normal_slouch,2.057
1760041103.615,UPRIGHT_HOLD_START,type=normal_slouch,6.000
1760041113.590,SLOUCH_START,type=fast_slouch,1.593
1760041114.987,SLOUCHED_HOLD_START,type=fast_slouch,2.825
1760041118.387,RECOVERY_START,type=fast_slouch,2.072
1760041119.135,UPRIGHT_HOLD_START,type=fast_slouch,6.000
1760041128.941,SLOUCH_START,type=micro_slouch,1.468
1760041130.011,SLOUCHED_HOLD_START,type=micro_slouch,1.878
1760041133.745,RECOVERY_START,type=micro_slouch,2.441
1760041134.805,UPRIGHT_HOLD_START,type=micro_slouch,6.000
1760041141.204,SLOUCH_START,type=lateral_left,0.000
1760041141.654,SLOUCHED_HOLD_START,type=lateral_left,0.000
1760041147.048,RECOVERY_START,type=lateral_left,1.418
1760041148.285,UPRIGHT_HOLD_START,type=lateral_left,6.000
1760041157.803,SLOUCH_START,type=lateral_right,0.000
1760041158.253,SLOUCHED_HOLD_START,type=lateral_right,0.000
1760041163.746,RECOVERY_START,type=lateral_right,2.098
1760041164.305,UPRIGHT_HOLD_START,type=lateral_right,6.000
