t_beep,event,type,axis_chosen,onset_time,hold_time,onset_score,dtheta,max_pitch,max_roll
1760107864.379853,BEEP_SLOUCH,normal_slouch,roll,1760107865.897842,1760107866.753915,84.0614468023707,294.21506380829743,11.228981794930958,310.6252700183672
1760107868.879853,BEEP_RECOVER,normal_slouch,roll,1760107870.458099,1760107871.615366,11.46529532568675,40.12853363990362,7.6622582708247755,239.41842819144762
1760107878.150853,BEEP_SLOUCH,fast_slouch,roll,1760107879.671916,1760107882.313662,6.325910930687265,22.14068825740543,13.377267185126332,282.9870902262146
1760107882.650853,BEEP_RECOVER,fast_slouch,roll,1760107884.27709,1760107885.219088,10.86099400614746,38.013479021516105,24.692056298927298,239.30114270165922
1760107893.650853,BEEP_SLOUCH,micro_slouch,roll,1760107895.052664,1760107896.233829,4.783111153772503,16.74088903820376,4.524153753717697,323.45032603969264
1760107898.150853,BEEP_RECOVER,micro_slouch,roll,1760107899.760016,1760107901.337427,5.375045417778064,18.812658962223225,10.053703032070386,271.26506702620713
1760107908.546853,BEEP_SLOUCH,lateral_left,roll,1760107909.793922,1760107912.210705,4.970839599172385,17.397938597103348,60.402386031796695,123.8994416193723
1760107913.046853,BEEP_RECOVER,lateral_left,roll,1760107914.605042,1760107915.876372,12.580603317108139,44.032111609878484,133.9875551856879,225.78746551021197
1760107924.573853,BEEP_SLOUCH,lateral_right,roll,1760107925.015141,1760107925.381184,1.853323768961455,3.1784502637688945,88.4202307889758,153.04098748583098
1760107929.073853,BEEP_RECOVER,lateral_right,pitch,1760107930.6096,1760107931.888087,1.5444023981611583,9.26641438896695,86.22409338010279,182.72109463791188
1760107983.944853,BEEP_SLOUCH,normal_slouch,roll,1760107985.457717,1760107986.59846,7.9096577820334835,27.68380223711719,11.930141285945847,297.0410852028992
1760107988.444853,BEEP_RECOVER,normal_slouch,roll,1760107990.032075,1760107992.000512,2.902549927924493,10.158924747735725,13.06161508555996,243.14528909148683
1760107998.160853,BEEP_SLOUCH,fast_slouch,roll,1760107999.564998,1760108001.07054,11.351736431515645,39.73107751030476,14.466412115390575,283.5834278902405
1760108002.660853,BEEP_RECOVER,fast_slouch,roll,1760108004.364078,1760108005.336288,3.1465065909083956,11.012773068179385,17.650141103815876,234.97859674785624
1760108013.537853,BEEP_SLOUCH,micro_slouch,roll,1760108015.06551,1760108016.071981,13.66803646939807,47.83812764289324,12.851998902549791,313.9171387610913
1760108018.037853,BEEP_RECOVER,micro_slouch,roll,1760108019.651489,1760108021.327526,7.567610504375109,26.48663676531288,11.784810842319715,249.72317832461954
1760108029.111853,BEEP_SLOUCH,lateral_left,pitch,1760108030.224905,1760108032.058808,2.6031786909825922,15.619072145895553,77.7731147223887,94.20670220389094
1760108033.611853,BEEP_RECOVER,lateral_left,roll,1760108035.173423,1760108036.543727,10.760095464664376,37.66033412632532,137.6908096638905,205.42960678445277
1760108043.153853,BEEP_SLOUCH,lateral_right,roll,1760108043.772019,1760108044.199333,1.0565021583870153,1.8119012016337308,72.20270611530391,144.18248354902025
1760108047.653853,BEEP_RECOVER,lateral_right,pitch,1760108049.229511,1760108050.535163,1.8870733488810696,11.322440093286417,84.80097712043435,168.36083518529824
1760108103.541853,BEEP_SLOUCH,normal_slouch,roll,1760108104.877237,1760108106.592093,7.4762039509668385,26.166713828383934,10.472196386149268,289.8719655666108
1760108108.041853,BEEP_RECOVER,normal_slouch,roll,1760108109.740216,1760108111.241403,2.4961957758425593,8.736685215448958,20.759120025995365,239.63823140757904
1760108119.2798529,BEEP_SLOUCH,fast_slouch,roll,1760108120.687629,1760108122.000243,9.905662440601734,34.66981854210607,13.169080776536395,263.90123643852286
1760108123.7798529,BEEP_RECOVER,fast_slouch,roll,1760108125.362157,1760108126.722568,9.697270408605359,33.940446430118755,27.57567653654341,232.20830131518912
1760108134.719853,BEEP_SLOUCH,micro_slouch,roll,1760108135.99579,1760108136.615576,86.08058085178823,301.2820329812588,12.379039827663718,309.1824912196479
1760108139.219853,BEEP_RECOVER,micro_slouch,pitch,1760108139.334244,1760108141.852194,2.1467805899089174,4.293561179817835,13.348843950681337,242.25997075442254
1760108148.113853,BEEP_SLOUCH,lateral_left,pitch,1760108149.126058,1760108151.382652,4.081893128465118,24.491358770790704,73.11374963287402,117.25564935671144
1760108152.613853,BEEP_RECOVER,lateral_left,roll,1760108154.134207,1760108155.859039,6.256698287092149,21.898444004822522,150.54183940770275,198.95923291932186
1760108164.712853,BEEP_SLOUCH,lateral_right,pitch,1760108165.884757,1760108168.118681,9.300656075753432,55.803936454520596,77.76439374873908,141.74381550807553
1760108169.212853,BEEP_RECOVER,lateral_right,roll,1760108170.860831,1760108172.098184,1.8986413222604563,6.645244627911597,75.05250264570407,170.58655993434215
