t_beep,event,type,axis_chosen,onset_time,hold_time,onset_score,dtheta,max_pitch,max_roll
1760107864.379853,BEEP_SLOUCH,normal_slouch,roll,1760107865.82727,1760107866.783614,1.5517924990379064,2.661324135850009,1.6193333849015303,12.59741875936362
1760107868.879853,BEEP_RECOVER,normal_slouch,roll,1760107870.458099,1760107872.191326,1.5396678398604504,5.388837439511576,1.4907210017860502,16.510607818170968
1760107878.150853,BEEP_SLOUCH,fast_slouch,roll,1760107879.671916,1760107880.910436,1.4789391948865853,2.5363807192304932,1.1661672037210264,16.692614916777984
1760107882.650853,BEEP_RECOVER,fast_slouch,roll,1760107884.247926,1760107885.22119,2.500724465241985,8.752535628346948,2.058029780719483,17.7319270970506
1760107893.650853,BEEP_SLOUCH,micro_slouch,fallback,nan,nan,0.0,0.0,0.7887200449157499,8.491235987220392
1760107898.150853,BEEP_RECOVER,micro_slouch,roll,1760107899.760016,1760107901.365735,1.389654652315994,2.3832577287219294,1.410373089168358,8.880347880234808
1760107908.546853,BEEP_SLOUCH,lateral_left,pitch,1760107909.793922,1760107912.175409,1.634383592683823,4.805087762490439,33.20082466086079,6.118203885776381
1760107913.046853,BEEP_RECOVER,lateral_left,pitch,1760107914.605042,1760107915.877686,1.2826609316976831,7.695965590186098,37.03438820598579,7.814665491295159
1760107924.573853,BEEP_SLOUCH,lateral_right,fallback,nan,nan,0.0,0.0,39.752100446341885,4.976619282366158
1760107929.073853,BEEP_RECOVER,lateral_right,pitch,1760107930.608726,1760107932.198656,1.5759751228985504,9.455850737391302,42.95608956308924,5.184462639461941
1760107983.944853,BEEP_SLOUCH,normal_slouch,roll,1760107985.457717,1760107986.790906,1.2468205226596132,2.1382971963612363,2.078528163006137,14.868780326637903
1760107988.444853,BEEP_RECOVER,normal_slouch,roll,1760107990.032075,1760107992.035143,1.1142030530742204,3.8997106857597714,1.8271756812283195,15.734448258430774
1760107998.160853,BEEP_SLOUCH,fast_slouch,roll,1760107999.564998,1760108001.07261,1.586732969622046,2.7212470429018083,2.6330530406801014,17.766122546571097
1760108002.660853,BEEP_RECOVER,fast_slouch,roll,1760108004.332105,1760108005.61014,1.3984343715943461,4.894520300580211,2.449383603873372,16.85931583027312
1760108013.537853,BEEP_SLOUCH,micro_slouch,fallback,nan,nan,0.0,0.0,1.1333618066199698,9.101135355314227
1760108018.037853,BEEP_RECOVER,micro_slouch,roll,1760108019.651489,1760108021.329574,2.0202050861731515,3.4646517227869538,0.7772406556123741,11.676222995812509
1760108029.111853,BEEP_SLOUCH,lateral_left,fallback,nan,nan,0.0,0.0,37.562219102480995,4.994584285837647
1760108033.611853,BEEP_RECOVER,lateral_left,pitch,1760108035.142857,1760108036.681911,1.3678437415619555,8.207062449371733,41.447356667169956,9.536575221427057
1760108043.153853,BEEP_SLOUCH,lateral_right,fallback,nan,nan,0.0,0.0,42.12891822395791,4.606109283098476
1760108047.653853,BEEP_RECOVER,lateral_right,pitch,1760108049.229511,1760108050.502977,2.2011476683905733,13.206886010343439,46.65928595098399,2.3976220110468773
1760108103.541853,BEEP_SLOUCH,normal_slouch,roll,1760108104.877237,1760108106.626158,1.5161065405652876,2.6001227170694676,2.0581224493711767,14.341895153539951
1760108108.041853,BEEP_RECOVER,normal_slouch,roll,1760108109.740216,1760108111.241403,1.32577387075709,2.273702188348409,2.5067048691869696,15.952968892809935
1760108119.2798529,BEEP_SLOUCH,fast_slouch,roll,1760108120.687629,1760108121.965705,1.2431162595083671,4.350906908279285,2.3941708354935107,19.40200971801619
1760108123.7798529,BEEP_RECOVER,fast_slouch,roll,1760108125.362157,1760108126.723434,2.4525793317971454,8.584027661290008,2.917248341309741,17.488685432120633
1760108134.719853,BEEP_SLOUCH,micro_slouch,roll,1760108135.961145,1760108136.617636,1.8778157227675356,3.220453964546323,2.5488629191983785,14.42235081188386
1760108139.219853,BEEP_RECOVER,micro_slouch,pitch,1760108139.334244,1760108141.891301,1.1150657914178583,1.092764475589501,2.285139467685256,13.892795670875472
1760108148.113853,BEEP_SLOUCH,lateral_left,pitch,1760108149.126058,1760108151.413083,1.1643686778017805,3.4232439127372345,40.973948245921385,4.459261008801747
1760108152.613853,BEEP_RECOVER,lateral_left,pitch,1760108154.134207,1760108155.889364,1.421486210413665,8.52891726248199,47.6077629181098,8.792607054280182
1760108164.712853,BEEP_SLOUCH,lateral_right,pitch,1760108165.88436,1760108168.14707,1.3496334991902097,3.967922487619216,41.76461857053396,6.305237703028155
1760108169.212853,BEEP_RECOVER,lateral_right,pitch,1760108170.860831,1760108172.069659,1.8788216026140911,11.272929615684546,46.29608293243927,5.9956179258009
