t_sec,event,value,confidence
1760108358.725,SLOUCH_START,type=normal_slouch,0.000
1760108359.175,SLOUCHED_HOLD_START,type=normal_slouch,0.000
1760108364.043,RECOVERY_START,type=normal_slouch,5.436
1760108365.801,UPRIGHT_HOLD_START,type=normal_slouch,6.000
1760108372.296,SLOUCH_START,type=fast_slouch,0.000
1760108372.746,SLOUCHED_HOLD_START,type=fast_slouch,0.000
1760108377.660,RECOVERY_START,type=fast_slouch,4.356
1760108380.442,UPRIGHT_HOLD_START,type=fast_slouch,6.000
1760108388.146,SLOUCH_START,type=micro_slouch,0.000
1760108388.546,SLOUCHED_HOLD_START,type=micro_slouch,0.000
1760108393.332,RECOVERY_START,type=micro_slouch,1.437
1760108394.238,UPRIGHT_HOLD_START,type=micro_slouch,6.000
1760108403.313,SLOUCH_START,type=lateral_left,1.409
1760108406.247,SLOUCHED_HOLD_START,type=lateral_left,4.434
1760108408.144,RECOVERY_START,type=lateral_left,2.267
1760108409.637,UPRIGHT_HOLD_START,type=lateral_left,6.000
1760108419.405,SLOUCH_START,type=lateral_right,2.620
1760108421.113,SLOUCHED_HOLD_START,type=lateral_right,3.311
1760108424.165,RECOVERY_START,type=lateral_right,3.649
1760108426.150,UPRIGHT_HOLD_START,type=lateral_right,6.000
1760108479.162,SLOUCH_START,type=normal_slouch,2.050
1760108480.490,SLOUCHED_HOLD_START,type=normal_slouch,3.199
1760108483.666,RECOVERY_START,type=normal_slouch,4.984
1760108484.352,UPRIGHT_HOLD_START,type=normal_slouch,6.000
1760108493.330,SLOUCH_START,type=fast_slouch,3.002
1760108494.096,SLOUCHED_HOLD_START,type=fast_slouch,4.575
1760108497.827,RECOVERY_START,type=fast_slouch,1.641
1760108498.926,UPRIGHT_HOLD_START,type=fast_slouch,6.000
1760108508.033,SLOUCH_START,type=micro_slouch,0.000
1760108508.433,SLOUCHED_HOLD_START,type=micro_slouch,0.000
1760108513.229,RECOVERY_START,type=micro_slouch,1.905
1760108513.675,UPRIGHT_HOLD_START,type=micro_slouch,6.000
1760108523.457,SLOUCH_START,type=lateral_left,0.000
1760108523.907,SLOUCHED_HOLD_START,type=lateral_left,0.000
1760108528.828,RECOVERY_START,type=lateral_left,1.598
1760108530.352,UPRIGHT_HOLD_START,type=lateral_left,6.000
1760108537.499,SLOUCH_START,type=lateral_right,0.000
1760108537.949,SLOUCHED_HOLD_START,type=lateral_right,0.000
1760108542.757,RECOVERY_START,type=lateral_right,2.601
1760108544.579,UPRIGHT_HOLD_START,type=lateral_right,6.000
1760108598.845,SLOUCH_START,type=normal_slouch,1.751
1760108599.141,SLOUCHED_HOLD_START,type=normal_slouch,2.448
1760108602.387,RECOVERY_START,type=normal_slouch,0.000
1760108602.837,UPRIGHT_HOLD_START,type=normal_slouch,0.000
1760108613.425,SLOUCH_START,type=fast_slouch,0.000
1760108613.875,SLOUCHED_HOLD_START,type=fast_slouch,0.000
1760108618.824,RECOVERY_START,type=fast_slouch,2.305
1760108619.868,UPRIGHT_HOLD_START,type=fast_slouch,6.000
1760108629.215,SLOUCH_START,type=micro_slouch,0.000
1760108629.615,SLOUCHED_HOLD_START,type=micro_slouch,0.000
1760108634.355,RECOVERY_START,type=micro_slouch,2.209
1760108636.661,UPRIGHT_HOLD_START,type=micro_slouch,6.000
1760108642.459,SLOUCH_START,type=lateral_left,0.000
1760108642.909,SLOUCHED_HOLD_START,type=lateral_left,0.000
1760108647.812,RECOVERY_START,type=lateral_left,2.471
1760108648.986,UPRIGHT_HOLD_START,type=lateral_left,6.000
1760108659.058,SLOUCH_START,type=lateral_right,0.000
1760108659.508,SLOUCHED_HOLD_START,type=lateral_right,0.000
1760108664.360,RECOVERY_START,type=lateral_right,4.706
1760108666.338,UPRIGHT_HOLD_START,type=lateral_right,6.000
