t_beep,event,type,onset_event,onset_time,hold_event,hold_time
1760109106.479366,BEEP_SLOUCH,normal_slouch,SLOUCH_START,1760109106.429366,SLOUCHED_HOLD_START,1760109107.379366
1760109110.979366,BEEP_RECOVER,normal_slouch,RECOVERY_START,1760109110.929366,UPRIGHT_HOLD_START,1760109111.879366
1760109120.250366,BEEP_SLOUCH,fast_slouch,SLOUCH_START,1760109120.200366,SLOUCHED_HOLD_START,1760109121.150366
1760109124.750366,BEEP_RECOVER,fast_slouch,RECOVERY_START,1760109124.700366,UPRIGHT_HOLD_START,1760109125.650366
1760109135.750366,BEEP_SLOUCH,micro_slouch,SLOUCH_START,1760109135.700366,SLOUCHED_HOLD_START,1760109136.650366
1760109140.250366,BEEP_RECOVER,micro_slouch,RECOVERY_START,1760109140.200366,UPRIGHT_HOLD_START,1760109141.150366
1760109150.646366,BEEP_SLOUCH,lateral_left,NOSLOUCH_START,1760109150.596366,NOSLOUCHED_HOLD_START,1760109151.546366
1760109155.146366,BEEP_RECOVER,lateral_left,RECOVERY_START,1760109155.096366,UPRIGHT_HOLD_START,1760109156.046366
1760109166.673366,BEEP_SLOUCH,lateral_right,NOSLOUCH_START,1760109166.623366,NOSLOUCHED_HOLD_START,1760109167.573366
1760109171.173366,BEEP_RECOVER,lateral_right,RECOVERY_START,1760109171.123366,UPRIGHT_HOLD_START,1760109172.073366
1760109181.553366,BEEP_SLOUCH,neck_only,SLOUCH_START,1760109181.503366,SLOUCHED_HOLD_START,1760109182.453366
1760109186.053366,BEEP_RECOVER,neck_only,RECOVERY_START,1760109186.003366,UPRIGHT_HOLD_START,1760109186.953366
1760109196.984366,BEEP_SLOUCH,reach_left,NOSLOUCH_START,1760109196.934366,NOSLOUCHED_HOLD_START,1760109197.884366
1760109201.484366,BEEP_RECOVER,reach_left,RECOVERY_START,1760109201.434366,UPRIGHT_HOLD_START,1760109202.384366
1760109210.374366,BEEP_SLOUCH,reach_right,NOSLOUCH_START,1760109210.324366,NOSLOUCHED_HOLD_START,1760109211.274366
1760109214.874366,BEEP_RECOVER,reach_right,RECOVERY_START,1760109214.824366,UPRIGHT_HOLD_START,1760109215.774366
1760109226.044366,BEEP_SLOUCH,normal_slouch,SLOUCH_START,1760109225.994366,SLOUCHED_HOLD_START,1760109226.944366
1760109230.544366,BEEP_RECOVER,normal_slouch,RECOVERY_START,1760109230.494366,UPRIGHT_HOLD_START,1760109231.444366
1760109240.260366,BEEP_SLOUCH,fast_slouch,SLOUCH_START,1760109240.210366,SLOUCHED_HOLD_START,1760109241.160366
1760109244.760366,BEEP_RECOVER,fast_slouch,RECOVERY_START,1760109244.710366,UPRIGHT_HOLD_START,1760109245.660366
1760109255.637366,BEEP_SLOUCH,micro_slouch,SLOUCH_START,1760109255.587366,SLOUCHED_HOLD_START,1760109256.537366
1760109260.137366,BEEP_RECOVER,micro_slouch,RECOVERY_START,1760109260.087366,UPRIGHT_HOLD_START,1760109261.037366
1760109271.211366,BEEP_SLOUCH,lateral_left,NOSLOUCH_START,1760109271.161366,NOSLOUCHED_HOLD_START,1760109272.111366
1760109275.711366,BEEP_RECOVER,lateral_left,RECOVERY_START,1760109275.661366,UPRIGHT_HOLD_START,1760109276.611366
1760109285.253366,BEEP_SLOUCH,lateral_right,NOSLOUCH_START,1760109285.203366,NOSLOUCHED_HOLD_START,1760109286.153366
1760109289.753366,BEEP_RECOVER,lateral_right,RECOVERY_START,1760109289.703366,UPRIGHT_HOLD_START,1760109290.653366
1760109300.598366,BEEP_SLOUCH,neck_only,SLOUCH_START,1760109300.548366,SLOUCHED_HOLD_START,1760109301.498366
1760109305.098366,BEEP_RECOVER,neck_only,RECOVERY_START,1760109305.048366,UPRIGHT_HOLD_START,1760109305.998366
1760109316.500366,BEEP_SLOUCH,reach_left,NOSLOUCH_START,1760109316.450366,NOSLOUCHED_HOLD_START,1760109317.400366
1760109321.000366,BEEP_RECOVER,reach_left,RECOVERY_START,1760109320.950366,UPRIGHT_HOLD_START,1760109321.900366
1760109331.290366,BEEP_SLOUCH,reach_right,NOSLOUCH_START,1760109331.240366,NOSLOUCHED_HOLD_START,1760109332.190366
1760109335.790366,BEEP_RECOVER,reach_right,RECOVERY_START,1760109335.740366,UPRIGHT_HOLD_START,1760109336.690366
1760109345.641366,BEEP_SLOUCH,normal_slouch,SLOUCH_START,1760109345.591366,SLOUCHED_HOLD_START,1760109346.541366
1760109350.141366,BEEP_RECOVER,normal_slouch,RECOVERY_START,1760109350.091366,UPRIGHT_HOLD_START,1760109351.041366
1760109361.379366,BEEP_SLOUCH,fast_slouch,SLOUCH_START,1760109361.329366,SLOUCHED_HOLD_START,1760109362.279366
1760109365.879366,BEEP_RECOVER,fast_slouch,RECOVERY_START,1760109365.829366,UPRIGHT_HOLD_START,1760109366.779366
1760109376.819366,BEEP_SLOUCH,micro_slouch,SLOUCH_START,1760109376.769366,SLOUCHED_HOLD_START,1760109377.719366
1760109381.319366,BEEP_RECOVER,micro_slouch,RECOVERY_START,1760109381.269366,UPRIGHT_HOLD_START,1760109382.219366
1760109390.213366,BEEP_SLOUCH,lateral_left,NOSLOUCH_START,1760109390.163366,NOSLOUCHED_HOLD_START,1760109391.113366
1760109394.713366,BEEP_RECOVER,lateral_left,RECOVERY_START,1760109394.663366,UPRIGHT_HOLD_START,1760109395.613366
1760109406.812366,BEEP_SLOUCH,lateral_right,NOSLOUCH_START,1760109406.762366,NOSLOUCHED_HOLD_START,1760109407.712366
1760109411.312366,BEEP_RECOVER,lateral_right,RECOVERY_START,1760109411.262366,UPRIGHT_HOLD_START,1760109412.212366
1760109421.596366,BEEP_SLOUCH,neck_only,SLOUCH_START,1760109421.546366,SLOUCHED_HOLD_START,1760109422.496366
1760109426.096366,BEEP_RECOVER,neck_only,RECOVERY_START,1760109426.046366,UPRIGHT_HOLD_START,1760109426.996366
1760109435.881366,BEEP_SLOUCH,reach_left,NOSLOUCH_START,1760109435.831366,NOSLOUCHED_HOLD_START,1760109436.781366
1760109440.381366,BEEP_RECOVER,reach_left,RECOVERY_START,1760109440.331366,UPRIGHT_HOLD_START,1760109441.281366
1760109450.511366,BEEP_SLOUCH,reach_right,NOSLOUCH_START,1760109450.461366,NOSLOUCHED_HOLD_START,1760109451.411366
1760109455.011366,BEEP_RECOVER,reach_right,RECOVERY_START,1760109454.961366,UPRIGHT_HOLD_START,1760109455.911366
