t_sec,event,value
1760109101.700,UPRIGHT_HOLD_START,type=normal_slouch
1760109108.429,SLOUCH_START,type=normal_slouch
1760109109.379,SLOUCHED_HOLD_START,type=normal_slouch
1760109112.929,RECOVERY_START,type=normal_slouch
1760109113.879,UPRIGHT_HOLD_START,type=normal_slouch
1760109122.200,SLOUCH_START,type=fast_slouch
1760109123.150,SLOUCHED_HOLD_START,type=fast_slouch
1760109126.700,RECOVERY_START,type=fast_slouch
1760109127.650,UPRIGHT_HOLD_START,type=fast_slouch
1760109137.700,SLOUCH_START,type=micro_slouch
1760109138.650,SLOUCHED_HOLD_START,type=micro_slouch
1760109142.200,RECOVERY_START,type=micro_slouch
1760109143.150,UPRIGHT_HOLD_START,type=micro_slouch
1760109152.596,NOSLOUCH_START,type=lateral_left
1760109153.546,NOSLOUCHED_HOLD_START,type=lateral_left
1760109157.096,RECOVERY_START,type=lateral_left
1760109158.046,UPRIGHT_HOLD_START,type=lateral_left
1760109168.623,NOSLOUCH_START,type=lateral_right
1760109169.573,NOSLOUCHED_HOLD_START,type=lateral_right
1760109173.123,RECOVERY_START,type=lateral_right
1760109174.073,UPRIGHT_HOLD_START,type=lateral_right
1760109183.503,SLOUCH_START,type=neck_only
1760109184.453,SLOUCHED_HOLD_START,type=neck_only
1760109188.003,RECOVERY_START,type=neck_only
1760109188.953,UPRIGHT_HOLD_START,type=neck_only
1760109198.934,NOSLOUCH_START,type=reach_left
1760109199.884,NOSLOUCHED_HOLD_START,type=reach_left
1760109203.434,RECOVERY_START,type=reach_left
1760109204.384,UPRIGHT_HOLD_START,type=reach_left
1760109212.324,NOSLOUCH_START,type=reach_right
1760109213.274,NOSLOUCHED_HOLD_START,type=reach_right
1760109216.824,RECOVERY_START,type=reach_right
1760109217.774,UPRIGHT_HOLD_START,type=reach_right
1760109227.994,SLOUCH_START,type=normal_slouch
1760109228.944,SLOUCHED_HOLD_START,type=normal_slouch
1760109232.494,RECOVERY_START,type=normal_slouch
1760109233.444,UPRIGHT_HOLD_START,type=normal_slouch
1760109242.210,SLOUCH_START,type=fast_slouch
1760109243.160,SLOUCHED_HOLD_START,type=fast_slouch
1760109246.710,RECOVERY_START,type=fast_slouch
1760109247.660,UPRIGHT_HOLD_START,type=fast_slouch
1760109257.587,SLOUCH_START,type=micro_slouch
1760109258.537,SLOUCHED_HOLD_START,type=micro_slouch
1760109262.087,RECOVERY_START,type=micro_slouch
1760109263.037,UPRIGHT_HOLD_START,type=micro_slouch
1760109273.161,NOSLOUCH_START,type=lateral_left
1760109274.111,NOSLOUCHED_HOLD_START,type=lateral_left
1760109277.661,RECOVERY_START,type=lateral_left
1760109278.611,UPRIGHT_HOLD_START,type=lateral_left
1760109287.203,NOSLOUCH_START,type=lateral_right
1760109288.153,NOSLOUCHED_HOLD_START,type=lateral_right
1760109291.703,RECOVERY_START,type=lateral_right
1760109292.653,UPRIGHT_HOLD_START,type=lateral_right
1760109302.548,SLOUCH_START,type=neck_only
1760109303.498,SLOUCHED_HOLD_START,type=neck_only
1760109307.048,RECOVERY_START,type=neck_only
1760109307.998,UPRIGHT_HOLD_START,type=neck_only
1760109318.450,NOSLOUCH_START,type=reach_left
1760109319.400,NOSLOUCHED_HOLD_START,type=reach_left
1760109322.950,RECOVERY_START,type=reach_left
1760109323.900,UPRIGHT_HOLD_START,type=reach_left
1760109333.240,NOSLOUCH_START,type=reach_right
1760109334.190,NOSLOUCHED_HOLD_START,type=reach_right
1760109337.740,RECOVERY_START,type=reach_right
1760109338.690,UPRIGHT_HOLD_START,type=reach_right
1760109347.591,SLOUCH_START,type=normal_slouch
1760109348.541,SLOUCHED_HOLD_START,type=normal_slouch
1760109352.091,RECOVERY_START,type=normal_slouch
1760109353.041,UPRIGHT_HOLD_START,type=normal_slouch
1760109363.329,SLOUCH_START,type=fast_slouch
1760109364.279,SLOUCHED_HOLD_START,type=fast_slouch
1760109367.829,RECOVERY_START,type=fast_slouch
1760109368.779,UPRIGHT_HOLD_START,type=fast_slouch
1760109378.769,SLOUCH_START,type=micro_slouch
1760109379.719,SLOUCHED_HOLD_START,type=micro_slouch
1760109383.269,RECOVERY_START,type=micro_slouch
1760109384.219,UPRIGHT_HOLD_START,type=micro_slouch
1760109392.163,NOSLOUCH_START,type=lateral_left
1760109393.113,NOSLOUCHED_HOLD_START,type=lateral_left
1760109396.663,RECOVERY_START,type=lateral_left
1760109397.613,UPRIGHT_HOLD_START,type=lateral_left
1760109408.762,NOSLOUCH_START,type=lateral_right
1760109409.712,NOSLOUCHED_HOLD_START,type=lateral_right
1760109413.262,RECOVERY_START,type=lateral_right
1760109414.212,UPRIGHT_HOLD_START,type=lateral_right
1760109423.546,SLOUCH_START,type=neck_only
1760109424.496,SLOUCHED_HOLD_START,type=neck_only
1760109428.046,RECOVERY_START,type=neck_only
1760109428.996,UPRIGHT_HOLD_START,type=neck_only
1760109437.831,NOSLOUCH_START,type=reach_left
1760109438.781,NOSLOUCHED_HOLD_START,type=reach_left
1760109442.331,RECOVERY_START,type=reach_left
1760109443.281,UPRIGHT_HOLD_START,type=reach_left
1760109452.461,NOSLOUCH_START,type=reach_right
1760109453.411,NOSLOUCHED_HOLD_START,type=reach_right
1760109456.961,RECOVERY_START,type=reach_right
1760109457.911,UPRIGHT_HOLD_START,type=reach_right
