t_sec,event,value
1759863952.564,UPRIGHT_HOLD_START,type=normal_slouch
1759863957.293,SLOUCH_START,type=normal_slouch
1759863958.243,SLOUCHED_HOLD_START,type=normal_slouch
1759863961.793,RECOVERY_START,type=normal_slouch
1759863962.743,UPRIGHT_HOLD_START,type=normal_slouch
1759863971.064,SLOUCH_START,type=fast_slouch
1759863972.014,SLOUCHED_HOLD_START,type=fast_slouch
1759863975.564,RECOVERY_START,type=fast_slouch
1759863976.514,UPRIGHT_HOLD_START,type=fast_slouch
1759863986.564,SLOUCH_START,type=micro_slouch
1759863987.514,SLOUCHED_HOLD_START,type=micro_slouch
1759863991.064,RECOVERY_START,type=micro_slouch
1759863992.014,UPRIGHT_HOLD_START,type=micro_slouch
1759864001.460,NOSLOUCH_START,type=lateral_left
1759864002.410,NOSLOUCHED_HOLD_START,type=lateral_left
1759864005.960,RECOVERY_START,type=lateral_left
1759864006.910,UPRIGHT_HOLD_START,type=lateral_left
1759864017.487,NOSLOUCH_START,type=lateral_right
1759864018.437,NOSLOUCHED_HOLD_START,type=lateral_right
1759864021.987,RECOVERY_START,type=lateral_right
1759864022.937,UPRIGHT_HOLD_START,type=lateral_right
1759864032.367,SLOUCH_START,type=neck_only
1759864033.317,SLOUCHED_HOLD_START,type=neck_only
1759864036.867,RECOVERY_START,type=neck_only
1759864037.817,UPRIGHT_HOLD_START,type=neck_only
1759864047.798,NOSLOUCH_START,type=reach_left
1759864048.748,NOSLOUCHED_HOLD_START,type=reach_left
1759864052.298,RECOVERY_START,type=reach_left
1759864053.248,UPRIGHT_HOLD_START,type=reach_left
1759864061.188,NOSLOUCH_START,type=reach_right
1759864062.138,NOSLOUCHED_HOLD_START,type=reach_right
1759864065.688,RECOVERY_START,type=reach_right
1759864066.638,UPRIGHT_HOLD_START,type=reach_right
1759864076.858,SLOUCH_START,type=normal_slouch
1759864077.808,SLOUCHED_HOLD_START,type=normal_slouch
1759864081.358,RECOVERY_START,type=normal_slouch
1759864082.308,UPRIGHT_HOLD_START,type=normal_slouch
1759864091.074,SLOUCH_START,type=fast_slouch
1759864092.024,SLOUCHED_HOLD_START,type=fast_slouch
1759864095.574,RECOVERY_START,type=fast_slouch
1759864096.524,UPRIGHT_HOLD_START,type=fast_slouch
1759864106.451,SLOUCH_START,type=micro_slouch
1759864107.401,SLOUCHED_HOLD_START,type=micro_slouch
1759864110.951,RECOVERY_START,type=micro_slouch
1759864111.901,UPRIGHT_HOLD_START,type=micro_slouch
1759864122.025,NOSLOUCH_START,type=lateral_left
1759864122.975,NOSLOUCHED_HOLD_START,type=lateral_left
1759864126.525,RECOVERY_START,type=lateral_left
1759864127.475,UPRIGHT_HOLD_START,type=lateral_left
1759864136.067,NOSLOUCH_START,type=lateral_right
1759864137.017,NOSLOUCHED_HOLD_START,type=lateral_right
1759864140.567,RECOVERY_START,type=lateral_right
1759864141.517,UPRIGHT_HOLD_START,type=lateral_right
1759864151.412,SLOUCH_START,type=neck_only
1759864152.362,SLOUCHED_HOLD_START,type=neck_only
1759864155.912,RECOVERY_START,type=neck_only
1759864156.862,UPRIGHT_HOLD_START,type=neck_only
1759864167.314,NOSLOUCH_START,type=reach_left
1759864168.264,NOSLOUCHED_HOLD_START,type=reach_left
1759864171.814,RECOVERY_START,type=reach_left
1759864172.764,UPRIGHT_HOLD_START,type=reach_left
1759864182.104,NOSLOUCH_START,type=reach_right
1759864183.054,NOSLOUCHED_HOLD_START,type=reach_right
1759864186.604,RECOVERY_START,type=reach_right
1759864187.554,UPRIGHT_HOLD_START,type=reach_right
1759864196.455,SLOUCH_START,type=normal_slouch
1759864197.405,SLOUCHED_HOLD_START,type=normal_slouch
1759864200.955,RECOVERY_START,type=normal_slouch
1759864201.905,UPRIGHT_HOLD_START,type=normal_slouch
1759864212.193,SLOUCH_START,type=fast_slouch
1759864213.143,SLOUCHED_HOLD_START,type=fast_slouch
1759864216.693,RECOVERY_START,type=fast_slouch
1759864217.643,UPRIGHT_HOLD_START,type=fast_slouch
1759864227.633,SLOUCH_START,type=micro_slouch
1759864228.583,SLOUCHED_HOLD_START,type=micro_slouch
1759864232.133,RECOVERY_START,type=micro_slouch
1759864233.083,UPRIGHT_HOLD_START,type=micro_slouch
1759864241.027,NOSLOUCH_START,type=lateral_left
1759864241.977,NOSLOUCHED_HOLD_START,type=lateral_left
1759864245.527,RECOVERY_START,type=lateral_left
1759864246.477,UPRIGHT_HOLD_START,type=lateral_left
1759864257.626,NOSLOUCH_START,type=lateral_right
1759864258.576,NOSLOUCHED_HOLD_START,type=lateral_right
1759864262.126,RECOVERY_START,type=lateral_right
1759864263.076,UPRIGHT_HOLD_START,type=lateral_right
1759864272.410,SLOUCH_START,type=neck_only
1759864273.360,SLOUCHED_HOLD_START,type=neck_only
1759864276.910,RECOVERY_START,type=neck_only
1759864277.860,UPRIGHT_HOLD_START,type=neck_only
1759864286.695,NOSLOUCH_START,type=reach_left
1759864287.645,NOSLOUCHED_HOLD_START,type=reach_left
1759864291.195,RECOVERY_START,type=reach_left
1759864292.145,UPRIGHT_HOLD_START,type=reach_left
1759864301.325,NOSLOUCH_START,type=reach_right
1759864302.275,NOSLOUCHED_HOLD_START,type=reach_right
1759864305.825,RECOVERY_START,type=reach_right
1759864306.775,UPRIGHT_HOLD_START,type=reach_right
