t_beep,event,type,onset_event,onset_time,hold_event,hold_time
1759869568.367380,BEEP_SLOUCH,normal_slouch,SLOUCH_START,1759869568.317380,SLOUCHED_HOLD_START,1759869569.267380
1759869572.867380,BEEP_RECOVER,normal_slouch,RECOVERY_START,1759869572.817380,UPRIGHT_HOLD_START,1759869573.767380
1759869582.138380,BEEP_SLOUCH,fast_slouch,SLOUCH_START,1759869582.088380,SLOUCHED_HOLD_START,1759869583.038380
1759869586.638380,BEEP_RECOVER,fast_slouch,RECOVERY_START,1759869586.588380,UPRIGHT_HOLD_START,1759869587.538380
1759869597.638380,BEEP_SLOUCH,micro_slouch,SLOUCH_START,1759869597.588380,SLOUCHED_HOLD_START,1759869598.538380
1759869602.138380,BEEP_RECOVER,micro_slouch,RECOVERY_START,1759869602.088380,UPRIGHT_HOLD_START,1759869603.038380
1759869612.534380,BEEP_SLOUCH,lateral_left,NOSLOUCH_START,1759869612.484380,NOSLOUCHED_HOLD_START,1759869613.434380
1759869617.034380,BEEP_RECOVER,lateral_left,RECOVERY_START,1759869616.984380,UPRIGHT_HOLD_START,1759869617.934380
1759869628.561380,BEEP_SLOUCH,lateral_right,NOSLOUCH_START,1759869628.511380,NOSLOUCHED_HOLD_START,1759869629.461380
1759869633.061380,BEEP_RECOVER,lateral_right,RECOVERY_START,1759869633.011380,UPRIGHT_HOLD_START,1759869633.961380
1759869643.441380,BEEP_SLOUCH,neck_only,SLOUCH_START,1759869643.391380,SLOUCHED_HOLD_START,1759869644.341380
1759869647.941380,BEEP_RECOVER,neck_only,RECOVERY_START,1759869647.891380,UPRIGHT_HOLD_START,1759869648.841380
1759869658.872380,BEEP_SLOUCH,reach_left,NOSLOUCH_START,1759869658.822380,NOSLOUCHED_HOLD_START,1759869659.772380
1759869663.372380,BEEP_RECOVER,reach_left,RECOVERY_START,1759869663.322380,UPRIGHT_HOLD_START,1759869664.272380
1759869672.262380,BEEP_SLOUCH,reach_right,NOSLOUCH_START,1759869672.212380,NOSLOUCHED_HOLD_START,1759869673.162380
1759869676.762380,BEEP_RECOVER,reach_right,RECOVERY_START,1759869676.712380,UPRIGHT_HOLD_START,1759869677.662380
1759869687.932380,BEEP_SLOUCH,normal_slouch,SLOUCH_START,1759869687.882380,SLOUCHED_HOLD_START,1759869688.832380
1759869692.432380,BEEP_RECOVER,normal_slouch,RECOVERY_START,1759869692.382380,UPRIGHT_HOLD_START,1759869693.332380
1759869702.148380,BEEP_SLOUCH,fast_slouch,SLOUCH_START,1759869702.098380,SLOUCHED_HOLD_START,1759869703.048380
1759869706.648380,BEEP_RECOVER,fast_slouch,RECOVERY_START,1759869706.598380,UPRIGHT_HOLD_START,1759869707.548380
