t_sec,event,value,confidence
1760006980.422,SLOUCH_START,type=normal_slouch,0.000
1760006980.872,SLOUCHED_HOLD_START,type=normal_slouch,0.000
1760006986.215,RECOVERY_START,type=normal_slouch,2.091
1760006986.543,UPRIGHT_HOLD_START,type=normal_slouch,6.000
1760006993.993,SLOUCH_START,type=fast_slouch,0.000
1760006994.443,SLOUCHED_HOLD_START,type=fast_slouch,0.000
1760006999.880,RECOVERY_START,type=fast_slouch,1.570
1760007001.277,UPRIGHT_HOLD_START,type=fast_slouch,6.000
1760007009.843,SLOUCH_START,type=micro_slouch,0.000
1760007010.243,SLOUCHED_HOLD_START,type=micro_slouch,0.000
1760007015.742,RECOVERY_START,type=micro_slouch,2.130
1760007016.491,UPRIGHT_HOLD_START,type=micro_slouch,6.000
1760007025.498,SLOUCH_START,type=lateral_left,2.168
1760007028.438,SLOUCHED_HOLD_START,type=lateral_left,3.449
1760007030.482,RECOVERY_START,type=lateral_left,2.144
1760007031.429,UPRIGHT_HOLD_START,type=lateral_left,6.000
1760007041.807,SLOUCH_START,type=lateral_right,3.123
1760007043.874,SLOUCHED_HOLD_START,type=lateral_right,7.589
1760007046.524,RECOVERY_START,type=lateral_right,2.188
1760007047.242,UPRIGHT_HOLD_START,type=lateral_right,6.000
1760007099.987,SLOUCH_START,type=normal_slouch,0.000
1760007100.437,SLOUCHED_HOLD_START,type=normal_slouch,0.000
1760007106.101,RECOVERY_START,type=normal_slouch,2.500
1760007106.463,UPRIGHT_HOLD_START,type=normal_slouch,6.000
1760007115.289,SLOUCH_START,type=fast_slouch,1.456
1760007116.533,SLOUCHED_HOLD_START,type=fast_slouch,2.105
1760007118.503,RECOVERY_START,type=fast_slouch,0.000
1760007118.953,UPRIGHT_HOLD_START,type=fast_slouch,0.000
1760007129.730,SLOUCH_START,type=micro_slouch,0.000
1760007130.130,SLOUCHED_HOLD_START,type=micro_slouch,0.000
1760007134.230,RECOVERY_START,type=micro_slouch,0.000
1760007134.630,UPRIGHT_HOLD_START,type=micro_slouch,0.000
1760007145.154,SLOUCH_START,type=lateral_left,0.000
1760007145.604,SLOUCHED_HOLD_START,type=lateral_left,0.000
1760007150.970,RECOVERY_START,type=lateral_left,2.002
1760007151.986,UPRIGHT_HOLD_START,type=lateral_left,6.000
1760007159.196,SLOUCH_START,type=lateral_right,0.000
1760007159.646,SLOUCHED_HOLD_START,type=lateral_right,0.000
1760007164.896,RECOVERY_START,type=lateral_right,2.472
1760007166.242,UPRIGHT_HOLD_START,type=lateral_right,6.000
1760007219.584,SLOUCH_START,type=normal_slouch,0.000
1760007220.034,SLOUCHED_HOLD_START,type=normal_slouch,0.000
1760007225.425,RECOVERY_START,type=normal_slouch,2.175
1760007226.210,UPRIGHT_HOLD_START,type=normal_slouch,6.000
1760007236.705,SLOUCH_START,type=fast_slouch,2.266
1760007237.694,SLOUCHED_HOLD_START,type=fast_slouch,3.051
1760007241.053,RECOVERY_START,type=fast_slouch,2.143
1760007241.825,UPRIGHT_HOLD_START,type=fast_slouch,6.000
1760007250.912,SLOUCH_START,type=micro_slouch,0.000
1760007251.312,SLOUCHED_HOLD_START,type=micro_slouch,0.000
1760007256.670,RECOVERY_START,type=micro_slouch,1.819
1760007257.470,UPRIGHT_HOLD_START,type=micro_slouch,6.000
1760007264.834,SLOUCH_START,type=lateral_left,1.862
1760007266.687,SLOUCHED_HOLD_START,type=lateral_left,3.443
1760007269.960,RECOVERY_START,type=lateral_left,2.599
1760007271.061,UPRIGHT_HOLD_START,type=lateral_left,6.000
1760007280.755,SLOUCH_START,type=lateral_right,0.000
1760007281.205,SLOUCHED_HOLD_START,type=lateral_right,0.000
1760007286.517,RECOVERY_START,type=lateral_right,2.099
1760007287.473,UPRIGHT_HOLD_START,type=lateral_right,6.000
