timestamp,quat_x,quat_y,quat_z,quat_w,rot_x,rot_y,rot_z,acc_x,acc_y,acc_z,grav_x,grav_y,grav_z,pitch_rad
1763249269.727327,-0.065277,0.386711,-0.0,0.919888,0.000158,0.004826,-0.004909,-0.537058,0.097779,-0.242506,0.711462,0.120095,-0.692387,-0.7915761213202502
1763249269.755336,-0.096858,0.16637,-0.095239,0.976662,-0.003684,-0.000883,-0.011196,-0.145339,0.008391,-0.0288,0.306526,0.220885,-0.925879,-0.3115411420081525
1763249269.810647,-0.102174,0.12339,-0.112706,0.980629,-0.003621,-0.003081,-0.004814,-0.060159,0.004026,-0.008928,0.218969,0.228203,-0.948671,-0.22075762382252243
1763249269.841154,-0.104625,0.102984,-0.120899,0.981749,0.001713,-0.003924,0.000968,-0.018187,0.001241,-0.00374,0.176911,0.230333,-0.956896,-0.17784698904132362
1763249269.898371,-0.105633,0.098036,-0.122908,0.981898,-0.001122,-0.001208,0.000128,-0.008959,0.001451,-0.001083,0.166557,0.231541,-0.958461,-0.16733686155862096
1763249269.927743,-0.106213,0.095363,-0.123985,0.981963,-0.003306,-0.005763,-0.000986,-0.003519,0.00102,0.000847,0.160948,0.232242,-0.959249,-0.16165116153651402
1763249269.978231,-0.106476,0.094358,-0.124376,0.981983,-0.004315,-0.005642,-0.00296,-0.002566,0.001167,0.000598,0.15883,0.232588,-0.959519,-0.1595054276800917
1763249270.008205,-0.106752,0.093666,-0.1246,0.981991,-0.005462,-0.009812,-0.001358,-0.000762,0.003035,0.000143,0.157356,0.233001,-0.959661,-0.15801275471269038
1763249270.047125,-0.106989,0.093253,-0.124593,0.982005,-0.006225,-0.012285,0.007087,0.000112,0.001922,-0.00079,0.15649,0.233364,-0.959715,-0.15713580010458306
1763249270.079422,-0.107324,0.092959,-0.124422,0.982018,-0.005407,-0.007584,0.006672,-0.000623,-0.000232,-0.002263,0.155867,0.233921,-0.95968,-0.15650517873924524
1763249270.140261,-0.107518,0.09285,-0.124357,0.982015,8.4e-05,-0.005332,0.003015,-0.000752,-0.001461,-0.001099,0.155618,0.234261,-0.959638,-0.15625302311788897
1763249270.199992,-0.107512,0.092625,-0.124426,0.982029,0.000519,-0.005091,0.000228,-0.00124,-0.000895,-0.001056,0.155166,0.23421,-0.959724,-0.155795410292692
1763249270.200265,-0.107506,0.0924,-0.124496,0.982041,0.000954,-0.004851,-0.002559,-0.001728,-0.000328,-0.001013,0.154713,0.234157,-0.95981,-0.15533688249611943
1763249270.253603,-0.107414,0.092271,-0.124505,0.982062,0.003442,-0.005592,0.001879,-0.002299,0.000372,-0.000706,0.154485,0.233951,-0.959897,-0.15510610125253804
1763249270.285082,-0.107322,0.092068,-0.124311,0.982116,0.001749,-0.005931,0.013538,-0.00092,0.001571,-0.000789,0.154161,0.233696,-0.960011,-0.15477820275704485
1763249270.316935,-0.107344,0.091916,-0.123928,0.982176,-0.00409,-0.007561,0.018607,-0.000886,-0.001508,-0.000212,0.15395,0.233643,-0.960057,-0.15456476703342165
1763249270.371374,-0.107493,0.09182,-0.123645,0.982205,-0.009482,-0.009046,0.013395,-0.000691,-0.001793,-0.000487,0.153791,0.233866,-0.960029,-0.15440372910881844
1763249270.405837,-0.107812,0.091599,-0.123257,0.982239,-0.013317,-0.01133,0.008619,-0.000296,0.001326,-0.001449,0.153366,0.234375,-0.959972,-0.15397375452513168
1763249270.437059,-0.107992,0.091474,-0.123002,0.982263,-0.010331,-0.011208,0.012708,-0.000768,0.001016,0.000398,0.153137,0.234656,-0.959941,-0.1537418549102914
1763249270.498321,-0.108109,0.091391,-0.122688,0.982297,8.2e-05,0.000376,0.010041,0.00038,-0.002798,-0.002383,0.153019,0.234815,-0.95992,-0.15362258682842178
1763249270.527664,-0.108189,0.091448,-0.122574,0.982297,-0.007917,0.006753,0.003017,0.000629,0.000985,-0.001427,0.153137,0.234966,-0.959865,-0.1537418798933734
1763249270.56203,-0.108331,0.09161,-0.122563,0.982268,-0.010781,0.003858,-0.001561,0.00227,0.001363,0.000843,0.153417,0.235277,-0.959744,-0.1540252429371266
1763249270.618786,-0.108539,0.091695,-0.122732,0.982216,-0.009787,0.003294,-0.009498,0.00036,0.001377,0.001331,0.153485,0.235726,-0.959623,-0.1540940496901577
1763249270.646515,-0.108745,0.091675,-0.122947,0.982168,-0.003619,-0.006955,-0.008566,-0.000568,0.003693,-0.00084,0.153341,0.236155,-0.95954,-0.15394840509346308
1763249270.676991,-0.10889,0.091621,-0.122988,0.982152,-0.002651,-0.005095,0.004555,0.000872,0.001979,-0.001966,0.153187,0.23643,-0.959497,-0.15379254547820284
1763249270.731501,-0.109004,0.091618,-0.122839,0.982158,-0.001771,-0.002521,0.005394,0.000358,0.000707,-0.000762,0.153188,0.236627,-0.959448,-0.15379359847861618
1763249270.81082,-0.109053,0.091584,-0.122868,0.982152,0.000157,-0.003062,-0.00103,0.000674,-0.00015,-0.001308,0.153101,0.236719,-0.959439,-0.15370558853744737
1763249270.811066,-0.109103,0.09155,-0.122897,0.982146,0.002085,-0.003604,-0.007454,0.000989,-0.001007,-0.001855,0.153015,0.236812,-0.95943,-0.15361852882570173
1763249270.840717,-0.109037,0.091461,-0.123045,0.982143,0.002238,-0.00092,-0.00272,-0.001248,0.001743,-0.000403,0.152822,0.236688,-0.959491,-0.15342328491255527
1763249270.893273,-0.108938,0.091422,-0.123023,0.982161,0.004291,-0.002817,0.004559,0.000533,0.001272,-0.001304,0.152779,0.236483,-0.959549,-0.15337968400906318
1763249270.924983,-0.10884,0.091398,-0.1229,0.982189,0.002017,0.001964,0.005693,-0.000521,0.000948,-0.000866,0.152787,0.236269,-0.9596,-0.1533878445830757
1763249270.952953,-0.108791,0.091384,-0.122931,0.982192,0.00202,-0.001872,-0.003194,0.000826,-0.000228,9.2e-05,0.152765,0.236175,-0.959627,-0.15336553012590615
1763249271.007726,-0.108766,0.091396,-0.123098,0.982173,0.002516,0.001833,-0.01043,0.001212,0.000282,-0.000487,0.152756,0.236155,-0.959633,-0.15335647584962983
1763249271.038246,-0.10866,0.091416,-0.123405,0.982144,0.003581,0.005815,-0.00959,-0.00016,0.002828,0.001107,0.152749,0.236001,-0.959673,-0.153349244211914
1763249271.099606,-0.108548,0.091416,-0.123576,0.982135,0.005475,0.002706,-0.003835,0.001008,0.002569,-0.00121,0.152738,0.235812,-0.959721,-0.1533381446822254
