t_beep,event,type,onset_event,onset_time,hold_event,hold_time
1763249274.506327,BEEP_SLOUCH,normal_slouch,SLOUCH_START,1763249274.456327,SLOUCHED_HOLD_START,1763249275.406327
1763249279.006327,BEEP_RECOVER,normal_slouch,RECOVERY_START,1763249278.956327,UPRIGHT_HOLD_START,1763249279.906327
1763249288.277327,BEEP_SLOUCH,fast_slouch,SLOUCH_START,1763249288.227327,SLOUCHED_HOLD_START,1763249289.177327
1763249292.777327,BEEP_RECOVER,fast_slouch,RECOVERY_START,1763249292.727327,UPRIGHT_HOLD_START,1763249293.677327
1763249303.777327,BEEP_SLOUCH,micro_slouch,SLOUCH_START,1763249303.727327,SLOUCHED_HOLD_START,1763249304.677327
1763249308.277327,BEEP_RECOVER,micro_slouch,RECOVERY_START,1763249308.227327,UPRIGHT_HOLD_START,1763249309.177327
1763249318.673327,BEEP_SLOUCH,lateral_left,NOSLOUCH_START,1763249318.623327,NOSLOUCHED_HOLD_START,1763249319.573327
1763249323.173327,BEEP_RECOVER,lateral_left,RECOVERY_START,1763249323.123327,UPRIGHT_HOLD_START,1763249324.073327
1763249334.700327,BEEP_SLOUCH,lateral_right,NOSLOUCH_START,1763249334.650327,NOSLOUCHED_HOLD_START,1763249335.600327
1763249339.200327,BEEP_RECOVER,lateral_right,RECOVERY_START,1763249339.150327,UPRIGHT_HOLD_START,1763249340.100327
1763249349.580327,BEEP_SLOUCH,neck_only,SLOUCH_START,1763249349.530327,SLOUCHED_HOLD_START,1763249350.480327
1763249354.080327,BEEP_RECOVER,neck_only,RECOVERY_START,1763249354.030327,UPRIGHT_HOLD_START,1763249354.980327
1763249365.011327,BEEP_SLOUCH,reach_left,NOSLOUCH_START,1763249364.961327,NOSLOUCHED_HOLD_START,1763249365.911327
1763249369.511327,BEEP_RECOVER,reach_left,RECOVERY_START,1763249369.461327,UPRIGHT_HOLD_START,1763249370.411327
1763249378.401327,BEEP_SLOUCH,reach_right,NOSLOUCH_START,1763249378.351327,NOSLOUCHED_HOLD_START,1763249379.301327
1763249382.901327,BEEP_RECOVER,reach_right,RECOVERY_START,1763249382.851327,UPRIGHT_HOLD_START,1763249383.801327
1763249394.071327,BEEP_SLOUCH,normal_slouch,SLOUCH_START,1763249394.021327,SLOUCHED_HOLD_START,1763249394.971327
1763249398.571327,BEEP_RECOVER,normal_slouch,RECOVERY_START,1763249398.521327,UPRIGHT_HOLD_START,1763249399.471327
1763249408.287327,BEEP_SLOUCH,fast_slouch,SLOUCH_START,1763249408.237327,SLOUCHED_HOLD_START,1763249409.187327
1763249412.787327,BEEP_RECOVER,fast_slouch,RECOVERY_START,1763249412.737327,UPRIGHT_HOLD_START,1763249413.687327
1763249423.664327,BEEP_SLOUCH,micro_slouch,SLOUCH_START,1763249423.614327,SLOUCHED_HOLD_START,1763249424.564327
1763249428.164327,BEEP_RECOVER,micro_slouch,RECOVERY_START,1763249428.114327,UPRIGHT_HOLD_START,1763249429.064327
1763249439.238327,BEEP_SLOUCH,lateral_left,NOSLOUCH_START,1763249439.188327,NOSLOUCHED_HOLD_START,1763249440.138327
1763249443.738327,BEEP_RECOVER,lateral_left,RECOVERY_START,1763249443.688327,UPRIGHT_HOLD_START,1763249444.638327
1763249453.280327,BEEP_SLOUCH,lateral_right,NOSLOUCH_START,1763249453.230327,NOSLOUCHED_HOLD_START,1763249454.180327
1763249457.780327,BEEP_RECOVER,lateral_right,RECOVERY_START,1763249457.730327,UPRIGHT_HOLD_START,1763249458.680327
1763249468.625327,BEEP_SLOUCH,neck_only,SLOUCH_START,1763249468.575327,SLOUCHED_HOLD_START,1763249469.525327
1763249473.125327,BEEP_RECOVER,neck_only,RECOVERY_START,1763249473.075327,UPRIGHT_HOLD_START,1763249474.025327
1763249484.527327,BEEP_SLOUCH,reach_left,NOSLOUCH_START,1763249484.477327,NOSLOUCHED_HOLD_START,1763249485.427327
