timestamp,quat_x,quat_y,quat_z,quat_w,rot_x,rot_y,rot_z,acc_x,acc_y,acc_z,grav_x,grav_y,grav_z
1763249746.332333,-0.100239,-0.178841,0.000000,0.978758,-0.023878,-0.028321,-0.044372,0.408557,-0.005044,-0.070269,-0.350085,0.196220,-0.915936
1763249746.362352,-0.097080,0.015243,0.079954,0.991943,-0.031116,-0.037730,-0.050428,0.012258,-0.000070,-0.001586,0.045765,0.190158,-0.980686
1763249746.418564,-0.098267,0.019277,0.081243,0.991651,-0.031624,-0.020906,-0.044582,0.003753,-0.000028,-0.000470,0.054200,0.191761,-0.979944
1763249746.448645,-0.097966,0.020830,0.081204,0.991652,-0.022570,-0.010383,-0.031131,0.000778,0.000053,0.001070,0.057222,0.190913,-0.979938
1763249746.505525,-0.097984,0.021047,0.080947,0.991667,-0.015670,-0.007202,-0.021865,-0.001012,0.001838,0.000084,0.057607,0.190928,-0.979912
1763249746.578607,-0.098057,0.021019,0.080788,0.991674,-0.006867,-0.005843,-0.012051,-0.001876,0.001853,-0.000938,0.057531,0.191084,-0.979886
1763249746.578932,-0.098129,0.020991,0.080629,0.991680,0.001936,-0.004484,-0.002238,-0.002740,0.001867,-0.001960,0.057456,0.191240,-0.979860
1763249746.608567,-0.098166,0.020801,0.080603,0.991682,0.001846,-0.000207,-0.000620,-0.001716,0.003542,-0.001455,0.057080,0.191346,-0.979862
1763249746.668395,-0.098149,0.020713,0.080530,0.991692,0.005892,-0.003533,-0.005837,-0.000948,0.001365,-0.002208,0.056890,0.191331,-0.979875
1763249746.699904,-0.098084,0.020637,0.080376,0.991712,0.014440,0.008987,-0.008105,0.001116,-0.000572,0.001496,0.056699,0.191225,-0.979907
1763249746.731693,-0.098067,0.020687,0.080126,0.991733,0.001872,0.000357,-0.011402,-0.001379,-0.000656,-0.000520,0.056748,0.191197,-0.979910
1763249746.787360,-0.098078,0.020744,0.079953,0.991745,-0.005675,0.005023,-0.010533,0.000002,-0.000077,-0.000300,0.056829,0.191221,-0.979901
1763249746.867234,-0.098219,0.020736,0.079955,0.991731,-0.004040,0.002407,-0.001704,0.000166,-0.000542,-0.000188,0.056836,0.191499,-0.979846
1763249746.867449,-0.098360,0.020729,0.079957,0.991717,-0.002405,-0.000210,0.007125,0.000330,-0.001007,-0.000075,0.056843,0.191776,-0.979791
1763249746.896983,-0.098334,0.020712,0.080135,0.991706,0.001557,-0.008660,0.007116,-0.000856,-0.000604,-0.001855,0.056840,0.191718,-0.979803
1763249746.925511,-0.098180,0.020692,0.080334,0.991705,-0.001815,0.006277,0.003189,-0.000378,0.000495,-0.000802,0.056815,0.191406,-0.979865
1763249746.979930,-0.098245,0.020765,0.080250,0.991704,-0.006192,0.003118,-0.004815,-0.000341,0.000580,-0.000720,0.056953,0.191528,-0.979833
1763249747.009848,-0.098424,0.020864,0.080044,0.991701,-0.007820,0.006679,-0.008163,0.000202,-0.000402,0.000426,0.057138,0.191875,-0.979755
1763249747.064876,-0.098586,0.020858,0.079932,0.991694,-0.008120,0.005325,-0.005025,0.000172,0.001249,-0.000363,0.057130,0.192199,-0.979692
1763249747.094880,-0.098781,0.021005,0.079876,0.991676,-0.007464,0.003904,-0.000601,-0.000195,0.000783,-0.000599,0.057441,0.192562,-0.979602
1763249747.168339,-0.099026,0.021098,0.079827,0.991653,-0.008913,0.001162,-0.002734,-0.000602,0.001593,-0.000947,0.057653,0.193030,-0.979498
1763249747.168493,-0.099270,0.021191,0.079778,0.991631,-0.010362,-0.001580,-0.004867,-0.001009,0.002403,-0.001296,0.057866,0.193498,-0.979393
1763249747.222455,-0.099379,0.021201,0.079742,0.991623,-0.004038,0.000257,-0.002585,-0.000352,0.000839,-0.000452,0.057896,0.193712,-0.979349
1763249747.252362,-0.099462,0.021193,0.079694,0.991618,-0.000897,0.000057,-0.000574,0.000205,0.001979,0.000311,0.057885,0.193878,-0.979316
1763249747.311155,-0.099474,0.021172,0.079651,0.991621,0.000547,-0.000490,-0.002756,-0.000410,0.002344,0.000136,0.057836,0.193909,-0.979313
1763249747.341018,-0.099469,0.021127,0.079537,0.991632,0.000662,-0.004837,-0.007276,-0.000934,0.002941,-0.000405,0.057724,0.193912,-0.979319
1763249747.371106,-0.099546,0.020948,0.079278,0.991649,-0.002330,-0.011068,-0.016205,-0.000356,0.000543,-0.001169,0.057329,0.194107,-0.979304
1763249747.470155,-0.099526,0.020856,0.079049,0.991671,-0.003194,-0.008110,-0.013533,-0.000581,0.001027,-0.001489,0.057099,0.194097,-0.979319
1763249747.470388,-0.099506,0.020764,0.078820,0.991693,-0.004059,-0.005153,-0.010861,-0.000806,0.001512,-0.001810,0.056869,0.194086,-0.979335
1763249747.501100,-0.099524,0.020784,0.078614,0.991707,-0.002724,0.003629,-0.009280,0.000476,0.000755,0.000195,0.056871,0.194130,-0.979326
1763249747.531131,-0.099577,0.020889,0.078352,0.991720,0.001696,0.001492,-0.006726,-0.000618,-0.001243,-0.002011,0.057036,0.194232,-0.979296
1763249747.586096,-0.099441,0.020920,0.078245,0.991742,0.014420,-0.002870,-0.003682,0.000320,-0.003863,-0.004128,0.057056,0.193965,-0.979348
1763249747.616369,-0.098938,0.020971,0.078294,0.991787,0.020325,-0.001670,0.004609,-0.000243,-0.003283,-0.003005,0.057091,0.192968,-0.979543
1763249747.671203,-0.098632,0.021085,0.078384,0.991808,0.014263,0.009417,0.005412,0.000697,-0.003221,-0.000129,0.057287,0.192343,-0.979654
1763249747.701109,-0.098477,0.021369,0.078390,0.991817,-0.003052,0.013123,-0.000266,0.000841,-0.000878,-0.000147,0.057827,0.191993,-0.979691
