t_sec,event,value
1763249746.332,UPRIGHT_HOLD_START,type=normal_slouch
1763249751.061,SLOUCH_START,type=normal_slouch
1763249752.011,SLOUCHED_HOLD_START,type=normal_slouch
1763249755.561,RECOVERY_START,type=normal_slouch
1763249756.511,UPRIGHT_HOLD_START,type=normal_slouch
1763249764.832,SLOUCH_START,type=fast_slouch
1763249765.782,SLOUCHED_HOLD_START,type=fast_slouch
1763249769.332,RECOVERY_START,type=fast_slouch
1763249770.282,UPRIGHT_HOLD_START,type=fast_slouch
1763249780.332,SLOUCH_START,type=micro_slouch
1763249781.282,SLOUCHED_HOLD_START,type=micro_slouch
1763249784.832,RECOVERY_START,type=micro_slouch
1763249785.782,UPRIGHT_HOLD_START,type=micro_slouch
1763249795.228,NOSLOUCH_START,type=lateral_left
1763249796.178,NOSLOUCHED_HOLD_START,type=lateral_left
1763249799.728,RECOVERY_START,type=lateral_left
1763249800.678,UPRIGHT_HOLD_START,type=lateral_left
1763249811.255,NOSLOUCH_START,type=lateral_right
1763249812.205,NOSLOUCHED_HOLD_START,type=lateral_right
1763249815.755,RECOVERY_START,type=lateral_right
1763249816.705,UPRIGHT_HOLD_START,type=lateral_right
1763249826.135,SLOUCH_START,type=neck_only
1763249827.085,SLOUCHED_HOLD_START,type=neck_only
1763249830.635,RECOVERY_START,type=neck_only
1763249831.585,UPRIGHT_HOLD_START,type=neck_only
1763249841.566,NOSLOUCH_START,type=reach_left
1763249842.516,NOSLOUCHED_HOLD_START,type=reach_left
1763249846.066,RECOVERY_START,type=reach_left
1763249847.016,UPRIGHT_HOLD_START,type=reach_left
1763249854.956,NOSLOUCH_START,type=reach_right
1763249855.906,NOSLOUCHED_HOLD_START,type=reach_right
1763249859.456,RECOVERY_START,type=reach_right
1763249860.406,UPRIGHT_HOLD_START,type=reach_right
1763249870.626,SLOUCH_START,type=normal_slouch
1763249871.576,SLOUCHED_HOLD_START,type=normal_slouch
1763249875.126,RECOVERY_START,type=normal_slouch
1763249876.076,UPRIGHT_HOLD_START,type=normal_slouch
1763249884.842,SLOUCH_START,type=fast_slouch
1763249885.792,SLOUCHED_HOLD_START,type=fast_slouch
1763249889.342,RECOVERY_START,type=fast_slouch
1763249890.292,UPRIGHT_HOLD_START,type=fast_slouch
1763249900.219,SLOUCH_START,type=micro_slouch
1763249901.169,SLOUCHED_HOLD_START,type=micro_slouch
1763249904.719,RECOVERY_START,type=micro_slouch
1763249905.669,UPRIGHT_HOLD_START,type=micro_slouch
1763249915.793,NOSLOUCH_START,type=lateral_left
1763249916.743,NOSLOUCHED_HOLD_START,type=lateral_left
1763249920.293,RECOVERY_START,type=lateral_left
1763249921.243,UPRIGHT_HOLD_START,type=lateral_left
1763249929.835,NOSLOUCH_START,type=lateral_right
1763249930.785,NOSLOUCHED_HOLD_START,type=lateral_right
1763249934.335,RECOVERY_START,type=lateral_right
1763249935.285,UPRIGHT_HOLD_START,type=lateral_right
1763249945.180,SLOUCH_START,type=neck_only
1763249946.130,SLOUCHED_HOLD_START,type=neck_only
1763249949.680,RECOVERY_START,type=neck_only
1763249950.630,UPRIGHT_HOLD_START,type=neck_only
1763249961.082,NOSLOUCH_START,type=reach_left
1763249962.032,NOSLOUCHED_HOLD_START,type=reach_left
1763249965.582,RECOVERY_START,type=reach_left
1763249966.532,UPRIGHT_HOLD_START,type=reach_left
1763249975.872,NOSLOUCH_START,type=reach_right
1763249976.822,NOSLOUCHED_HOLD_START,type=reach_right
1763249980.372,RECOVERY_START,type=reach_right
1763249981.322,UPRIGHT_HOLD_START,type=reach_right
1763249990.223,SLOUCH_START,type=normal_slouch
1763249991.173,SLOUCHED_HOLD_START,type=normal_slouch
1763249994.723,RECOVERY_START,type=normal_slouch
1763249995.673,UPRIGHT_HOLD_START,type=normal_slouch
1763250005.961,SLOUCH_START,type=fast_slouch
1763250006.911,SLOUCHED_HOLD_START,type=fast_slouch
1763250010.461,RECOVERY_START,type=fast_slouch
1763250011.411,UPRIGHT_HOLD_START,type=fast_slouch
1763250021.401,SLOUCH_START,type=micro_slouch
1763250022.351,SLOUCHED_HOLD_START,type=micro_slouch
1763250025.901,RECOVERY_START,type=micro_slouch
1763250026.851,UPRIGHT_HOLD_START,type=micro_slouch
1763250034.795,NOSLOUCH_START,type=lateral_left
1763250035.745,NOSLOUCHED_HOLD_START,type=lateral_left
1763250039.295,RECOVERY_START,type=lateral_left
1763250040.245,UPRIGHT_HOLD_START,type=lateral_left
1763250051.394,NOSLOUCH_START,type=lateral_right
1763250052.344,NOSLOUCHED_HOLD_START,type=lateral_right
1763250055.894,RECOVERY_START,type=lateral_right
1763250056.844,UPRIGHT_HOLD_START,type=lateral_right
1763250066.178,SLOUCH_START,type=neck_only
1763250067.128,SLOUCHED_HOLD_START,type=neck_only
1763250070.678,RECOVERY_START,type=neck_only
1763250071.628,UPRIGHT_HOLD_START,type=neck_only
1763250080.463,NOSLOUCH_START,type=reach_left
1763250081.413,NOSLOUCHED_HOLD_START,type=reach_left
1763250084.963,RECOVERY_START,type=reach_left
1763250085.913,UPRIGHT_HOLD_START,type=reach_left
1763250095.093,NOSLOUCH_START,type=reach_right
1763250096.043,NOSLOUCHED_HOLD_START,type=reach_right
1763250099.593,RECOVERY_START,type=reach_right
1763250100.543,UPRIGHT_HOLD_START,type=reach_right
