timestamp,quat_x,quat_y,quat_z,quat_w,rot_x,rot_y,rot_z,acc_x,acc_y,acc_z,grav_x,grav_y,grav_z,pitch_rad
1760171774.50472,0.046117,0.053986,-0.0,0.997476,-0.009795,-0.002746,-0.013919,-0.000978,0.004128,0.0016,0.1077,-0.092002,-0.989917,-0.10790933816128577
1760171774.505065,0.046035,0.054002,-9.4e-05,0.997479,-0.012916,0.006177,-0.014755,-0.00035,0.004789,0.002776,0.107741,-0.091829,-0.989929,-0.10795053541776654
1760171774.537026,0.045941,0.054053,-0.000215,0.997481,-0.01529,0.007422,-0.020181,-0.000477,0.004481,0.000648,0.107854,-0.091628,-0.989935,-0.1080642320961035
1760171774.537341,0.045847,0.054104,-0.000336,0.997482,-0.017664,0.008667,-0.025607,-0.000604,0.004173,-0.001479,0.107967,-0.091427,-0.989942,-0.10817781696114154
1760171774.565375,0.044529,0.053895,-0.000873,0.997553,-0.008123,-0.003327,-0.02594,0.001606,-0.001522,0.000747,0.107605,-0.088745,-0.990225,-0.10781374294464333
1760171774.601385,0.044019,0.053853,-0.001194,0.997577,-0.002131,-0.017067,-0.013852,0.000643,-0.005791,-0.000682,0.107551,-0.087696,-0.990324,-0.10775946184914353
1760171774.601663,0.043891,0.053878,-0.001267,0.997582,0.001379,-0.009722,-0.004852,0.00075,-0.00679,0.002323,0.107606,-0.087433,-0.990342,-0.10781470570681165
1760171774.63344,0.043885,0.053907,-0.001274,0.99758,0.004725,-0.007825,0.001887,-0.000705,-0.005826,0.002878,0.107666,-0.087421,-0.990336,-0.10787511401664904
1760171774.664585,0.044361,0.054093,-0.001198,0.997549,0.012483,-0.002545,0.004652,-0.001277,-0.001594,0.000414,0.108026,-0.088375,-0.990212,-0.10823723850062601
1760171774.664923,0.044734,0.054028,-0.001147,0.997536,0.013175,0.001453,0.000731,-0.000525,0.000536,0.001096,0.107892,-0.089123,-0.99016,-0.1081024042258982
1760171774.694582,0.045063,0.054065,-0.001162,0.997519,0.009815,0.004183,-0.004055,-0.001259,0.002595,0.002398,0.107967,-0.089777,-0.990093,-0.10817781703254713
1760171774.725613,0.045575,0.054102,-0.00133,0.997494,-0.004789,0.00904,-0.021933,-0.000662,-0.001036,0.000936,0.108054,-0.090778,-0.989992,-0.10826535391338353
1760171774.725936,0.045585,0.054047,-0.001469,0.997496,-0.002301,-0.00147,-0.019975,-0.001429,-0.002239,0.002022,0.107957,-0.090784,-0.990002,-0.10816778663826382
1760171774.76092,0.045409,0.054029,-0.001639,0.997505,-0.004364,0.001434,-0.013775,-0.00078,-0.003522,0.00217,0.107936,-0.090415,-0.990038,-0.10814666944107422
1760171774.761256,0.045233,0.054011,-0.00181,0.997514,-0.006427,0.004338,-0.007576,-0.000131,-0.004806,0.002317,0.107916,-0.090045,-0.990074,-0.10812654125542422
1760171774.792444,0.045147,0.054064,-0.001863,0.997515,-0.007579,0.00519,-0.004399,-1.9e-05,-0.004153,0.000756,0.108027,-0.089867,-0.990078,-0.10823820123414434
1760171774.826072,0.045188,0.053998,-0.001866,0.997516,-0.002802,0.001675,0.000347,0.000527,-0.001857,-0.000543,0.107896,-0.089951,-0.990084,-0.10810650162772452
1760171774.826401,0.045286,0.054,-0.001858,0.997512,-0.003382,-0.000288,0.000534,0.000389,-0.001019,0.000286,0.1079,-0.090145,-0.990066,-0.10811051648460147
1760171774.857616,0.045518,0.053959,-0.001759,0.997504,8.5e-05,-0.000238,0.008917,-0.000565,-0.000718,0.001399,0.107809,-0.090619,-0.990033,-0.10801894404097394
1760171774.857949,0.045638,0.053986,-0.001675,0.997497,0.001156,0.003102,0.013373,-0.0005,-0.0002,0.002799,0.107854,-0.090867,-0.990005,-0.10806424744130987
1760171774.88822,0.045666,0.054014,-0.001591,0.997494,-0.001769,0.003154,0.011363,-0.0004,0.001223,0.002328,0.107903,-0.090931,-0.989994,-0.10811351191761455
1760171774.911138,0.04566,0.054081,-0.001433,0.997491,-0.004762,0.008784,0.00666,-0.000725,0.002668,0.000972,0.108021,-0.090936,-0.989981,-0.10823217046035592
1760171774.94044,0.045631,0.054118,-0.001403,0.99749,-0.005248,0.006544,0.002658,-0.000993,0.003245,0.00053,0.108093,-0.090881,-0.989978,-0.10830461515217382
1760171774.940717,0.045602,0.054156,-0.001373,0.99749,-0.005733,0.004304,-0.001345,-0.001261,0.003822,8.8e-05,0.108164,-0.090826,-0.989975,-0.10837606541470142
1760171774.972611,0.045559,0.054181,-0.001362,0.99749,-0.002898,0.002598,-0.001354,-0.000929,0.00319,0.000801,0.108215,-0.090741,-0.989978,-0.10842728262903548
1760171775.004523,0.04545,0.054209,-0.001371,0.997494,0.000242,0.002444,0.003162,-0.0001,0.000603,0.000598,0.108271,-0.090524,-0.989991,-0.10848369372112568
1760171775.00482,0.045419,0.054214,-0.001339,0.997495,0.003763,0.000868,0.00534,-2.8e-05,0.00017,0.000168,0.108278,-0.090466,-0.989996,-0.1084906851064002
1760171775.047171,0.045439,0.054223,-0.001231,0.997494,0.00958,0.001112,0.009449,0.000983,0.000174,-1.2e-05,0.108285,-0.090518,-0.98999,-0.10849777839934294
1760171775.047572,0.045471,0.054233,-0.001173,0.997492,0.010464,-0.000101,0.012265,0.00115,-0.000147,0.00034,0.108301,-0.090588,-0.989982,-0.10851385655118402
1760171775.077145,0.045622,0.054212,-0.000953,0.997486,0.011804,-0.00336,0.013744,0.000343,-0.000334,0.001363,0.108239,-0.09091,-0.989959,-0.10845151832428924
1760171775.077449,0.045725,0.05418,-0.000864,0.997483,0.011804,-0.00336,0.013744,0.000631,-0.001197,0.001362,0.108166,-0.091126,-0.989948,-0.10837799233289955
1760171775.109901,0.045805,0.054183,-0.000748,0.99748,0.010571,-0.0029,0.014748,-0.00017,-0.000622,0.001456,0.108161,-0.091297,-0.989932,-0.10837304798380688
1760171775.138834,0.045992,0.054193,-0.000542,0.997471,0.0121,-1.6e-05,0.009787,-0.001413,-0.000474,0.00164,0.108161,-0.091692,-0.989896,-0.1083729932116756
1760171775.139175,0.046069,0.054201,-0.000499,0.997467,0.01136,0.000752,0.006948,-0.000778,-0.000262,0.001532,0.108174,-0.09185,-0.98988,-0.10838606255875279
1760171775.175767,0.04613,0.054208,-0.000464,0.997463,0.008908,0.000739,0.005014,-0.000906,6.7e-05,0.001178,0.108183,-0.091976,-0.989867,-0.10839514982364339
1760171775.204227,0.046255,0.054248,-0.000425,0.997456,0.007962,0.0012,0.000117,0.000323,-0.000621,0.000681,0.108258,-0.092229,-0.989835,-0.10847062087491179
1760171775.206019,0.04636,0.054276,-0.000427,0.997449,0.007962,0.0012,0.000117,0.000109,-0.00021,0.00023,0.108315,-0.092438,-0.98981,-0.10852787911768931
1760171775.236874,0.04642,0.0543,-0.000425,0.997445,0.006621,0.002197,0.000273,-0.000636,-0.001059,0.00027,0.108362,-0.092557,-0.989793,-0.10857523667829688
1760171775.237039,0.04648,0.054324,-0.000422,0.997441,0.00528,0.003195,0.000429,-0.00138,-0.001908,0.000309,0.10841,-0.092676,-0.989777,-0.1086234789049737
1760171775.298546,0.046573,0.054345,-0.000397,0.997435,0.006295,0.004468,0.001102,-0.001251,-0.001868,0.001179,0.108448,-0.092863,-0.989755,-0.10866173772602117
1760171775.298903,0.046666,0.054365,-0.000372,0.99743,0.007309,0.005742,0.001775,-0.001121,-0.001829,0.002049,0.108486,-0.093051,-0.989733,-0.10869998254902147
1760171775.299274,0.046759,0.054386,-0.000347,0.997425,0.008324,0.007015,0.002448,-0.000991,-0.00179,0.002919,0.108524,-0.093239,-0.989712,-0.10873811543060204
1760171775.32898,0.046848,0.054404,-0.000327,0.997419,0.00744,0.005917,0.001866,-0.000598,0.000541,0.002392,0.108559,-0.093418,-0.989691,-0.10877335389346982
1760171775.360667,0.047019,0.054473,-0.000301,0.997408,0.005198,0.00725,-0.004259,6e-06,0.001298,0.002582,0.108692,-0.093761,-0.989644,-0.10890714183656584
1760171775.360949,0.047091,0.054515,-0.000339,0.997402,0.005343,0.006372,-0.005129,7.9e-05,0.000859,0.002147,0.108778,-0.093901,-0.989621,-0.10899368476031489
1760171775.390298,0.047155,0.054553,-0.000391,0.997397,0.009067,0.005794,-0.005792,0.000221,-3e-06,0.001293,0.108859,-0.094022,-0.989601,-0.10907512578634534
1760171775.39901,0.047293,0.054633,-0.000474,0.997386,0.014328,0.007679,-0.005562,-0.000758,-0.000264,0.000312,0.109025,-0.094287,-0.989557,-0.10924217518447829
1760171775.433912,0.04756,0.054648,-0.000545,0.997372,0.020796,-0.001266,0.00045,3.7e-05,-0.001513,-0.000509,0.109061,-0.094811,-0.989503,-0.10927838735073873
1760171775.468389,0.04774,0.05461,-0.000516,0.997366,0.029283,-0.010877,0.006807,-0.001346,-0.002782,-0.00028,0.108982,-0.095173,-0.989477,-0.10919890839774786
1760171775.46869,0.047921,0.054573,-0.000487,0.997359,0.037771,-0.020489,0.013165,-0.002729,-0.004051,-5e-05,0.108904,-0.095535,-0.989451,-0.10912040908285313
1760171775.496477,0.048522,0.054357,-0.000307,0.997342,0.031007,-0.007933,0.010564,0.000883,0.002662,0.007152,0.108455,-0.096752,-0.989382,-0.10866874036952437
1760171775.496809,0.048717,0.054345,-0.00028,0.997333,0.024928,0.003488,0.005958,0.001357,0.003344,0.002573,0.108427,-0.097143,-0.989347,-0.10864054783843421
1760171775.529537,0.048865,0.054416,-0.000244,0.997322,0.02056,0.007517,0.00299,0.001073,0.005433,0.001171,0.108565,-0.097442,-0.989302,-0.10877941713525822
1760171775.553168,0.049172,0.054496,-0.000344,0.997302,0.008732,0.000966,-0.013713,0.000649,0.00738,-9e-05,0.108733,-0.098042,-0.989224,-0.10894844651751905
1760171775.583906,0.049192,0.054494,-0.000492,0.997302,0.008517,-0.005605,-0.015224,0.000242,0.004546,-0.000338,0.108742,-0.098064,-0.989221,-0.10895748181238872
1760171775.584195,0.049211,0.054491,-0.000639,0.997301,0.008302,-0.012176,-0.016734,-0.000166,0.001712,-0.000586,0.108751,-0.098086,-0.989218,-0.10896651705035791
