t_sec,event,value,confidence
1760172234.722,SLOUCH_START,type=normal_slouch,5.600
1760172236.274,SLOUCHED_HOLD_START,type=normal_slouch,7.818
1760172239.615,RECOVERY_START,type=normal_slouch,2.681
1760172240.709,UPRIGHT_HOLD_START,type=normal_slouch,8.864
1760172248.492,SLOUCH_START,type=fast_slouch,2.598
1760172250.008,SLOUCHED_HOLD_START,type=fast_slouch,349.576
1760172253.137,RECOVERY_START,type=fast_slouch,2.567
1760172254.653,UPRIGHT_HOLD_START,type=fast_slouch,6.456
1760172263.916,SLOUCH_START,type=micro_slouch,3.281
1760172265.557,SLOUCHED_HOLD_START,type=micro_slouch,207.643
1760172269.096,RECOVERY_START,type=micro_slouch,2.871
1760172271.699,UPRIGHT_HOLD_START,type=micro_slouch,6.769
1760172278.995,SLOUCH_START,type=lateral_left,3.327
1760172280.325,SLOUCHED_HOLD_START,type=lateral_left,3.119
1760172283.700,RECOVERY_START,type=lateral_left,4.093
1760172285.818,UPRIGHT_HOLD_START,type=lateral_left,10.756
1760172294.073,SLOUCH_START,type=lateral_right,0.000
1760172294.523,SLOUCHED_HOLD_START,type=lateral_right,0.000
1760172299.486,RECOVERY_START,type=lateral_right,3.683
1760172302.647,UPRIGHT_HOLD_START,type=lateral_right,7.883
1760172354.056,SLOUCH_START,type=normal_slouch,1.695
1760172355.922,SLOUCHED_HOLD_START,type=normal_slouch,2.035
1760172358.967,RECOVERY_START,type=normal_slouch,2.045
1760172360.145,UPRIGHT_HOLD_START,type=normal_slouch,11.508
1760172368.412,SLOUCH_START,type=fast_slouch,3.140
1760172369.823,SLOUCHED_HOLD_START,type=fast_slouch,350.974
1760172372.982,RECOVERY_START,type=fast_slouch,3.363
1760172374.964,UPRIGHT_HOLD_START,type=fast_slouch,9.156
1760172383.876,SLOUCH_START,type=micro_slouch,2.513
1760172385.079,SLOUCHED_HOLD_START,type=micro_slouch,8.198
1760172388.409,RECOVERY_START,type=micro_slouch,5.065
1760172390.408,UPRIGHT_HOLD_START,type=micro_slouch,7.095
1760172399.438,SLOUCH_START,type=lateral_left,2.171
1760172400.799,SLOUCHED_HOLD_START,type=lateral_left,5.286
1760172404.017,RECOVERY_START,type=lateral_left,2.467
1760172406.036,UPRIGHT_HOLD_START,type=lateral_left,6.136
1760172413.535,SLOUCH_START,type=lateral_right,3.128
1760172415.501,SLOUCHED_HOLD_START,type=lateral_right,6.136
1760172418.137,RECOVERY_START,type=lateral_right,2.318
1760172419.999,UPRIGHT_HOLD_START,type=lateral_right,9.938
1760172473.545,SLOUCH_START,type=normal_slouch,1.868
1760172475.830,SLOUCHED_HOLD_START,type=normal_slouch,2.414
1760172478.710,RECOVERY_START,type=normal_slouch,2.318
1760172479.902,UPRIGHT_HOLD_START,type=normal_slouch,7.920
1760172489.324,SLOUCH_START,type=fast_slouch,2.744
1760172490.930,SLOUCHED_HOLD_START,type=fast_slouch,2.677
1760172494.184,RECOVERY_START,type=fast_slouch,2.075
1760172496.312,UPRIGHT_HOLD_START,type=fast_slouch,3.560
1760172505.042,SLOUCH_START,type=micro_slouch,2.944
1760172506.868,SLOUCHED_HOLD_START,type=micro_slouch,7.727
1760172509.778,RECOVERY_START,type=micro_slouch,6.847
1760172510.988,UPRIGHT_HOLD_START,type=micro_slouch,9.588
1760172518.464,SLOUCH_START,type=lateral_left,3.621
1760172520.521,SLOUCHED_HOLD_START,type=lateral_left,3.133
1760172523.285,RECOVERY_START,type=lateral_left,2.361
1760172524.541,UPRIGHT_HOLD_START,type=lateral_left,8.116
1760172534.956,SLOUCH_START,type=lateral_right,2.840
1760172536.752,SLOUCHED_HOLD_START,type=lateral_right,4.265
1760172539.672,RECOVERY_START,type=lateral_right,2.391
1760172541.945,UPRIGHT_HOLD_START,type=lateral_right,69.651
