t_beep,event,type,onset_event,onset_time,hold_event,hold_time
1760174067.977123,BEEP_SLOUCH,normal_slouch,SLOUCH_START,1760174067.927123,SLOUCHED_HOLD_START,1760174068.877123
1760174072.477123,BEEP_RECOVER,normal_slouch,RECOVERY_START,1760174072.427123,UPRIGHT_HOLD_START,1760174073.377123
1760174081.748123,BEEP_SLOUCH,fast_slouch,SLOUCH_START,1760174081.698123,SLOUCHED_HOLD_START,1760174082.648123
1760174086.248123,BEEP_RECOVER,fast_slouch,RECOVERY_START,1760174086.198123,UPRIGHT_HOLD_START,1760174087.148123
1760174097.248123,BEEP_SLOUCH,micro_slouch,SLOUCH_START,1760174097.198123,SLOUCHED_HOLD_START,1760174098.148123
1760174101.748123,BEEP_RECOVER,micro_slouch,RECOVERY_START,1760174101.698123,UPRIGHT_HOLD_START,1760174102.648123
1760174112.144123,BEEP_SLOUCH,lateral_left,NOSLOUCH_START,1760174112.094123,NOSLOUCHED_HOLD_START,1760174113.044123
1760174116.644123,BEEP_RECOVER,lateral_left,RECOVERY_START,1760174116.594123,UPRIGHT_HOLD_START,1760174117.544123
1760174128.171123,BEEP_SLOUCH,lateral_right,NOSLOUCH_START,1760174128.121123,NOSLOUCHED_HOLD_START,1760174129.071123
1760174132.671123,BEEP_RECOVER,lateral_right,RECOVERY_START,1760174132.621123,UPRIGHT_HOLD_START,1760174133.571123
1760174143.051123,BEEP_SLOUCH,neck_only,SLOUCH_START,1760174143.001123,SLOUCHED_HOLD_START,1760174143.951123
1760174147.551123,BEEP_RECOVER,neck_only,RECOVERY_START,1760174147.501123,UPRIGHT_HOLD_START,1760174148.451123
1760174158.482123,BEEP_SLOUCH,reach_left,NOSLOUCH_START,1760174158.432123,NOSLOUCHED_HOLD_START,1760174159.382123
1760174162.982123,BEEP_RECOVER,reach_left,RECOVERY_START,1760174162.932123,UPRIGHT_HOLD_START,1760174163.882123
1760174171.872123,BEEP_SLOUCH,reach_right,NOSLOUCH_START,1760174171.822123,NOSLOUCHED_HOLD_START,1760174172.772123
1760174176.372123,BEEP_RECOVER,reach_right,RECOVERY_START,1760174176.322123,UPRIGHT_HOLD_START,1760174177.272123
1760174187.542123,BEEP_SLOUCH,normal_slouch,SLOUCH_START,1760174187.492123,SLOUCHED_HOLD_START,1760174188.442123
1760174192.042123,BEEP_RECOVER,normal_slouch,RECOVERY_START,1760174191.992123,UPRIGHT_HOLD_START,1760174192.942123
1760174201.758123,BEEP_SLOUCH,fast_slouch,SLOUCH_START,1760174201.708123,SLOUCHED_HOLD_START,1760174202.658123
1760174206.258123,BEEP_RECOVER,fast_slouch,RECOVERY_START,1760174206.208123,UPRIGHT_HOLD_START,1760174207.158123
1760174217.135123,BEEP_SLOUCH,micro_slouch,SLOUCH_START,1760174217.085123,SLOUCHED_HOLD_START,1760174218.035123
1760174221.635123,BEEP_RECOVER,micro_slouch,RECOVERY_START,1760174221.585123,UPRIGHT_HOLD_START,1760174222.535123
1760174232.709123,BEEP_SLOUCH,lateral_left,NOSLOUCH_START,1760174232.659123,NOSLOUCHED_HOLD_START,1760174233.609123
1760174237.209123,BEEP_RECOVER,lateral_left,RECOVERY_START,1760174237.159123,UPRIGHT_HOLD_START,1760174238.109123
1760174246.751123,BEEP_SLOUCH,lateral_right,NOSLOUCH_START,1760174246.701123,NOSLOUCHED_HOLD_START,1760174247.651123
1760174251.251123,BEEP_RECOVER,lateral_right,RECOVERY_START,1760174251.201123,UPRIGHT_HOLD_START,1760174252.151123
1760174262.096123,BEEP_SLOUCH,neck_only,SLOUCH_START,1760174262.046123,SLOUCHED_HOLD_START,1760174262.996123
1760174266.596123,BEEP_RECOVER,neck_only,RECOVERY_START,1760174266.546123,UPRIGHT_HOLD_START,1760174267.496123
1760174277.998123,BEEP_SLOUCH,reach_left,NOSLOUCH_START,1760174277.948123,NOSLOUCHED_HOLD_START,1760174278.898123
1760174282.498123,BEEP_RECOVER,reach_left,RECOVERY_START,1760174282.448123,UPRIGHT_HOLD_START,1760174283.398123
1760174292.788123,BEEP_SLOUCH,reach_right,NOSLOUCH_START,1760174292.738123,NOSLOUCHED_HOLD_START,1760174293.688123
1760174297.288123,BEEP_RECOVER,reach_right,RECOVERY_START,1760174297.238123,UPRIGHT_HOLD_START,1760174298.188123
1760174307.139123,BEEP_SLOUCH,normal_slouch,SLOUCH_START,1760174307.089123,SLOUCHED_HOLD_START,1760174308.039123
1760174311.639123,BEEP_RECOVER,normal_slouch,RECOVERY_START,1760174311.589123,UPRIGHT_HOLD_START,1760174312.539123
1760174322.877123,BEEP_SLOUCH,fast_slouch,SLOUCH_START,1760174322.827123,SLOUCHED_HOLD_START,1760174323.777123
1760174327.377123,BEEP_RECOVER,fast_slouch,RECOVERY_START,1760174327.327123,UPRIGHT_HOLD_START,1760174328.277123
1760174338.317123,BEEP_SLOUCH,micro_slouch,SLOUCH_START,1760174338.267123,SLOUCHED_HOLD_START,1760174339.217123
1760174342.817123,BEEP_RECOVER,micro_slouch,RECOVERY_START,1760174342.767123,UPRIGHT_HOLD_START,1760174343.717123
1760174351.711123,BEEP_SLOUCH,lateral_left,NOSLOUCH_START,1760174351.661123,NOSLOUCHED_HOLD_START,1760174352.611123
1760174356.211123,BEEP_RECOVER,lateral_left,RECOVERY_START,1760174356.161123,UPRIGHT_HOLD_START,1760174357.111123
1760174368.310123,BEEP_SLOUCH,lateral_right,NOSLOUCH_START,1760174368.260123,NOSLOUCHED_HOLD_START,1760174369.210123
1760174372.810123,BEEP_RECOVER,lateral_right,RECOVERY_START,1760174372.760123,UPRIGHT_HOLD_START,1760174373.710123
1760174383.094123,BEEP_SLOUCH,neck_only,SLOUCH_START,1760174383.044123,SLOUCHED_HOLD_START,1760174383.994123
1760174387.594123,BEEP_RECOVER,neck_only,RECOVERY_START,1760174387.544123,UPRIGHT_HOLD_START,1760174388.494123
1760174397.379123,BEEP_SLOUCH,reach_left,NOSLOUCH_START,1760174397.329123,NOSLOUCHED_HOLD_START,1760174398.279123
1760174401.879123,BEEP_RECOVER,reach_left,RECOVERY_START,1760174401.829123,UPRIGHT_HOLD_START,1760174402.779123
1760174412.009123,BEEP_SLOUCH,reach_right,NOSLOUCH_START,1760174411.959123,NOSLOUCHED_HOLD_START,1760174412.909123
1760174416.509123,BEEP_RECOVER,reach_right,RECOVERY_START,1760174416.459123,UPRIGHT_HOLD_START,1760174417.409123
