t_sec,event,value
1760174617.771,UPRIGHT_HOLD_START,type=normal_slouch
1760174624.500,SLOUCH_START,type=normal_slouch
1760174625.450,SLOUCHED_HOLD_START,type=normal_slouch
1760174629.000,RECOVERY_START,type=normal_slouch
1760174629.950,UPRIGHT_HOLD_START,type=normal_slouch
1760174638.271,SLOUCH_START,type=fast_slouch
1760174639.221,SLOUCHED_HOLD_START,type=fast_slouch
1760174642.771,RECOVERY_START,type=fast_slouch
1760174643.721,UPRIGHT_HOLD_START,type=fast_slouch
1760174653.771,SLOUCH_START,type=micro_slouch
1760174654.721,SLOUCHED_HOLD_START,type=micro_slouch
1760174658.271,RECOVERY_START,type=micro_slouch
1760174659.221,UPRIGHT_HOLD_START,type=micro_slouch
1760174668.667,NOSLOUCH_START,type=lateral_left
1760174669.617,NOSLOUCHED_HOLD_START,type=lateral_left
1760174673.167,RECOVERY_START,type=lateral_left
1760174674.117,UPRIGHT_HOLD_START,type=lateral_left
1760174684.694,NOSLOUCH_START,type=lateral_right
1760174685.644,NOSLOUCHED_HOLD_START,type=lateral_right
1760174689.194,RECOVERY_START,type=lateral_right
1760174690.144,UPRIGHT_HOLD_START,type=lateral_right
1760174699.574,SLOUCH_START,type=neck_only
1760174700.524,SLOUCHED_HOLD_START,type=neck_only
1760174704.074,RECOVERY_START,type=neck_only
1760174705.024,UPRIGHT_HOLD_START,type=neck_only
1760174715.005,NOSLOUCH_START,type=reach_left
1760174715.955,NOSLOUCHED_HOLD_START,type=reach_left
1760174719.505,RECOVERY_START,type=reach_left
1760174720.455,UPRIGHT_HOLD_START,type=reach_left
1760174728.395,NOSLOUCH_START,type=reach_right
1760174729.345,NOSLOUCHED_HOLD_START,type=reach_right
1760174732.895,RECOVERY_START,type=reach_right
1760174733.845,UPRIGHT_HOLD_START,type=reach_right
1760174744.065,SLOUCH_START,type=normal_slouch
1760174745.015,SLOUCHED_HOLD_START,type=normal_slouch
1760174748.565,RECOVERY_START,type=normal_slouch
1760174749.515,UPRIGHT_HOLD_START,type=normal_slouch
1760174758.281,SLOUCH_START,type=fast_slouch
1760174759.231,SLOUCHED_HOLD_START,type=fast_slouch
1760174762.781,RECOVERY_START,type=fast_slouch
1760174763.731,UPRIGHT_HOLD_START,type=fast_slouch
1760174773.658,SLOUCH_START,type=micro_slouch
1760174774.608,SLOUCHED_HOLD_START,type=micro_slouch
1760174778.158,RECOVERY_START,type=micro_slouch
1760174779.108,UPRIGHT_HOLD_START,type=micro_slouch
1760174789.232,NOSLOUCH_START,type=lateral_left
1760174790.182,NOSLOUCHED_HOLD_START,type=lateral_left
1760174793.732,RECOVERY_START,type=lateral_left
1760174794.682,UPRIGHT_HOLD_START,type=lateral_left
1760174803.274,NOSLOUCH_START,type=lateral_right
1760174804.224,NOSLOUCHED_HOLD_START,type=lateral_right
1760174807.774,RECOVERY_START,type=lateral_right
1760174808.724,UPRIGHT_HOLD_START,type=lateral_right
1760174818.619,SLOUCH_START,type=neck_only
1760174819.569,SLOUCHED_HOLD_START,type=neck_only
1760174823.119,RECOVERY_START,type=neck_only
1760174824.069,UPRIGHT_HOLD_START,type=neck_only
1760174834.521,NOSLOUCH_START,type=reach_left
1760174835.471,NOSLOUCHED_HOLD_START,type=reach_left
1760174839.021,RECOVERY_START,type=reach_left
1760174839.971,UPRIGHT_HOLD_START,type=reach_left
1760174849.311,NOSLOUCH_START,type=reach_right
1760174850.261,NOSLOUCHED_HOLD_START,type=reach_right
1760174853.811,RECOVERY_START,type=reach_right
1760174854.761,UPRIGHT_HOLD_START,type=reach_right
1760174863.662,SLOUCH_START,type=normal_slouch
1760174864.612,SLOUCHED_HOLD_START,type=normal_slouch
1760174868.162,RECOVERY_START,type=normal_slouch
1760174869.112,UPRIGHT_HOLD_START,type=normal_slouch
1760174879.400,SLOUCH_START,type=fast_slouch
1760174880.350,SLOUCHED_HOLD_START,type=fast_slouch
1760174883.900,RECOVERY_START,type=fast_slouch
1760174884.850,UPRIGHT_HOLD_START,type=fast_slouch
1760174894.840,SLOUCH_START,type=micro_slouch
1760174895.790,SLOUCHED_HOLD_START,type=micro_slouch
1760174899.340,RECOVERY_START,type=micro_slouch
1760174900.290,UPRIGHT_HOLD_START,type=micro_slouch
1760174908.234,NOSLOUCH_START,type=lateral_left
1760174909.184,NOSLOUCHED_HOLD_START,type=lateral_left
1760174912.734,RECOVERY_START,type=lateral_left
1760174913.684,UPRIGHT_HOLD_START,type=lateral_left
1760174924.833,NOSLOUCH_START,type=lateral_right
1760174925.783,NOSLOUCHED_HOLD_START,type=lateral_right
1760174929.333,RECOVERY_START,type=lateral_right
1760174930.283,UPRIGHT_HOLD_START,type=lateral_right
1760174939.617,SLOUCH_START,type=neck_only
1760174940.567,SLOUCHED_HOLD_START,type=neck_only
1760174944.117,RECOVERY_START,type=neck_only
1760174945.067,UPRIGHT_HOLD_START,type=neck_only
1760174953.902,NOSLOUCH_START,type=reach_left
1760174954.852,NOSLOUCHED_HOLD_START,type=reach_left
1760174958.402,RECOVERY_START,type=reach_left
1760174959.352,UPRIGHT_HOLD_START,type=reach_left
1760174968.532,NOSLOUCH_START,type=reach_right
1760174969.482,NOSLOUCHED_HOLD_START,type=reach_right
1760174973.032,RECOVERY_START,type=reach_right
1760174973.982,UPRIGHT_HOLD_START,type=reach_right
