timestamp,quat_x,quat_y,quat_z,quat_w,rot_x,rot_y,rot_z,acc_x,acc_y,acc_z,grav_x,grav_y,grav_z,pitch_rad
1760174617.770619,0.249045,0.312605,-0.0,0.916654,-0.016514,0.009059,-0.006643,-0.77818,0.216449,-0.26555,0.573101,-0.456576,-0.68051,-0.6102848644977783
1760174617.801666,0.200228,0.132322,0.032316,0.970235,-0.009692,0.007154,-0.006998,-0.448898,0.157176,-0.061451,0.243825,-0.397089,-0.884799,-0.24630799511444731
1760174617.80192,0.143643,-0.053095,0.063378,0.98617,-0.002869,0.005249,-0.007353,-0.082137,0.036884,0.006654,-0.122929,-0.276584,-0.953095,0.12324071199748297
1760174617.848309,0.129786,-0.095641,0.070165,0.984421,0.004809,0.000726,0.000143,0.001147,0.004273,0.001641,-0.206515,-0.242106,-0.948017,0.20801183342104262
1760174617.848548,0.129818,-0.095634,0.070196,0.984416,0.008442,0.000873,0.002002,0.001041,0.003629,0.001003,-0.206513,-0.242163,-0.948003,0.208009764770015
1760174617.879376,0.129356,-0.094812,0.070193,0.984556,0.010257,0.005322,0.000908,-0.00026,-0.001576,-0.001561,-0.204855,-0.241406,-0.948556,0.20631546768076814
1760174617.879676,0.12907,-0.094807,0.070246,0.98459,0.008832,0.01235,-0.000561,-0.000334,-0.002019,-0.001999,-0.204825,-0.240843,-0.948705,0.20628493336371453
1760174617.917333,0.128583,-0.094792,0.070349,0.984648,0.006058,0.002345,0.001407,-0.002487,-0.003985,0.002639,-0.204765,-0.239881,-0.948962,0.20622356418565238
1760174617.917634,0.128464,-0.094798,0.07038,0.984661,0.009616,0.001167,-0.005455,-0.002396,-0.006442,0.001375,-0.20477,-0.239642,-0.949021,0.2062287328137594
1760174617.9429,0.128662,-0.094692,0.070288,0.984652,0.000112,0.011049,-0.005351,0.000252,-0.004556,-0.001017,-0.204564,-0.240064,-0.948959,0.206018232013916
1760174617.961707,0.129054,-0.094514,0.070108,0.98463,-0.003149,0.012015,-0.010146,0.000507,-0.002544,0.001087,-0.204217,-0.240889,-0.948825,0.20566368237430271
1760174618.009585,0.129153,-0.094541,0.070048,0.984619,-0.005645,0.01142,-0.009696,0.001065,-0.001525,0.001051,-0.204267,-0.241088,-0.948763,0.2057148959949525
1760174618.009936,0.129252,-0.094568,0.069988,0.984608,-0.008141,0.010825,-0.009245,0.001623,-0.000505,0.001015,-0.204316,-0.241288,-0.948702,0.20576487336133775
1760174618.040705,0.129463,-0.094476,0.069797,0.984602,-0.006608,0.005434,-0.006584,0.001663,0.001365,0.000336,-0.204115,-0.241751,-0.948627,0.20555962423596724
1760174618.041126,0.129495,-0.094451,0.069724,0.984606,-0.004029,0.005538,-0.005265,0.002636,0.002489,0.000893,-0.204052,-0.241833,-0.94862,0.20549520114560937
1760174618.071858,0.129598,-0.094285,0.069709,0.984609,-0.000221,0.004441,0.003946,0.002866,0.002313,-2.4e-05,-0.203737,-0.242061,-0.948629,0.20517355126054804
1760174618.124151,0.129597,-0.09421,0.069732,0.984615,0.001129,0.003122,0.002548,0.002556,0.001441,7.6e-05,-0.203595,-0.242067,-0.948658,0.20502850239721473
1760174618.124453,0.129596,-0.094134,0.069756,0.984621,0.00248,0.001803,0.00115,0.002247,0.000568,0.000176,-0.203453,-0.242072,-0.948687,0.20488350385139711
1760174618.125016,0.129594,-0.094059,0.06978,0.984626,0.00383,0.000484,-0.000248,0.001938,-0.000304,0.000276,-0.203311,-0.242078,-0.948717,0.2047382579898156
1760174618.154219,0.129471,-0.09398,0.069741,0.984653,0.000101,0.001425,-0.002536,0.001431,-0.000759,-1.3e-05,-0.203135,-0.24186,-0.94881,0.20455856552958795
1760174618.161598,0.129501,-0.093843,0.069687,0.984666,0.001063,0.00228,-0.002687,0.001014,-0.000393,0.000123,-0.202858,-0.241951,-0.948846,0.20427568786872213
1760174618.194023,0.129518,-0.093808,0.06966,0.984669,0.001187,0.00239,-0.002707,0.001083,0.000397,0.000876,-0.202784,-0.241996,-0.94885,0.2042001844210637
1760174618.227521,0.129536,-0.093771,0.069651,0.984671,0.001441,0.001202,-0.001512,0.000979,0.000419,0.001401,-0.202712,-0.242038,-0.948855,0.20412659291801166
1760174618.227878,0.129554,-0.093734,0.069642,0.984672,0.001695,1.4e-05,-0.000317,0.000874,0.00044,0.001926,-0.20264,-0.24208,-0.948859,0.20405319748941506
1760174618.255422,0.129575,-0.09368,0.069631,0.984676,-0.001002,-0.001612,0.002728,0.000565,0.001023,0.000733,-0.202534,-0.242132,-0.948869,0.2039448280038915
1760174618.263185,0.129564,-0.093728,0.069717,0.984666,0.001412,-0.002052,0.006308,0.000136,0.000245,0.000176,-0.202647,-0.242085,-0.948857,0.20406019448652085
1760174618.310168,0.129579,-0.093736,0.069747,0.984661,0.001614,-0.002625,0.006219,8.4e-05,0.000153,0.000109,-0.202671,-0.242108,-0.948846,0.20408470415091495
1760174618.310416,0.129595,-0.093743,0.069776,0.984657,0.001816,-0.003199,0.00613,3.3e-05,6e-05,4.3e-05,-0.202695,-0.242131,-0.948835,0.20410921368612875
1760174618.338533,0.129608,-0.093768,0.069857,0.984647,0.002249,-0.002211,0.003971,-0.000536,-0.00126,0.00068,-0.202764,-0.242136,-0.948819,0.20417967317017366
1760174618.338858,0.129622,-0.093785,0.069881,0.984642,0.001258,-0.001878,0.001836,-0.00115,-0.003101,0.000678,-0.202804,-0.242155,-0.948805,0.20422064016004848
1760174618.370472,0.129624,-0.093778,0.069927,0.984639,-0.002072,0.000725,0.001045,-0.001383,0.000462,-0.000235,-0.202803,-0.24215,-0.948807,0.20421951868899071
1760174618.404631,0.129625,-0.093769,0.069924,0.98464,-0.002066,9.6e-05,-0.000102,-0.000936,6e-06,0.000151,-0.202785,-0.242155,-0.94881,0.20420105247904077
1760174618.404913,0.129626,-0.09376,0.06992,0.984641,-0.002059,-0.000532,-0.001248,-0.00049,-0.00045,0.000537,-0.202767,-0.242159,-0.948812,0.2041828328930259
1760174618.435641,0.129604,-0.093757,0.069879,0.984647,-0.004625,0.003488,-0.00275,-0.000317,-0.000139,0.00159,-0.202748,-0.242125,-0.948825,0.20416337822698663
1760174618.443764,0.129567,-0.093789,0.069831,0.984652,-0.004895,-0.002205,-0.003201,-0.000478,-0.000447,0.001928,-0.202795,-0.242058,-0.948832,0.20421138526619212
1760174618.473947,0.129549,-0.093782,0.069804,0.984657,-0.002255,-0.001016,-0.001475,-0.001206,0.000123,0.000721,-0.202773,-0.242031,-0.948844,0.2041888378079182
1760174618.515177,0.129532,-0.093821,0.06982,0.984654,-0.001741,-0.002581,0.001006,-0.000897,0.000364,0.001643,-0.202851,-0.241987,-0.948838,0.2042686013551264
1760174618.515478,0.129515,-0.09386,0.069837,0.984652,-0.001227,-0.004146,0.003487,-0.000588,0.000605,0.002565,-0.202929,-0.241944,-0.948832,0.204348314493472
1760174618.544481,0.129527,-0.093877,0.069865,0.984647,0.002032,0.000979,0.00286,-0.000781,-0.000421,-1.9e-05,-0.202971,-0.241958,-0.94882,0.2043910982570236
1760174618.544791,0.129539,-0.093895,0.069892,0.984641,0.005291,0.006104,0.002232,-0.000975,-0.001447,-0.002602,-0.203012,-0.241973,-0.948807,0.20443304929088707
1760174618.612125,0.129658,-0.093777,0.069896,0.984637,0.010615,0.010405,-0.005999,-0.00107,-0.002318,0.001236,-0.202797,-0.242222,-0.94879,0.20421337251582483
1760174618.612405,0.129633,-0.093603,0.06989,0.984657,0.003754,0.016106,-0.007805,-0.001013,-0.001362,0.000729,-0.202454,-0.242204,-0.948868,0.20386307615778448
1760174618.612791,0.129608,-0.093429,0.069885,0.984677,-0.003106,0.021806,-0.009611,-0.000957,-0.000406,0.000222,-0.20211,-0.242186,-0.948945,0.20351199613878637
1760174618.641041,0.129459,-0.093078,0.069734,0.984741,-0.013554,0.015204,-0.013087,0.000147,0.001772,0.002614,-0.201371,-0.241985,-0.949154,0.2027573576584402
1760174618.641493,0.129375,-0.092998,0.069667,0.984764,-0.015351,0.011751,-0.009302,0.000675,0.003114,0.002142,-0.201189,-0.241849,-0.949227,0.20257160486716852
1760174618.672755,0.129247,-0.092977,0.069554,0.984791,-0.001088,-0.003297,-0.000807,0.000658,0.004829,0.002637,-0.201106,-0.241629,-0.949301,0.20248679753179666
1760174618.702155,0.129273,-0.09301,0.069567,0.984783,0.003179,-0.002457,0.003265,0.00055,0.005207,0.002611,-0.201175,-0.241671,-0.949275,0.20255737133735421
1760174618.702482,0.129299,-0.093042,0.06958,0.984776,0.007446,-0.001617,0.007336,0.000443,0.005585,0.002585,-0.201244,-0.241713,-0.94925,0.2026277497577414
1760174618.738776,0.129414,-0.09306,0.069802,0.984743,0.014933,0.000283,0.010855,-0.000382,0.001222,5.7e-05,-0.201347,-0.241887,-0.949184,0.20273286963227305
1760174618.739135,0.129479,-0.093054,0.06987,0.984731,0.015281,-0.00066,0.006958,-0.001807,3.5e-05,-0.000902,-0.20136,-0.242,-0.949152,0.20274622700722936
1760174618.770018,0.129566,-0.093036,0.069984,0.984713,0.008472,0.001024,0.00125,-0.001493,-0.000959,0.000766,-0.201363,-0.242149,-0.949114,0.20274916513755045
1760174618.799407,0.129595,-0.09301,0.069989,0.984711,0.009145,0.001731,-0.001315,-0.001677,-0.001241,0.001293,-0.201317,-0.242208,-0.949108,0.20270234068675144
1760174618.799693,0.129623,-0.092985,0.069994,0.984709,0.009817,0.002437,-0.003879,-0.001861,-0.001522,0.001821,-0.201271,-0.242266,-0.949103,0.20265537022857755
1760174618.83177,0.129741,-0.092947,0.069935,0.984702,0.001298,0.00677,-0.005896,0.000573,-0.000962,0.000876,-0.201197,-0.242511,-0.949056,0.2025798479679497
1760174618.839556,0.129754,-0.092843,0.069873,0.984714,-0.001922,0.004076,-0.003654,-0.000399,-0.000602,0.001903,-0.200981,-0.242566,-0.949088,0.20235928726039495
1760174618.909494,0.129732,-0.092817,0.069848,0.984721,-0.00157,0.002605,-0.002267,-0.000194,0.000136,0.001943,-0.200921,-0.242533,-0.949109,0.20229806452993992
1760174618.909824,0.12971,-0.09279,0.069823,0.984728,-0.001217,0.001135,-0.00088,1.1e-05,0.000874,0.001983,-0.20086,-0.242501,-0.94913,0.20223581215805295
1760174618.910097,0.129689,-0.092764,0.069798,0.984735,-0.000864,-0.000336,0.000507,0.000215,0.001612,0.002023,-0.2008,-0.242468,-0.949151,0.20217458884009054
1760174618.938204,0.129659,-0.092767,0.069818,0.984738,-0.000961,-0.000709,0.002243,-0.000112,0.002315,0.00229,-0.200808,-0.242407,-0.949165,0.2021827334615633
1760174618.93851,0.12963,-0.092771,0.069838,0.98474,-0.001059,-0.001083,0.003979,-0.000439,0.003017,0.002558,-0.200816,-0.242346,-0.949179,0.20219087727883658
1760174618.969655,0.129626,-0.092793,0.069924,0.984732,-1.9e-05,-0.001215,0.002856,-0.000422,0.000444,0.000791,-0.200881,-0.242317,-0.949173,0.20225716122168116
1760174618.980513,0.129642,-0.092818,0.069972,0.984724,0.002456,0.000238,-0.00278,-0.000338,-0.000461,0.000697,-0.200944,-0.242335,-0.949155,0.20232148603507089
1760174619.012962,0.129645,-0.092813,0.069947,0.984726,0.001682,0.000721,-0.003509,-0.000722,-0.000418,-0.000158,-0.200927,-0.242345,-0.949156,0.20230414098299618
1760174619.019538,0.129643,-0.092835,0.069897,0.984728,-8e-06,-0.001136,-0.001612,0.000118,0.001171,0.00119,-0.200958,-0.242349,-0.949149,0.2023356726971301
1760174619.048482,0.129646,-0.092809,0.069882,0.984731,-3e-06,-0.000411,-0.000583,0.000395,0.0017,0.000867,-0.200904,-0.242362,-0.949157,0.20228057031523125
