timestamp,quat_x,quat_y,quat_z,quat_w,rot_x,rot_y,rot_z,acc_x,acc_y,acc_z,grav_x,grav_y,grav_z,pitch_rad
1760732785.305969,0.262028,0.456099,0.0,0.850479,-0.024456,-0.008796,0.01487,-1.17179,0.308605,-0.456999,0.775806,-0.445698,-0.44663,-0.8879914805538929
1760732785.306409,0.195708,0.164622,0.054276,0.965221,-0.021264,-0.010782,0.01546,-0.693632,0.258626,-0.035813,0.296549,-0.395673,-0.869196,-0.3010770522744162
1760732785.306551,0.108747,-0.144217,0.102828,0.978162,-0.018072,-0.012768,0.016049,-0.093681,0.046086,0.028363,-0.304501,-0.183085,-0.934751,0.30941444222197156
1760732785.334286,0.092764,-0.194338,0.110041,0.970319,-0.016549,0.008318,0.008335,-0.002529,0.000243,-0.001559,-0.397556,-0.137251,-0.907255,0.40885171710356816
1760732785.367628,0.092633,-0.194286,0.110081,0.970337,-0.018691,0.007788,0.006747,-0.001948,0.000637,0.000577,-0.397439,-0.136997,-0.907344,0.40872446529541573
1760732785.368039,0.092503,-0.194233,0.110121,0.970356,-0.020833,0.007258,0.005158,-0.001366,0.001031,0.002714,-0.397323,-0.136743,-0.907434,0.40859770785385835
1760732785.399687,0.092001,-0.194941,0.110162,0.970257,-0.028393,0.001387,-0.000705,0.001191,0.002107,0.003263,-0.398556,-0.135578,-0.907068,0.4099417154035469
1760732785.430293,0.091859,-0.194897,0.109979,0.9703,-0.027957,0.002193,-0.003003,0.000593,0.003544,0.003173,-0.398423,-0.135392,-0.907154,0.40979678619528676
1760732785.430701,0.091753,-0.194997,0.109912,0.970297,-0.027356,0.003994,-0.003001,0.000918,0.004941,-0.000212,-0.398579,-0.135191,-0.907115,0.40996705128900607
1760732785.461204,0.09162,-0.195069,0.10985,0.970303,-0.024542,0.005728,-0.003383,0.001795,0.005708,-0.001516,-0.398681,-0.134941,-0.907108,0.41007803355939054
1760732785.492495,0.091229,-0.194933,0.109781,0.970374,-0.020162,0.01546,0.001729,0.003081,0.004799,-0.002564,-0.398347,-0.134253,-0.907356,0.40971417651352326
1760732785.533615,0.0909,-0.194828,0.109782,0.970426,-0.01804,0.01189,-0.00052,0.003671,0.004193,-0.00205,-0.39809,-0.133647,-0.907559,0.4094337005148854
1760732785.533945,0.090571,-0.194722,0.109784,0.970478,-0.015918,0.008321,-0.002768,0.00426,0.003586,-0.001536,-0.397833,-0.13304,-0.907761,0.40915350460687017
1760732785.534253,0.090242,-0.194616,0.109786,0.97053,-0.013796,0.004752,-0.005016,0.00485,0.00298,-0.001022,-0.397576,-0.132433,-0.907962,0.4088735302807559
1760732785.56276,0.09,-0.19454,0.109763,0.97057,-0.011716,0.002543,-0.004655,0.005069,0.003153,-0.000542,-0.397387,-0.131997,-0.908108,0.4086676456383019
1760732785.563113,0.089759,-0.194464,0.10974,0.97061,-0.009637,0.000335,-0.004293,0.005288,0.003327,-6.2e-05,-0.397198,-0.13156,-0.908254,0.40846172924930507
1760732785.597403,0.089466,-0.194286,0.109703,0.970677,-0.003594,-0.00081,0.001644,0.004168,0.003703,0.001155,-0.396807,-0.131057,-0.908498,0.4080355596332228
1760732785.60429,0.089318,-0.194112,0.109775,0.970717,-0.002044,-0.000832,0.008879,0.002093,0.003063,0.000868,-0.396466,-0.130788,-0.908686,0.4076639416004655
1760732785.63415,0.089206,-0.194025,0.109867,0.970735,-0.003775,-0.001144,0.011671,0.002476,0.002401,0.00052,-0.396295,-0.130556,-0.908793,0.40747805672185805
1760732785.663919,0.089094,-0.193941,0.109961,0.970751,-0.003071,-0.000928,0.01196,0.002716,0.001463,0.001155,-0.396131,-0.130324,-0.908898,0.4072993572686026
