t_sec,event,value
1760733870.901,UPRIGHT_HOLD_START,type=normal_slouch
1760733875.880,SLOUCH_START,type=normal_slouch
1760733876.830,SLOUCHED_HOLD_START,type=normal_slouch
1760733880.380,RECOVERY_START,type=normal_slouch
1760733881.330,UPRIGHT_HOLD_START,type=normal_slouch
1760733889.651,SLOUCH_START,type=fast_slouch
1760733890.601,SLOUCHED_HOLD_START,type=fast_slouch
1760733894.151,RECOVERY_START,type=fast_slouch
1760733895.101,UPRIGHT_HOLD_START,type=fast_slouch
1760733905.151,SLOUCH_START,type=micro_slouch
1760733906.101,SLOUCHED_HOLD_START,type=micro_slouch
1760733909.651,RECOVERY_START,type=micro_slouch
1760733910.601,UPRIGHT_HOLD_START,type=micro_slouch
1760733920.047,NOSLOUCH_START,type=lateral_left
1760733920.997,NOSLOUCHED_HOLD_START,type=lateral_left
1760733924.547,RECOVERY_START,type=lateral_left
1760733925.497,UPRIGHT_HOLD_START,type=lateral_left
1760733936.074,NOSLOUCH_START,type=lateral_right
1760733937.024,NOSLOUCHED_HOLD_START,type=lateral_right
1760733940.574,RECOVERY_START,type=lateral_right
1760733941.524,UPRIGHT_HOLD_START,type=lateral_right
1760733950.954,SLOUCH_START,type=neck_only
1760733951.904,SLOUCHED_HOLD_START,type=neck_only
1760733955.454,RECOVERY_START,type=neck_only
1760733956.404,UPRIGHT_HOLD_START,type=neck_only
1760733966.385,NOSLOUCH_START,type=reach_left
1760733967.335,NOSLOUCHED_HOLD_START,type=reach_left
1760733970.885,RECOVERY_START,type=reach_left
1760733971.835,UPRIGHT_HOLD_START,type=reach_left
1760733979.775,NOSLOUCH_START,type=reach_right
1760733980.725,NOSLOUCHED_HOLD_START,type=reach_right
1760733984.275,RECOVERY_START,type=reach_right
1760733985.225,UPRIGHT_HOLD_START,type=reach_right
1760733995.445,SLOUCH_START,type=normal_slouch
1760733996.395,SLOUCHED_HOLD_START,type=normal_slouch
1760733999.945,RECOVERY_START,type=normal_slouch
1760734000.895,UPRIGHT_HOLD_START,type=normal_slouch
1760734009.661,SLOUCH_START,type=fast_slouch
1760734010.611,SLOUCHED_HOLD_START,type=fast_slouch
1760734014.161,RECOVERY_START,type=fast_slouch
1760734015.111,UPRIGHT_HOLD_START,type=fast_slouch
1760734025.038,SLOUCH_START,type=micro_slouch
1760734025.988,SLOUCHED_HOLD_START,type=micro_slouch
1760734029.538,RECOVERY_START,type=micro_slouch
1760734030.488,UPRIGHT_HOLD_START,type=micro_slouch
1760734040.612,NOSLOUCH_START,type=lateral_left
1760734041.562,NOSLOUCHED_HOLD_START,type=lateral_left
1760734045.112,RECOVERY_START,type=lateral_left
1760734046.062,UPRIGHT_HOLD_START,type=lateral_left
1760734054.654,NOSLOUCH_START,type=lateral_right
1760734055.604,NOSLOUCHED_HOLD_START,type=lateral_right
1760734059.154,RECOVERY_START,type=lateral_right
1760734060.104,UPRIGHT_HOLD_START,type=lateral_right
1760734069.999,SLOUCH_START,type=neck_only
1760734070.949,SLOUCHED_HOLD_START,type=neck_only
1760734074.499,RECOVERY_START,type=neck_only
1760734075.449,UPRIGHT_HOLD_START,type=neck_only
1760734085.901,NOSLOUCH_START,type=reach_left
1760734086.851,NOSLOUCHED_HOLD_START,type=reach_left
1760734090.401,RECOVERY_START,type=reach_left
1760734091.351,UPRIGHT_HOLD_START,type=reach_left
1760734100.691,NOSLOUCH_START,type=reach_right
1760734101.641,NOSLOUCHED_HOLD_START,type=reach_right
1760734105.191,RECOVERY_START,type=reach_right
1760734106.141,UPRIGHT_HOLD_START,type=reach_right
1760734115.042,SLOUCH_START,type=normal_slouch
1760734115.992,SLOUCHED_HOLD_START,type=normal_slouch
1760734119.542,RECOVERY_START,type=normal_slouch
1760734120.492,UPRIGHT_HOLD_START,type=normal_slouch
1760734130.780,SLOUCH_START,type=fast_slouch
1760734131.730,SLOUCHED_HOLD_START,type=fast_slouch
1760734135.280,RECOVERY_START,type=fast_slouch
1760734136.230,UPRIGHT_HOLD_START,type=fast_slouch
1760734146.220,SLOUCH_START,type=micro_slouch
1760734147.170,SLOUCHED_HOLD_START,type=micro_slouch
1760734150.720,RECOVERY_START,type=micro_slouch
1760734151.670,UPRIGHT_HOLD_START,type=micro_slouch
1760734159.614,NOSLOUCH_START,type=lateral_left
1760734160.564,NOSLOUCHED_HOLD_START,type=lateral_left
1760734164.114,RECOVERY_START,type=lateral_left
1760734165.064,UPRIGHT_HOLD_START,type=lateral_left
1760734176.213,NOSLOUCH_START,type=lateral_right
1760734177.163,NOSLOUCHED_HOLD_START,type=lateral_right
1760734180.713,RECOVERY_START,type=lateral_right
1760734181.663,UPRIGHT_HOLD_START,type=lateral_right
1760734190.997,SLOUCH_START,type=neck_only
1760734191.947,SLOUCHED_HOLD_START,type=neck_only
1760734195.497,RECOVERY_START,type=neck_only
1760734196.447,UPRIGHT_HOLD_START,type=neck_only
1760734205.282,NOSLOUCH_START,type=reach_left
1760734206.232,NOSLOUCHED_HOLD_START,type=reach_left
1760734209.782,RECOVERY_START,type=reach_left
1760734210.732,UPRIGHT_HOLD_START,type=reach_left
1760734219.912,NOSLOUCH_START,type=reach_right
1760734220.862,NOSLOUCHED_HOLD_START,type=reach_right
1760734224.412,RECOVERY_START,type=reach_right
1760734225.362,UPRIGHT_HOLD_START,type=reach_right
