t_beep,event,type,onset_event,onset_time,hold_event,hold_time
1760734873.719721,BEEP_SLOUCH,normal_slouch,SLOUCH_START,1760734873.669721,SLOUCHED_HOLD_START,1760734874.619721
1760734878.219721,BEEP_RECOVER,normal_slouch,RECOVERY_START,1760734878.169721,UPRIGHT_HOLD_START,1760734879.119721
1760734887.490721,BEEP_SLOUCH,fast_slouch,SLOUCH_START,1760734887.440721,SLOUCHED_HOLD_START,1760734888.390721
1760734891.990721,BEEP_RECOVER,fast_slouch,RECOVERY_START,1760734891.940721,UPRIGHT_HOLD_START,1760734892.890721
1760734902.990721,BEEP_SLOUCH,micro_slouch,SLOUCH_START,1760734902.940721,SLOUCHED_HOLD_START,1760734903.890721
1760734907.490721,BEEP_RECOVER,micro_slouch,RECOVERY_START,1760734907.440721,UPRIGHT_HOLD_START,1760734908.390721
1760734917.886721,BEEP_SLOUCH,lateral_left,NOSLOUCH_START,1760734917.836721,NOSLOUCHED_HOLD_START,1760734918.786721
1760734922.386721,BEEP_RECOVER,lateral_left,RECOVERY_START,1760734922.336721,UPRIGHT_HOLD_START,1760734923.286721
1760734933.913721,BEEP_SLOUCH,lateral_right,NOSLOUCH_START,1760734933.863721,NOSLOUCHED_HOLD_START,1760734934.813721
1760734938.413721,BEEP_RECOVER,lateral_right,RECOVERY_START,1760734938.363721,UPRIGHT_HOLD_START,1760734939.313721
1760734948.793721,BEEP_SLOUCH,neck_only,SLOUCH_START,1760734948.743721,SLOUCHED_HOLD_START,1760734949.693721
1760734953.293721,BEEP_RECOVER,neck_only,RECOVERY_START,1760734953.243721,UPRIGHT_HOLD_START,1760734954.193721
1760734964.224721,BEEP_SLOUCH,reach_left,NOSLOUCH_START,1760734964.174721,NOSLOUCHED_HOLD_START,1760734965.124721
1760734968.724721,BEEP_RECOVER,reach_left,RECOVERY_START,1760734968.674721,UPRIGHT_HOLD_START,1760734969.624721
1760734977.614721,BEEP_SLOUCH,reach_right,NOSLOUCH_START,1760734977.564721,NOSLOUCHED_HOLD_START,1760734978.514721
1760734982.114721,BEEP_RECOVER,reach_right,RECOVERY_START,1760734982.064721,UPRIGHT_HOLD_START,1760734983.014721
