t_sec,event,value,confidence
1760736204.249,UPRIGHT_HOLD_START,type=normal_slouch,0.000
1760736208.771,SLOUCH_START,type=normal_slouch,3.031
1760736210.813,SLOUCHED_HOLD_START,type=normal_slouch,357.444
1760736213.554,RECOVERY_START,type=normal_slouch,2.103
1760736214.778,UPRIGHT_HOLD_START,type=normal_slouch,1.930
1760736222.508,SLOUCH_START,type=fast_slouch,2.418
1760736224.056,SLOUCHED_HOLD_START,type=fast_slouch,357.385
1760736227.105,RECOVERY_START,type=fast_slouch,3.217
1760736228.461,UPRIGHT_HOLD_START,type=fast_slouch,3.841
1760736237.834,SLOUCH_START,type=micro_slouch,1.644
1760736239.145,SLOUCHED_HOLD_START,type=micro_slouch,2.906
1760736242.604,RECOVERY_START,type=micro_slouch,3.064
1760736244.244,UPRIGHT_HOLD_START,type=micro_slouch,357.694
1760736252.904,NOSLOUCH_START,type=lateral_left,3.400
1760736255.211,NOSLOUCHED_HOLD_START,type=lateral_left,4.626
1760736257.830,RECOVERY_START,type=lateral_left,2.156
1760736258.668,UPRIGHT_HOLD_START,type=lateral_left,353.565
1760736267.893,NOSLOUCH_START,type=lateral_right,0.000
1760736268.343,NOSLOUCHED_HOLD_START,type=lateral_right,0.000
1760736273.530,RECOVERY_START,type=lateral_right,2.173
1760736274.850,UPRIGHT_HOLD_START,type=lateral_right,10.494
1760736283.504,SLOUCH_START,type=neck_only,2.779
1760736284.871,SLOUCHED_HOLD_START,type=neck_only,354.126
1760736288.601,RECOVERY_START,type=neck_only,2.155
1760736290.247,UPRIGHT_HOLD_START,type=neck_only,15.010
1760736299.094,NOSLOUCH_START,type=reach_left,2.267
1760736301.760,NOSLOUCHED_HOLD_START,type=reach_left,4.605
1760736303.980,RECOVERY_START,type=reach_left,2.014
1760736305.473,UPRIGHT_HOLD_START,type=reach_left,10.204
1760736311.594,NOSLOUCH_START,type=reach_right,0.000
1760736312.044,NOSLOUCHED_HOLD_START,type=reach_right,0.000
1760736317.285,RECOVERY_START,type=reach_right,2.246
1760736317.855,UPRIGHT_HOLD_START,type=reach_right,13.815
1760736328.345,SLOUCH_START,type=normal_slouch,3.297
1760736329.892,SLOUCHED_HOLD_START,type=normal_slouch,4.053
1760736332.815,RECOVERY_START,type=normal_slouch,1.733
1760736333.512,UPRIGHT_HOLD_START,type=normal_slouch,3.591
1760736342.476,SLOUCH_START,type=fast_slouch,9.602
1760736343.505,SLOUCHED_HOLD_START,type=fast_slouch,6.139
1760736345.780,RECOVERY_START,type=fast_slouch,0.000
1760736346.230,UPRIGHT_HOLD_START,type=fast_slouch,0.000
1760736357.923,SLOUCH_START,type=micro_slouch,4.148
1760736359.294,SLOUCHED_HOLD_START,type=micro_slouch,5.691
1760736362.548,RECOVERY_START,type=micro_slouch,2.808
1760736364.086,UPRIGHT_HOLD_START,type=micro_slouch,356.761
1760736373.470,NOSLOUCH_START,type=lateral_left,1.793
1760736375.658,NOSLOUCHED_HOLD_START,type=lateral_left,4.691
1760736378.201,RECOVERY_START,type=lateral_left,2.142
1760736379.235,UPRIGHT_HOLD_START,type=lateral_left,10.810
1760736387.406,NOSLOUCH_START,type=lateral_right,2.141
1760736390.760,NOSLOUCHED_HOLD_START,type=lateral_right,5.751
1760736392.224,RECOVERY_START,type=lateral_right,2.084
1760736393.239,UPRIGHT_HOLD_START,type=lateral_right,11.846
1760736402.757,SLOUCH_START,type=neck_only,2.545
