t_sec,event,value
1763541756.284,UPRIGHT_HOLD_START,type=normal_slouch
1763541762.013,SLOUCH_START,type=normal_slouch
1763541762.963,SLOUCHED_HOLD_START,type=normal_slouch
1763541766.513,RECOVERY_START,type=normal_slouch
1763541767.463,UPRIGHT_HOLD_START,type=normal_slouch
1763541775.784,SLOUCH_START,type=fast_slouch
1763541776.734,SLOUCHED_HOLD_START,type=fast_slouch
1763541780.284,RECOVERY_START,type=fast_slouch
1763541781.234,UPRIGHT_HOLD_START,type=fast_slouch
1763541791.284,SLOUCH_START,type=micro_slouch
1763541792.234,SLOUCHED_HOLD_START,type=micro_slouch
1763541795.784,RECOVERY_START,type=micro_slouch
1763541796.734,UPRIGHT_HOLD_START,type=micro_slouch
1763541806.180,NOSLOUCH_START,type=lateral_left
1763541807.130,NOSLOUCHED_HOLD_START,type=lateral_left
1763541810.680,RECOVERY_START,type=lateral_left
1763541811.630,UPRIGHT_HOLD_START,type=lateral_left
1763541822.207,NOSLOUCH_START,type=lateral_right
1763541823.157,NOSLOUCHED_HOLD_START,type=lateral_right
1763541826.707,RECOVERY_START,type=lateral_right
1763541827.657,UPRIGHT_HOLD_START,type=lateral_right
1763541837.087,SLOUCH_START,type=neck_only
1763541838.037,SLOUCHED_HOLD_START,type=neck_only
1763541841.587,RECOVERY_START,type=neck_only
1763541842.537,UPRIGHT_HOLD_START,type=neck_only
1763541852.518,NOSLOUCH_START,type=reach_left
1763541853.468,NOSLOUCHED_HOLD_START,type=reach_left
1763541857.018,RECOVERY_START,type=reach_left
1763541857.968,UPRIGHT_HOLD_START,type=reach_left
1763541865.908,NOSLOUCH_START,type=reach_right
1763541866.858,NOSLOUCHED_HOLD_START,type=reach_right
1763541870.408,RECOVERY_START,type=reach_right
1763541871.358,UPRIGHT_HOLD_START,type=reach_right
1763541881.578,SLOUCH_START,type=normal_slouch
1763541882.528,SLOUCHED_HOLD_START,type=normal_slouch
1763541886.078,RECOVERY_START,type=normal_slouch
1763541887.028,UPRIGHT_HOLD_START,type=normal_slouch
1763541895.794,SLOUCH_START,type=fast_slouch
1763541896.744,SLOUCHED_HOLD_START,type=fast_slouch
1763541900.294,RECOVERY_START,type=fast_slouch
1763541901.244,UPRIGHT_HOLD_START,type=fast_slouch
1763541911.171,SLOUCH_START,type=micro_slouch
1763541912.121,SLOUCHED_HOLD_START,type=micro_slouch
1763541915.671,RECOVERY_START,type=micro_slouch
1763541916.621,UPRIGHT_HOLD_START,type=micro_slouch
1763541926.745,NOSLOUCH_START,type=lateral_left
1763541927.695,NOSLOUCHED_HOLD_START,type=lateral_left
1763541931.245,RECOVERY_START,type=lateral_left
1763541932.195,UPRIGHT_HOLD_START,type=lateral_left
1763541940.787,NOSLOUCH_START,type=lateral_right
1763541941.737,NOSLOUCHED_HOLD_START,type=lateral_right
1763541945.287,RECOVERY_START,type=lateral_right
1763541946.237,UPRIGHT_HOLD_START,type=lateral_right
1763541956.132,SLOUCH_START,type=neck_only
1763541957.082,SLOUCHED_HOLD_START,type=neck_only
1763541960.632,RECOVERY_START,type=neck_only
1763541961.582,UPRIGHT_HOLD_START,type=neck_only
1763541972.034,NOSLOUCH_START,type=reach_left
1763541972.984,NOSLOUCHED_HOLD_START,type=reach_left
1763541976.534,RECOVERY_START,type=reach_left
1763541977.484,UPRIGHT_HOLD_START,type=reach_left
1763541986.824,NOSLOUCH_START,type=reach_right
1763541987.774,NOSLOUCHED_HOLD_START,type=reach_right
1763541991.324,RECOVERY_START,type=reach_right
1763541992.274,UPRIGHT_HOLD_START,type=reach_right
1763542001.175,SLOUCH_START,type=normal_slouch
1763542002.125,SLOUCHED_HOLD_START,type=normal_slouch
1763542005.675,RECOVERY_START,type=normal_slouch
1763542006.625,UPRIGHT_HOLD_START,type=normal_slouch
1763542016.913,SLOUCH_START,type=fast_slouch
1763542017.863,SLOUCHED_HOLD_START,type=fast_slouch
1763542021.413,RECOVERY_START,type=fast_slouch
1763542022.363,UPRIGHT_HOLD_START,type=fast_slouch
1763542032.353,SLOUCH_START,type=micro_slouch
1763542033.303,SLOUCHED_HOLD_START,type=micro_slouch
1763542036.853,RECOVERY_START,type=micro_slouch
1763542037.803,UPRIGHT_HOLD_START,type=micro_slouch
1763542045.747,NOSLOUCH_START,type=lateral_left
1763542046.697,NOSLOUCHED_HOLD_START,type=lateral_left
1763542050.247,RECOVERY_START,type=lateral_left
1763542051.197,UPRIGHT_HOLD_START,type=lateral_left
1763542062.346,NOSLOUCH_START,type=lateral_right
1763542063.296,NOSLOUCHED_HOLD_START,type=lateral_right
1763542066.846,RECOVERY_START,type=lateral_right
1763542067.796,UPRIGHT_HOLD_START,type=lateral_right
1763542077.130,SLOUCH_START,type=neck_only
1763542078.080,SLOUCHED_HOLD_START,type=neck_only
1763542081.630,RECOVERY_START,type=neck_only
1763542082.580,UPRIGHT_HOLD_START,type=neck_only
1763542091.415,NOSLOUCH_START,type=reach_left
1763542092.365,NOSLOUCHED_HOLD_START,type=reach_left
1763542095.915,RECOVERY_START,type=reach_left
1763542096.865,UPRIGHT_HOLD_START,type=reach_left
1763542106.045,NOSLOUCH_START,type=reach_right
1763542106.995,NOSLOUCHED_HOLD_START,type=reach_right
1763542110.545,RECOVERY_START,type=reach_right
1763542111.495,UPRIGHT_HOLD_START,type=reach_right
