timestamp,quat_x,quat_y,quat_z,quat_w,rot_x,rot_y,rot_z,acc_x,acc_y,acc_z,grav_x,grav_y,grav_z,pitch_rad
1763542421.084272,-0.135874,0.08954,0.085375,0.982971,0.038753,0.227622,-0.336116,0.004139,-0.007942,-0.000333,0.19923,0.251831,-0.947042,-0.20057210625956745
1763542421.084321,-0.135897,0.090701,0.083032,0.983062,0.037964,0.226047,-0.349241,0.00413,-0.006908,-0.000859,0.200897,0.252129,-0.946611,-0.2022733984140009
1763542421.105485,-0.136029,0.093741,0.076107,0.983319,0.026776,0.219039,-0.384079,0.006472,-0.003123,-0.006729,0.205061,0.253251,-0.945417,-0.20652609555537643
1763542421.14119,-0.136205,0.094703,0.073416,0.983407,0.019001,0.206761,-0.397974,0.006624,-0.001683,-0.007626,0.206262,0.253985,-0.944959,-0.20775327580218325
1763542421.141529,-0.13638,0.095664,0.070725,0.983487,0.011226,0.194482,-0.41187,0.006781,-0.000248,-0.008525,0.207459,0.254725,-0.944498,-0.2089766721278308
1763542421.16868,-0.137014,0.09778,0.062983,0.983717,0.015078,0.172721,-0.454966,0.008022,-0.01014,-0.011259,0.209635,0.257249,-0.943332,-0.21120174191609284
1763542421.200941,-0.137203,0.098386,0.059821,0.983828,0.020547,0.154512,-0.464035,0.008139,-0.012828,-0.00956,0.210004,0.258198,-0.942991,-0.2115790602998278
1763542421.201226,-0.137391,0.09899,0.056659,0.983928,0.026016,0.136302,-0.473104,0.008263,-0.015518,-0.007861,0.210367,0.259149,-0.942649,-0.21195038644160388
1763542421.225667,-0.137777,0.100151,0.047855,0.984224,0.02431,0.127968,-0.490576,0.011197,-0.016077,-0.001463,0.210328,0.261621,-0.941975,-0.21191041863211074
1763542421.261109,-0.137952,0.100573,0.044711,0.984304,0.015061,0.131456,-0.493423,0.011564,-0.014582,-0.002287,0.210325,0.26258,-0.941709,-0.21190730837723845
1763542421.261355,-0.138126,0.100994,0.041566,0.984375,0.005812,0.134945,-0.496269,0.011937,-0.013087,-0.003111,0.210315,0.263539,-0.941443,-0.21189714162240902
1763542421.286105,-0.138934,0.102047,0.032584,0.984491,-0.009832,0.117863,-0.505197,0.006529,-0.01268,-0.002323,0.209983,0.266907,-0.940568,-0.21155753238281053
1763542421.319831,-0.139286,0.102354,0.029308,0.984512,-0.011782,0.114031,-0.499571,0.010024,-0.013717,0.000976,0.209702,0.268257,-0.940246,-0.2112702496086334
1763542421.320073,-0.139636,0.10266,0.026032,0.984523,-0.013733,0.110199,-0.493946,0.013528,-0.014752,0.004275,0.209413,0.269606,-0.939925,-0.2109745886153309
1763542421.347102,-0.140654,0.103629,0.017641,0.984462,-0.022228,0.127132,-0.464604,0.0155,-0.018121,0.001609,0.209,0.273281,-0.938955,-0.21055226504395308
1763542421.381021,-0.141005,0.10402,0.014768,0.984418,-0.016663,0.120527,-0.447027,0.012184,-0.021494,-0.003146,0.208963,0.274544,-0.938595,-0.21051437402882017
1763542421.38136,-0.141355,0.10441,0.011894,0.984366,-0.011097,0.113923,-0.42945,0.008876,-0.024867,-0.0079,0.208918,0.275807,-0.938235,-0.2104682911204162
1763542421.408627,-0.141766,0.105017,0.005085,0.984301,0.02495,0.060038,-0.357241,0.008922,-0.022488,-0.010615,0.208178,0.278012,-0.937748,-0.20971177006895755
1763542421.440803,-0.141714,0.105059,0.0029,0.984313,0.030585,0.044119,-0.329397,0.008425,-0.020371,-0.009132,0.207645,0.278372,-0.937759,-0.20916693737387806
1763542421.440959,-0.141661,0.105102,0.000716,0.98432,0.036219,0.0282,-0.301553,0.007929,-0.018252,-0.007648,0.20711,0.27873,-0.937771,-0.2086200425469779
1763542421.46561,-0.141284,0.104686,-0.004003,0.98441,0.036155,-0.012189,-0.234869,0.007358,-0.017632,-0.011712,0.204977,0.279,-0.93816,-0.20644012906921913
1763542421.502336,-0.141099,0.104372,-0.005299,0.984464,0.043451,-0.028163,-0.220418,0.006112,-0.016909,-0.01144,0.204005,0.27892,-0.938395,-0.20544726842312264
1763542421.502654,-0.140914,0.104057,-0.006595,0.984516,0.050747,-0.044137,-0.205968,0.004866,-0.016183,-0.011167,0.203034,0.278837,-0.938631,-0.20445536130918673
1763542421.529898,-0.140072,0.102607,-0.00974,0.984762,0.067657,-0.084936,-0.179615,0.007613,-0.008369,-0.008444,0.199357,0.277873,-0.939704,-0.20070168265931443
1763542421.568446,-0.139726,0.101963,-0.010666,0.984869,0.066113,-0.093839,-0.170884,0.006912,-0.008605,-0.008324,0.19786,0.277398,-0.94016,-0.19917437267670188
1763542421.568685,-0.13938,0.10132,-0.011593,0.984974,0.064569,-0.102741,-0.162153,0.00621,-0.008839,-0.008205,0.196364,0.27692,-0.940615,-0.19764833127248077
1763542421.591462,-0.13859,0.099083,-0.013921,0.985283,0.0488,-0.131094,-0.141749,0.004237,-0.011205,-0.005226,0.19139,0.27586,-0.941951,-0.1925780765020277
1763542421.620016,-0.138341,0.097897,-0.014761,0.985424,0.044742,-0.148211,-0.126424,0.004969,-0.011181,-0.005547,0.188856,0.27554,-0.942556,-0.1899969852891908
1763542421.620244,-0.138093,0.096711,-0.0156,0.985563,0.040683,-0.165327,-0.1111,0.005703,-0.011153,-0.005874,0.186321,0.275215,-0.943155,-0.18741622010932005
1763542421.645661,-0.137598,0.093605,-0.016895,0.98591,0.029359,-0.176086,-0.082446,0.00871,-0.009199,0.00096,0.179922,0.274482,-0.94461,-0.18090712497366976
1763542421.682066,-0.137472,0.092542,-0.017205,0.986023,0.024843,-0.176493,-0.07442,0.007326,-0.009463,0.000997,0.177766,0.274285,-0.945075,-0.1787158473319741
1763542421.682321,-0.137345,0.091479,-0.017516,0.986134,0.020328,-0.176901,-0.066394,0.005942,-0.009725,0.00103,0.17561,0.274086,-0.945536,-0.17652533325413688
1763542421.719201,-0.137216,0.088748,-0.017976,0.986394,0.003842,-0.171512,-0.047263,0.007438,-0.010902,0.004736,0.170148,0.273888,-0.946591,-0.17097990036463245
1763542421.719515,-0.137206,0.087866,-0.018083,0.986472,-7.6e-05,-0.161838,-0.03809,0.00602,-0.011768,0.004618,0.168392,0.273878,-0.946908,-0.16919816469364682
1763542421.741824,-0.137279,0.086525,-0.018136,0.986579,-0.011011,-0.16299,-0.025255,0.002826,-0.011724,0.001734,0.165749,0.274012,-0.947336,-0.16651740084442157
1763542421.766706,-0.137435,0.085266,-0.018073,0.986668,-0.021891,-0.160482,-0.014477,0.003104,-0.00906,0.003272,0.163291,0.274288,-0.947682,-0.164025591904373
1763542421.799978,-0.137965,0.08275,-0.017675,0.986816,-0.043127,-0.145058,0.008245,0.00257,-0.004875,0.005539,0.158442,0.275217,-0.948236,-0.15911253844808526
1763542421.800214,-0.138215,0.081973,-0.017449,0.98685,-0.048445,-0.133565,0.014441,0.002293,-0.0032,0.007199,0.156967,0.275656,-0.948354,-0.1576188146000983
1763542421.826345,-0.13856,0.081126,-0.017149,0.986877,-0.051085,-0.119371,0.020407,0.001869,-0.003616,0.00795,0.15537,0.276265,-0.94844,-0.15600194189316327
1763542421.862912,-0.139377,0.079554,-0.016374,0.986903,-0.059315,-0.094955,0.033058,-0.002852,-0.002218,0.003813,0.15246,0.277708,-0.948491,-0.15305682190582273
1763542421.863157,-0.139688,0.079096,-0.016103,0.9869,-0.066634,-0.090179,0.033173,-0.005276,-0.002624,0.002278,0.151621,0.278263,-0.948462,-0.15220807411735773
1763542421.88734,-0.140176,0.078473,-0.015685,0.986887,-0.06841,-0.090178,0.037768,-0.004617,-0.002318,0.001754,0.15049,0.279137,-0.948386,-0.15106384470479026
1763542421.919578,-0.141235,0.077186,-0.014718,0.986853,-0.064633,-0.083316,0.039795,-0.001857,0.003193,0.000993,0.148186,0.281029,-0.94819,-0.14873371871597346
1763542421.91986,-0.141589,0.076732,-0.014375,0.986842,-0.056786,-0.075242,0.032953,-0.000428,0.009111,0.005713,0.147374,0.281659,-0.948129,-0.14791279211096175
1763542421.946448,-0.141909,0.076263,-0.014125,0.986836,-0.044336,-0.065634,0.019778,-0.000266,0.00978,0.006246,0.146509,0.282237,-0.948091,-0.14703832407799583
1763542421.981609,-0.142452,0.075279,-0.013911,0.986837,-0.02662,-0.054791,-0.018783,-0.002224,0.012432,0.00182,0.144613,0.283249,-0.948081,-0.1451218136531875
1763542421.981854,-0.142608,0.074948,-0.013979,0.986839,-0.027556,-0.056754,-0.02813,-0.001678,0.014278,0.001644,0.143936,0.283557,-0.948092,-0.1444376496622433
