t_sec,event,value
1763624001.758,UPRIGHT_HOLD_START,type=normal_slouch
1763624007.487,SLOUCH_START,type=normal_slouch
1763624008.437,SLOUCHED_HOLD_START,type=normal_slouch
1763624011.987,RECOVERY_START,type=normal_slouch
1763624012.937,UPRIGHT_HOLD_START,type=normal_slouch
1763624021.258,SLOUCH_START,type=fast_slouch
1763624022.208,SLOUCHED_HOLD_START,type=fast_slouch
1763624025.758,RECOVERY_START,type=fast_slouch
1763624026.708,UPRIGHT_HOLD_START,type=fast_slouch
1763624036.758,SLOUCH_START,type=micro_slouch
1763624037.708,SLOUCHED_HOLD_START,type=micro_slouch
1763624041.258,RECOVERY_START,type=micro_slouch
1763624042.208,UPRIGHT_HOLD_START,type=micro_slouch
1763624051.654,NOSLOUCH_START,type=lateral_left
1763624052.604,NOSLOUCHED_HOLD_START,type=lateral_left
1763624056.154,RECOVERY_START,type=lateral_left
1763624057.104,UPRIGHT_HOLD_START,type=lateral_left
1763624067.681,NOSLOUCH_START,type=lateral_right
1763624068.631,NOSLOUCHED_HOLD_START,type=lateral_right
1763624072.181,RECOVERY_START,type=lateral_right
1763624073.131,UPRIGHT_HOLD_START,type=lateral_right
1763624082.561,SLOUCH_START,type=neck_only
1763624083.511,SLOUCHED_HOLD_START,type=neck_only
1763624087.061,RECOVERY_START,type=neck_only
1763624088.011,UPRIGHT_HOLD_START,type=neck_only
1763624097.992,NOSLOUCH_START,type=reach_left
1763624098.942,NOSLOUCHED_HOLD_START,type=reach_left
1763624102.492,RECOVERY_START,type=reach_left
1763624103.442,UPRIGHT_HOLD_START,type=reach_left
1763624111.382,NOSLOUCH_START,type=reach_right
1763624112.332,NOSLOUCHED_HOLD_START,type=reach_right
1763624115.882,RECOVERY_START,type=reach_right
1763624116.832,UPRIGHT_HOLD_START,type=reach_right
1763624127.052,SLOUCH_START,type=normal_slouch
1763624128.002,SLOUCHED_HOLD_START,type=normal_slouch
1763624131.552,RECOVERY_START,type=normal_slouch
1763624132.502,UPRIGHT_HOLD_START,type=normal_slouch
1763624141.268,SLOUCH_START,type=fast_slouch
1763624142.218,SLOUCHED_HOLD_START,type=fast_slouch
1763624145.768,RECOVERY_START,type=fast_slouch
1763624146.718,UPRIGHT_HOLD_START,type=fast_slouch
1763624156.645,SLOUCH_START,type=micro_slouch
1763624157.595,SLOUCHED_HOLD_START,type=micro_slouch
1763624161.145,RECOVERY_START,type=micro_slouch
1763624162.095,UPRIGHT_HOLD_START,type=micro_slouch
1763624172.219,NOSLOUCH_START,type=lateral_left
1763624173.169,NOSLOUCHED_HOLD_START,type=lateral_left
1763624176.719,RECOVERY_START,type=lateral_left
1763624177.669,UPRIGHT_HOLD_START,type=lateral_left
1763624186.261,NOSLOUCH_START,type=lateral_right
1763624187.211,NOSLOUCHED_HOLD_START,type=lateral_right
1763624190.761,RECOVERY_START,type=lateral_right
1763624191.711,UPRIGHT_HOLD_START,type=lateral_right
1763624201.606,SLOUCH_START,type=neck_only
1763624202.556,SLOUCHED_HOLD_START,type=neck_only
1763624206.106,RECOVERY_START,type=neck_only
1763624207.056,UPRIGHT_HOLD_START,type=neck_only
1763624217.508,NOSLOUCH_START,type=reach_left
1763624218.458,NOSLOUCHED_HOLD_START,type=reach_left
1763624222.008,RECOVERY_START,type=reach_left
1763624222.958,UPRIGHT_HOLD_START,type=reach_left
1763624232.298,NOSLOUCH_START,type=reach_right
1763624233.248,NOSLOUCHED_HOLD_START,type=reach_right
1763624236.798,RECOVERY_START,type=reach_right
1763624237.748,UPRIGHT_HOLD_START,type=reach_right
1763624246.649,SLOUCH_START,type=normal_slouch
1763624247.599,SLOUCHED_HOLD_START,type=normal_slouch
1763624251.149,RECOVERY_START,type=normal_slouch
1763624252.099,UPRIGHT_HOLD_START,type=normal_slouch
1763624262.387,SLOUCH_START,type=fast_slouch
1763624263.337,SLOUCHED_HOLD_START,type=fast_slouch
1763624266.887,RECOVERY_START,type=fast_slouch
1763624267.837,UPRIGHT_HOLD_START,type=fast_slouch
1763624277.827,SLOUCH_START,type=micro_slouch
1763624278.777,SLOUCHED_HOLD_START,type=micro_slouch
1763624282.327,RECOVERY_START,type=micro_slouch
1763624283.277,UPRIGHT_HOLD_START,type=micro_slouch
1763624291.221,NOSLOUCH_START,type=lateral_left
1763624292.171,NOSLOUCHED_HOLD_START,type=lateral_left
1763624295.721,RECOVERY_START,type=lateral_left
1763624296.671,UPRIGHT_HOLD_START,type=lateral_left
1763624307.820,NOSLOUCH_START,type=lateral_right
1763624308.770,NOSLOUCHED_HOLD_START,type=lateral_right
1763624312.320,RECOVERY_START,type=lateral_right
1763624313.270,UPRIGHT_HOLD_START,type=lateral_right
1763624322.604,SLOUCH_START,type=neck_only
1763624323.554,SLOUCHED_HOLD_START,type=neck_only
1763624327.104,RECOVERY_START,type=neck_only
1763624328.054,UPRIGHT_HOLD_START,type=neck_only
1763624336.889,NOSLOUCH_START,type=reach_left
1763624337.839,NOSLOUCHED_HOLD_START,type=reach_left
1763624341.389,RECOVERY_START,type=reach_left
1763624342.339,UPRIGHT_HOLD_START,type=reach_left
1763624351.519,NOSLOUCH_START,type=reach_right
1763624352.469,NOSLOUCHED_HOLD_START,type=reach_right
1763624356.019,RECOVERY_START,type=reach_right
1763624356.969,UPRIGHT_HOLD_START,type=reach_right
