t_beep,event,type,onset_event,onset_time,hold_event,hold_time
1763624560.336878,BEEP_SLOUCH,normal_slouch,SLOUCH_START,1763624560.286878,SLOUCHED_HOLD_START,1763624561.236878
1763624564.836878,BEEP_RECOVER,normal_slouch,RECOVERY_START,1763624564.786878,UPRIGHT_HOLD_START,1763624565.736878
1763624574.107878,BEEP_SLOUCH,fast_slouch,SLOUCH_START,1763624574.057878,SLOUCHED_HOLD_START,1763624575.007878
1763624578.607878,BEEP_RECOVER,fast_slouch,RECOVERY_START,1763624578.557878,UPRIGHT_HOLD_START,1763624579.507878
1763624589.607878,BEEP_SLOUCH,micro_slouch,SLOUCH_START,1763624589.557878,SLOUCHED_HOLD_START,1763624590.507878
1763624594.107878,BEEP_RECOVER,micro_slouch,RECOVERY_START,1763624594.057878,UPRIGHT_HOLD_START,1763624595.007878
1763624604.503878,BEEP_SLOUCH,lateral_left,NOSLOUCH_START,1763624604.453878,NOSLOUCHED_HOLD_START,1763624605.403878
1763624609.003878,BEEP_RECOVER,lateral_left,RECOVERY_START,1763624608.953878,UPRIGHT_HOLD_START,1763624609.903878
1763624620.530878,BEEP_SLOUCH,lateral_right,NOSLOUCH_START,1763624620.480878,NOSLOUCHED_HOLD_START,1763624621.430878
1763624625.030878,BEEP_RECOVER,lateral_right,RECOVERY_START,1763624624.980878,UPRIGHT_HOLD_START,1763624625.930878
1763624635.410878,BEEP_SLOUCH,neck_only,SLOUCH_START,1763624635.360878,SLOUCHED_HOLD_START,1763624636.310878
1763624639.910878,BEEP_RECOVER,neck_only,RECOVERY_START,1763624639.860878,UPRIGHT_HOLD_START,1763624640.810878
1763624650.841878,BEEP_SLOUCH,reach_left,NOSLOUCH_START,1763624650.791878,NOSLOUCHED_HOLD_START,1763624651.741878
1763624655.341878,BEEP_RECOVER,reach_left,RECOVERY_START,1763624655.291878,UPRIGHT_HOLD_START,1763624656.241878
1763624664.231878,BEEP_SLOUCH,reach_right,NOSLOUCH_START,1763624664.181878,NOSLOUCHED_HOLD_START,1763624665.131878
1763624668.731878,BEEP_RECOVER,reach_right,RECOVERY_START,1763624668.681878,UPRIGHT_HOLD_START,1763624669.631878
1763624679.901878,BEEP_SLOUCH,normal_slouch,SLOUCH_START,1763624679.851878,SLOUCHED_HOLD_START,1763624680.801878
1763624684.401878,BEEP_RECOVER,normal_slouch,RECOVERY_START,1763624684.351878,UPRIGHT_HOLD_START,1763624685.301878
