t_beep,event,type,onset_event,onset_time,hold_event,hold_time
1763729261.566486,BEEP_SLOUCH,normal_slouch,SLOUCH_START,1763729261.516486,SLOUCHED_HOLD_START,1763729262.466486
1763729266.066486,BEEP_RECOVER,normal_slouch,RECOVERY_START,1763729266.016486,UPRIGHT_HOLD_START,1763729266.966486
1763729275.337486,BEEP_SLOUCH,fast_slouch,SLOUCH_START,1763729275.287486,SLOUCHED_HOLD_START,1763729276.237486
1763729279.837486,BEEP_RECOVER,fast_slouch,RECOVERY_START,1763729279.787486,UPRIGHT_HOLD_START,1763729280.737486
1763729290.837486,BEEP_SLOUCH,micro_slouch,SLOUCH_START,1763729290.787486,SLOUCHED_HOLD_START,1763729291.737486
1763729295.337486,BEEP_RECOVER,micro_slouch,RECOVERY_START,1763729295.287486,UPRIGHT_HOLD_START,1763729296.237486
1763729305.733486,BEEP_SLOUCH,lateral_left,NOSLOUCH_START,1763729305.683486,NOSLOUCHED_HOLD_START,1763729306.633486
1763729310.233486,BEEP_RECOVER,lateral_left,RECOVERY_START,1763729310.183486,UPRIGHT_HOLD_START,1763729311.133486
1763729321.760486,BEEP_SLOUCH,lateral_right,NOSLOUCH_START,1763729321.710486,NOSLOUCHED_HOLD_START,1763729322.660486
1763729326.260486,BEEP_RECOVER,lateral_right,RECOVERY_START,1763729326.210486,UPRIGHT_HOLD_START,1763729327.160486
1763729336.640486,BEEP_SLOUCH,neck_only,SLOUCH_START,1763729336.590486,SLOUCHED_HOLD_START,1763729337.540486
1763729341.140486,BEEP_RECOVER,neck_only,RECOVERY_START,1763729341.090486,UPRIGHT_HOLD_START,1763729342.040486
1763729352.071486,BEEP_SLOUCH,reach_left,NOSLOUCH_START,1763729352.021486,NOSLOUCHED_HOLD_START,1763729352.971486
1763729356.571486,BEEP_RECOVER,reach_left,RECOVERY_START,1763729356.521486,UPRIGHT_HOLD_START,1763729357.471486
1763729365.461486,BEEP_SLOUCH,reach_right,NOSLOUCH_START,1763729365.411486,NOSLOUCHED_HOLD_START,1763729366.361486
1763729369.961486,BEEP_RECOVER,reach_right,RECOVERY_START,1763729369.911486,UPRIGHT_HOLD_START,1763729370.861486
1763729381.131486,BEEP_SLOUCH,normal_slouch,SLOUCH_START,1763729381.081486,SLOUCHED_HOLD_START,1763729382.031486
1763729385.631486,BEEP_RECOVER,normal_slouch,RECOVERY_START,1763729385.581486,UPRIGHT_HOLD_START,1763729386.531486
1763729395.347486,BEEP_SLOUCH,fast_slouch,SLOUCH_START,1763729395.297486,SLOUCHED_HOLD_START,1763729396.247486
1763729399.847486,BEEP_RECOVER,fast_slouch,RECOVERY_START,1763729399.797486,UPRIGHT_HOLD_START,1763729400.747486
1763729410.724486,BEEP_SLOUCH,micro_slouch,SLOUCH_START,1763729410.674486,SLOUCHED_HOLD_START,1763729411.624486
1763729415.224486,BEEP_RECOVER,micro_slouch,RECOVERY_START,1763729415.174486,UPRIGHT_HOLD_START,1763729416.124486
1763729426.298486,BEEP_SLOUCH,lateral_left,NOSLOUCH_START,1763729426.248486,NOSLOUCHED_HOLD_START,1763729427.198486
1763729430.798486,BEEP_RECOVER,lateral_left,RECOVERY_START,1763729430.748486,UPRIGHT_HOLD_START,1763729431.698486
1763729440.340486,BEEP_SLOUCH,lateral_right,NOSLOUCH_START,1763729440.290486,NOSLOUCHED_HOLD_START,1763729441.240486
1763729444.840486,BEEP_RECOVER,lateral_right,RECOVERY_START,1763729444.790486,UPRIGHT_HOLD_START,1763729445.740486
1763729455.685486,BEEP_SLOUCH,neck_only,SLOUCH_START,1763729455.635486,SLOUCHED_HOLD_START,1763729456.585486
1763729460.185486,BEEP_RECOVER,neck_only,RECOVERY_START,1763729460.135486,UPRIGHT_HOLD_START,1763729461.085486
1763729471.587486,BEEP_SLOUCH,reach_left,NOSLOUCH_START,1763729471.537486,NOSLOUCHED_HOLD_START,1763729472.487486
1763729476.087486,BEEP_RECOVER,reach_left,RECOVERY_START,1763729476.037486,UPRIGHT_HOLD_START,1763729476.987486
1763729486.377486,BEEP_SLOUCH,reach_right,NOSLOUCH_START,1763729486.327486,NOSLOUCHED_HOLD_START,1763729487.277486
1763729490.877486,BEEP_RECOVER,reach_right,RECOVERY_START,1763729490.827486,UPRIGHT_HOLD_START,1763729491.777486
1763729500.728486,BEEP_SLOUCH,normal_slouch,SLOUCH_START,1763729500.678486,SLOUCHED_HOLD_START,1763729501.628486
1763729505.228486,BEEP_RECOVER,normal_slouch,RECOVERY_START,1763729505.178486,UPRIGHT_HOLD_START,1763729506.128486
