t_sec,event,value
1763729255.787,UPRIGHT_HOLD_START,type=normal_slouch
1763729261.516,SLOUCH_START,type=normal_slouch
1763729262.466,SLOUCHED_HOLD_START,type=normal_slouch
1763729266.016,RECOVERY_START,type=normal_slouch
1763729266.966,UPRIGHT_HOLD_START,type=normal_slouch
1763729275.287,SLOUCH_START,type=fast_slouch
1763729276.237,SLOUCHED_HOLD_START,type=fast_slouch
1763729279.787,RECOVERY_START,type=fast_slouch
1763729280.737,UPRIGHT_HOLD_START,type=fast_slouch
1763729290.787,SLOUCH_START,type=micro_slouch
1763729291.737,SLOUCHED_HOLD_START,type=micro_slouch
1763729295.287,RECOVERY_START,type=micro_slouch
1763729296.237,UPRIGHT_HOLD_START,type=micro_slouch
1763729305.683,NOSLOUCH_START,type=lateral_left
1763729306.633,NOSLOUCHED_HOLD_START,type=lateral_left
1763729310.183,RECOVERY_START,type=lateral_left
1763729311.133,UPRIGHT_HOLD_START,type=lateral_left
1763729321.710,NOSLOUCH_START,type=lateral_right
1763729322.660,NOSLOUCHED_HOLD_START,type=lateral_right
1763729326.210,RECOVERY_START,type=lateral_right
1763729327.160,UPRIGHT_HOLD_START,type=lateral_right
1763729336.590,SLOUCH_START,type=neck_only
1763729337.540,SLOUCHED_HOLD_START,type=neck_only
1763729341.090,RECOVERY_START,type=neck_only
1763729342.040,UPRIGHT_HOLD_START,type=neck_only
1763729352.021,NOSLOUCH_START,type=reach_left
1763729352.971,NOSLOUCHED_HOLD_START,type=reach_left
1763729356.521,RECOVERY_START,type=reach_left
1763729357.471,UPRIGHT_HOLD_START,type=reach_left
1763729365.411,NOSLOUCH_START,type=reach_right
1763729366.361,NOSLOUCHED_HOLD_START,type=reach_right
1763729369.911,RECOVERY_START,type=reach_right
1763729370.861,UPRIGHT_HOLD_START,type=reach_right
1763729381.081,SLOUCH_START,type=normal_slouch
1763729382.031,SLOUCHED_HOLD_START,type=normal_slouch
1763729385.581,RECOVERY_START,type=normal_slouch
1763729386.531,UPRIGHT_HOLD_START,type=normal_slouch
1763729395.297,SLOUCH_START,type=fast_slouch
1763729396.247,SLOUCHED_HOLD_START,type=fast_slouch
1763729399.797,RECOVERY_START,type=fast_slouch
1763729400.747,UPRIGHT_HOLD_START,type=fast_slouch
1763729410.674,SLOUCH_START,type=micro_slouch
1763729411.624,SLOUCHED_HOLD_START,type=micro_slouch
1763729415.174,RECOVERY_START,type=micro_slouch
1763729416.124,UPRIGHT_HOLD_START,type=micro_slouch
1763729426.248,NOSLOUCH_START,type=lateral_left
1763729427.198,NOSLOUCHED_HOLD_START,type=lateral_left
1763729430.748,RECOVERY_START,type=lateral_left
1763729431.698,UPRIGHT_HOLD_START,type=lateral_left
1763729440.290,NOSLOUCH_START,type=lateral_right
1763729441.240,NOSLOUCHED_HOLD_START,type=lateral_right
1763729444.790,RECOVERY_START,type=lateral_right
1763729445.740,UPRIGHT_HOLD_START,type=lateral_right
1763729455.635,SLOUCH_START,type=neck_only
1763729456.585,SLOUCHED_HOLD_START,type=neck_only
1763729460.135,RECOVERY_START,type=neck_only
1763729461.085,UPRIGHT_HOLD_START,type=neck_only
1763729471.537,NOSLOUCH_START,type=reach_left
1763729472.487,NOSLOUCHED_HOLD_START,type=reach_left
1763729476.037,RECOVERY_START,type=reach_left
1763729476.987,UPRIGHT_HOLD_START,type=reach_left
1763729486.327,NOSLOUCH_START,type=reach_right
1763729487.277,NOSLOUCHED_HOLD_START,type=reach_right
1763729490.827,RECOVERY_START,type=reach_right
1763729491.777,UPRIGHT_HOLD_START,type=reach_right
1763729500.678,SLOUCH_START,type=normal_slouch
1763729501.628,SLOUCHED_HOLD_START,type=normal_slouch
1763729505.178,RECOVERY_START,type=normal_slouch
1763729506.128,UPRIGHT_HOLD_START,type=normal_slouch
1763729516.416,SLOUCH_START,type=fast_slouch
1763729517.366,SLOUCHED_HOLD_START,type=fast_slouch
1763729520.916,RECOVERY_START,type=fast_slouch
1763729521.866,UPRIGHT_HOLD_START,type=fast_slouch
1763729531.856,SLOUCH_START,type=micro_slouch
1763729532.806,SLOUCHED_HOLD_START,type=micro_slouch
1763729536.356,RECOVERY_START,type=micro_slouch
1763729537.306,UPRIGHT_HOLD_START,type=micro_slouch
1763729545.250,NOSLOUCH_START,type=lateral_left
1763729546.200,NOSLOUCHED_HOLD_START,type=lateral_left
1763729549.750,RECOVERY_START,type=lateral_left
1763729550.700,UPRIGHT_HOLD_START,type=lateral_left
1763729561.849,NOSLOUCH_START,type=lateral_right
1763729562.799,NOSLOUCHED_HOLD_START,type=lateral_right
1763729566.349,RECOVERY_START,type=lateral_right
1763729567.299,UPRIGHT_HOLD_START,type=lateral_right
1763729576.633,SLOUCH_START,type=neck_only
1763729577.583,SLOUCHED_HOLD_START,type=neck_only
1763729581.133,RECOVERY_START,type=neck_only
1763729582.083,UPRIGHT_HOLD_START,type=neck_only
1763729590.918,NOSLOUCH_START,type=reach_left
1763729591.868,NOSLOUCHED_HOLD_START,type=reach_left
1763729595.418,RECOVERY_START,type=reach_left
1763729596.368,UPRIGHT_HOLD_START,type=reach_left
1763729605.548,NOSLOUCH_START,type=reach_right
1763729606.498,NOSLOUCHED_HOLD_START,type=reach_right
1763729610.048,RECOVERY_START,type=reach_right
1763729610.998,UPRIGHT_HOLD_START,type=reach_right
