t_beep,event,type,onset_event,onset_time,hold_event,hold_time
1763483079.517774,BEEP_SLOUCH,normal_slouch,SLOUCH_START,1763483079.467774,SLOUCHED_HOLD_START,1763483080.417774
1763483084.017774,BEEP_RECOVER,normal_slouch,RECOVERY_START,1763483083.967774,UPRIGHT_HOLD_START,1763483084.917774
1763483093.288774,BEEP_SLOUCH,fast_slouch,SLOUCH_START,1763483093.238774,SLOUCHED_HOLD_START,1763483094.188774
1763483097.788774,BEEP_RECOVER,fast_slouch,RECOVERY_START,1763483097.738774,UPRIGHT_HOLD_START,1763483098.688774
1763483108.788774,BEEP_SLOUCH,micro_slouch,SLOUCH_START,1763483108.738774,SLOUCHED_HOLD_START,1763483109.688774
1763483113.288774,BEEP_RECOVER,micro_slouch,RECOVERY_START,1763483113.238774,UPRIGHT_HOLD_START,1763483114.188774
1763483123.684774,BEEP_SLOUCH,lateral_left,NOSLOUCH_START,1763483123.634774,NOSLOUCHED_HOLD_START,1763483124.584774
1763483128.184774,BEEP_RECOVER,lateral_left,RECOVERY_START,1763483128.134774,UPRIGHT_HOLD_START,1763483129.084774
1763483139.711774,BEEP_SLOUCH,lateral_right,NOSLOUCH_START,1763483139.661774,NOSLOUCHED_HOLD_START,1763483140.611774
1763483144.211774,BEEP_RECOVER,lateral_right,RECOVERY_START,1763483144.161774,UPRIGHT_HOLD_START,1763483145.111774
1763483154.591774,BEEP_SLOUCH,neck_only,SLOUCH_START,1763483154.541774,SLOUCHED_HOLD_START,1763483155.491774
1763483159.091774,BEEP_RECOVER,neck_only,RECOVERY_START,1763483159.041774,UPRIGHT_HOLD_START,1763483159.991774
1763483170.022774,BEEP_SLOUCH,reach_left,NOSLOUCH_START,1763483169.972774,NOSLOUCHED_HOLD_START,1763483170.922774
1763483174.522774,BEEP_RECOVER,reach_left,RECOVERY_START,1763483174.472774,UPRIGHT_HOLD_START,1763483175.422774
1763483183.412774,BEEP_SLOUCH,reach_right,NOSLOUCH_START,1763483183.362774,NOSLOUCHED_HOLD_START,1763483184.312774
1763483187.912774,BEEP_RECOVER,reach_right,RECOVERY_START,1763483187.862774,UPRIGHT_HOLD_START,1763483188.812774
1763483199.082774,BEEP_SLOUCH,normal_slouch,SLOUCH_START,1763483199.032774,SLOUCHED_HOLD_START,1763483199.982774
1763483203.582774,BEEP_RECOVER,normal_slouch,RECOVERY_START,1763483203.532774,UPRIGHT_HOLD_START,1763483204.482774
1763483213.298774,BEEP_SLOUCH,fast_slouch,SLOUCH_START,1763483213.248774,SLOUCHED_HOLD_START,1763483214.198774
1763483217.798774,BEEP_RECOVER,fast_slouch,RECOVERY_START,1763483217.748774,UPRIGHT_HOLD_START,1763483218.698774
1763483228.675774,BEEP_SLOUCH,micro_slouch,SLOUCH_START,1763483228.625774,SLOUCHED_HOLD_START,1763483229.575774
1763483233.175774,BEEP_RECOVER,micro_slouch,RECOVERY_START,1763483233.125774,UPRIGHT_HOLD_START,1763483234.075774
