t_sec,event,value
1763483781.102,UPRIGHT_HOLD_START,type=normal_slouch
1763483786.831,SLOUCH_START,type=normal_slouch
1763483787.781,SLOUCHED_HOLD_START,type=normal_slouch
1763483791.331,RECOVERY_START,type=normal_slouch
1763483792.281,UPRIGHT_HOLD_START,type=normal_slouch
1763483800.602,SLOUCH_START,type=fast_slouch
1763483801.552,SLOUCHED_HOLD_START,type=fast_slouch
1763483805.102,RECOVERY_START,type=fast_slouch
1763483806.052,UPRIGHT_HOLD_START,type=fast_slouch
1763483816.102,SLOUCH_START,type=micro_slouch
1763483817.052,SLOUCHED_HOLD_START,type=micro_slouch
1763483820.602,RECOVERY_START,type=micro_slouch
1763483821.552,UPRIGHT_HOLD_START,type=micro_slouch
1763483830.998,NOSLOUCH_START,type=lateral_left
1763483831.948,NOSLOUCHED_HOLD_START,type=lateral_left
1763483835.498,RECOVERY_START,type=lateral_left
1763483836.448,UPRIGHT_HOLD_START,type=lateral_left
1763483847.025,NOSLOUCH_START,type=lateral_right
1763483847.975,NOSLOUCHED_HOLD_START,type=lateral_right
1763483851.525,RECOVERY_START,type=lateral_right
1763483852.475,UPRIGHT_HOLD_START,type=lateral_right
1763483861.905,SLOUCH_START,type=neck_only
1763483862.855,SLOUCHED_HOLD_START,type=neck_only
1763483866.405,RECOVERY_START,type=neck_only
1763483867.355,UPRIGHT_HOLD_START,type=neck_only
1763483877.336,NOSLOUCH_START,type=reach_left
1763483878.286,NOSLOUCHED_HOLD_START,type=reach_left
1763483881.836,RECOVERY_START,type=reach_left
1763483882.786,UPRIGHT_HOLD_START,type=reach_left
1763483890.726,NOSLOUCH_START,type=reach_right
1763483891.676,NOSLOUCHED_HOLD_START,type=reach_right
1763483895.226,RECOVERY_START,type=reach_right
1763483896.176,UPRIGHT_HOLD_START,type=reach_right
1763483906.396,SLOUCH_START,type=normal_slouch
1763483907.346,SLOUCHED_HOLD_START,type=normal_slouch
1763483910.896,RECOVERY_START,type=normal_slouch
1763483911.846,UPRIGHT_HOLD_START,type=normal_slouch
1763483920.612,SLOUCH_START,type=fast_slouch
1763483921.562,SLOUCHED_HOLD_START,type=fast_slouch
1763483925.112,RECOVERY_START,type=fast_slouch
1763483926.062,UPRIGHT_HOLD_START,type=fast_slouch
1763483935.989,SLOUCH_START,type=micro_slouch
1763483936.939,SLOUCHED_HOLD_START,type=micro_slouch
1763483940.489,RECOVERY_START,type=micro_slouch
1763483941.439,UPRIGHT_HOLD_START,type=micro_slouch
1763483951.563,NOSLOUCH_START,type=lateral_left
1763483952.513,NOSLOUCHED_HOLD_START,type=lateral_left
1763483956.063,RECOVERY_START,type=lateral_left
1763483957.013,UPRIGHT_HOLD_START,type=lateral_left
1763483965.605,NOSLOUCH_START,type=lateral_right
1763483966.555,NOSLOUCHED_HOLD_START,type=lateral_right
1763483970.105,RECOVERY_START,type=lateral_right
1763483971.055,UPRIGHT_HOLD_START,type=lateral_right
1763483980.950,SLOUCH_START,type=neck_only
1763483981.900,SLOUCHED_HOLD_START,type=neck_only
1763483985.450,RECOVERY_START,type=neck_only
1763483986.400,UPRIGHT_HOLD_START,type=neck_only
1763483996.852,NOSLOUCH_START,type=reach_left
1763483997.802,NOSLOUCHED_HOLD_START,type=reach_left
1763484001.352,RECOVERY_START,type=reach_left
1763484002.302,UPRIGHT_HOLD_START,type=reach_left
1763484011.642,NOSLOUCH_START,type=reach_right
1763484012.592,NOSLOUCHED_HOLD_START,type=reach_right
1763484016.142,RECOVERY_START,type=reach_right
1763484017.092,UPRIGHT_HOLD_START,type=reach_right
1763484025.993,SLOUCH_START,type=normal_slouch
1763484026.943,SLOUCHED_HOLD_START,type=normal_slouch
1763484030.493,RECOVERY_START,type=normal_slouch
1763484031.443,UPRIGHT_HOLD_START,type=normal_slouch
1763484041.731,SLOUCH_START,type=fast_slouch
1763484042.681,SLOUCHED_HOLD_START,type=fast_slouch
1763484046.231,RECOVERY_START,type=fast_slouch
1763484047.181,UPRIGHT_HOLD_START,type=fast_slouch
1763484057.171,SLOUCH_START,type=micro_slouch
1763484058.121,SLOUCHED_HOLD_START,type=micro_slouch
1763484061.671,RECOVERY_START,type=micro_slouch
1763484062.621,UPRIGHT_HOLD_START,type=micro_slouch
1763484070.565,NOSLOUCH_START,type=lateral_left
1763484071.515,NOSLOUCHED_HOLD_START,type=lateral_left
1763484075.065,RECOVERY_START,type=lateral_left
1763484076.015,UPRIGHT_HOLD_START,type=lateral_left
1763484087.164,NOSLOUCH_START,type=lateral_right
1763484088.114,NOSLOUCHED_HOLD_START,type=lateral_right
1763484091.664,RECOVERY_START,type=lateral_right
1763484092.614,UPRIGHT_HOLD_START,type=lateral_right
1763484101.948,SLOUCH_START,type=neck_only
1763484102.898,SLOUCHED_HOLD_START,type=neck_only
1763484106.448,RECOVERY_START,type=neck_only
1763484107.398,UPRIGHT_HOLD_START,type=neck_only
1763484116.233,NOSLOUCH_START,type=reach_left
1763484117.183,NOSLOUCHED_HOLD_START,type=reach_left
1763484120.733,RECOVERY_START,type=reach_left
1763484121.683,UPRIGHT_HOLD_START,type=reach_left
1763484130.863,NOSLOUCH_START,type=reach_right
1763484131.813,NOSLOUCHED_HOLD_START,type=reach_right
1763484135.363,RECOVERY_START,type=reach_right
1763484136.313,UPRIGHT_HOLD_START,type=reach_right
