quat_x,quat_y,quat_z,quat_w,rot_x,rot_y,rot_z,acc_x,acc_y,acc_z,grav_x,grav_y,grav_z
-0.015814,0.4523,-0.0,0.891726,-0.034881,0.004367,-0.006959,-0.715159,0.124021,-0.393085,0.806655,0.028203,-0.59035
-0.056968,0.138583,-0.140746,0.978642,-0.022576,0.003767,-0.001675,-0.16393,0.000161,-0.029779,0.255211,0.150512,-0.955099
-0.063056,0.086151,-0.161858,0.981022,-0.013674,0.0042,-0.000708,-0.057379,-0.000969,-0.007871,0.148619,0.151607,-0.977204
-0.064647,0.072164,-0.167373,0.981122,-0.007738,0.005293,0.004926,-0.031304,0.001232,-0.003679,0.119963,0.151009,-0.981226
-0.066222,0.058161,-0.17285,0.980997,-0.001802,0.006387,0.010559,-0.00514,0.003809,-0.000273,0.091219,0.150034,-0.984464
-0.066897,0.058173,-0.172427,0.981025,0.020955,-0.031896,0.03611,-0.013369,-0.003094,0.001093,0.09107,0.151316,-0.984281
-0.066737,0.057928,-0.172147,0.981099,0.026057,-0.028375,0.04356,-0.011066,-0.003346,-0.004682,0.090689,0.150895,-0.984381
-0.066825,0.057277,-0.171405,0.981262,0.018528,0.007572,0.055305,-0.00225,-0.002946,-0.011902,0.089499,0.15078,-0.984508
-0.066991,0.05673,-0.17113,0.98133,0.002022,0.027948,0.044107,-0.001618,-0.003107,-0.010944,0.088412,0.150896,-0.984588
-0.067067,0.056356,-0.170949,0.981378,-0.01975,0.039844,0.03432,-0.00133,-0.002464,-0.007229,0.087683,0.150903,-0.984652
-0.067198,0.055925,-0.170817,0.981417,-0.044866,0.030098,-0.013296,-0.00212,-0.002207,0.001593,0.086814,0.151004,-0.984714
-0.067281,0.055941,-0.17101,0.981376,-0.046064,0.026228,-0.026918,0.000276,0.003354,0.002819,0.086786,0.151188,-0.984688
-0.067366,0.056001,-0.17122,0.981331,-0.043898,0.023075,-0.031027,0.002011,0.007832,0.00245,0.086842,0.151393,-0.984652
-0.067451,0.056061,-0.171431,0.981285,-0.041733,0.019922,-0.035136,0.003746,0.01231,0.002081,0.086897,0.151598,-0.984615
-0.06781,0.056265,-0.171856,0.981174,-0.041516,0.017562,-0.015742,0.005998,0.017087,0.005827,0.087103,0.152406,-0.984472
-0.068115,0.056384,-0.17194,0.981131,-0.044704,0.01538,-0.013327,0.00748,0.016155,0.003617,0.087217,0.153049,-0.984362
-0.06842,0.056503,-0.172024,0.981088,-0.047892,0.013198,-0.010912,0.008963,0.015223,0.001406,0.08733,0.153692,-0.984252
-0.069742,0.057222,-0.17209,0.980942,-0.042819,0.008309,-0.009577,0.006522,0.005288,0.005806,0.08826,0.15652,-0.983723
-0.070264,0.057423,-0.172168,0.980879,-0.031735,-0.000429,-0.013881,0.008069,0.004313,0.002486,0.088455,0.157614,-0.983531
-0.071317,0.057874,-0.172399,0.980736,-0.024753,-0.010655,-0.010264,0.005972,0.011112,-0.001037,0.088927,0.159841,-0.983129
-0.071596,0.058034,-0.172264,0.98073,-0.028321,-0.013339,0.001374,0.003962,0.007681,-1.5e-05,0.089164,0.160427,-0.983012
-0.071875,0.058194,-0.17213,0.980724,-0.031889,-0.016023,0.013013,0.001951,0.00425,0.001007,0.0894,0.161013,-0.982895
-0.072154,0.058354,-0.171995,0.980717,-0.035457,-0.018708,0.024651,-5.9e-05,0.000819,0.002028,0.089637,0.161598,-0.982777
