quat_x,quat_y,quat_z,quat_w,rot_x,rot_y,rot_z,acc_x,acc_y,acc_z,grav_x,grav_y,grav_z
0.024042,0.269025,-0.131459,0.953816,-0.172571,-0.018364,-0.031968,-0.403106,0.026305,-0.136639,0.519523,0.024868,-0.854095
0.060024,0.541208,0.0,0.838743,-0.173314,-0.020588,-0.039133,-0.789837,0.149869,-0.585169,0.90787,-0.100689,-0.406981
-0.004762,0.060815,-0.215789,0.974533,-0.165956,-0.033003,-0.031597,0.000167,0.019994,0.003157,0.116477,0.035528,-0.992558
-0.005532,0.060812,-0.21591,0.974502,-0.164314,-0.032197,-0.03398,0.001809,0.0208,0.000773,0.116134,0.037042,-0.992543
-0.01121,0.063207,-0.216323,0.974209,-0.172428,-0.021082,-0.008635,0.001128,0.020004,0.001973,0.118304,0.049188,-0.991758
-0.013394,0.063199,-0.216287,0.97419,-0.12919,-0.022724,-0.022357,-0.006746,0.026868,0.015147,0.117342,0.053435,-0.991653
-0.014708,0.063258,-0.216013,0.974228,-0.145427,-0.025369,0.036939,-0.008758,0.028535,0.008134,0.116901,0.055986,-0.991564
-0.016021,0.063317,-0.215739,0.974264,-0.161664,-0.028014,0.096234,-0.010771,0.030202,0.001114,0.116462,0.058537,-0.991469
-0.017681,0.06371,-0.214953,0.974384,-0.13213,-0.060353,0.099175,-0.013799,0.02197,0.006004,0.116554,0.061845,-0.991257
-0.019129,0.063736,-0.214066,0.97455,-0.127644,-0.045475,0.112672,-0.014662,0.018355,-0.005078,0.116038,0.064572,-0.991144
-0.021733,0.062042,-0.21217,0.975019,-0.127677,-0.024544,0.071824,-0.026118,-0.011166,-0.008421,0.111761,0.068708,-0.991357
-0.023652,0.061928,-0.211971,0.975025,-0.109196,-0.040264,0.053356,-0.014398,0.001687,-0.007722,0.110736,0.072378,-0.991211
-0.024891,0.061537,-0.211587,0.975102,-0.097958,-0.037458,0.047623,-0.012577,-0.002472,-0.007787,0.109477,0.074584,-0.991187
-0.02613,0.061146,-0.211202,0.975178,-0.086719,-0.034651,0.041891,-0.010757,-0.006632,-0.007859,0.108219,0.076791,-0.991157
-0.027482,0.059651,-0.210467,0.975392,-0.050418,-0.037299,0.036967,-0.007699,-0.009463,-0.003394,0.104798,0.07872,-0.991373
-0.027661,0.059452,-0.21028,0.97544,-0.047439,-0.023637,0.033927,-0.006215,-0.008123,-0.006401,0.10435,0.078966,-0.991401
