quat_x,quat_y,quat_z,quat_w,rot_x,rot_y,rot_z,acc_x,acc_y,acc_z,grav_x,grav_y,grav_z
-0.035615,0.09501,0.0,0.994839,0.541466,0.079056,-0.416038,0.002074,-0.026151,-0.014464,0.18904,0.070863,-0.979409
-0.032343,0.095457,-0.003012,0.994903,0.529546,0.06644,-0.420053,0.001078,-0.024595,-0.007387,0.189745,0.064932,-0.979684
-0.029071,0.095901,-0.006025,0.994948,0.517625,0.053825,-0.424068,4.9e-05,-0.023041,-0.000352,0.190483,0.059003,-0.979916
-0.021711,0.096288,-0.01383,0.995021,0.417286,-0.029428,-0.450675,0.00173,0.003794,-0.002722,0.191016,0.045869,-0.980515
-0.018818,0.095772,-0.018288,0.995057,0.31797,-0.024306,-0.408214,0.003563,-0.000498,-9.2e-05,0.189908,0.040953,-0.980947
-0.016654,0.095728,-0.021449,0.995037,0.271379,-0.014407,-0.38527,0.001496,-0.012105,-0.00231,0.189792,0.037249,-0.981117
-0.01449,0.095684,-0.02461,0.995002,0.224788,-0.004508,-0.362326,-0.000592,-0.023711,-0.004546,0.189698,0.033544,-0.981269
-0.013986,0.095666,-0.027189,0.994944,0.23959,-0.03904,-0.358439,-0.006271,-0.03396,0.005109,0.189604,0.033033,-0.981305
-0.013482,0.095647,-0.029769,0.994879,0.254391,-0.073572,-0.354553,-0.011952,-0.044208,0.014764,0.189511,0.032521,-0.98134
-0.012378,0.095697,-0.035623,0.994696,0.240106,-0.083346,-0.30589,-0.003648,-0.052669,0.010119,0.189497,0.031442,-0.981378
-0.010715,0.095337,-0.037574,0.994678,0.225003,-0.085043,-0.276864,-0.002621,-0.05875,0.008284,0.188855,0.028481,-0.981592
-0.009053,0.094977,-0.039524,0.994653,0.2099,-0.086741,-0.247838,-0.001604,-0.064828,0.006438,0.188223,0.025517,-0.981795
-0.003272,0.093128,-0.043103,0.994715,0.189774,-0.078611,-0.203791,-0.001117,-0.067182,0.002487,0.184989,0.014538,-0.982633
0.001897,0.091744,-0.045966,0.994719,0.125704,-0.082501,-0.15285,0.011013,-0.058979,-0.014951,0.182693,0.00466,-0.983159
0.003575,0.091395,-0.047029,0.994697,0.079172,-0.081325,-0.160529,0.009695,-0.055076,-0.012008,0.182157,0.001483,-0.983268
0.005254,0.091046,-0.048091,0.994671,0.032641,-0.080149,-0.168208,0.008371,-0.051173,-0.009076,0.181627,-0.001695,-0.983366
0.008059,0.08991,-0.050849,0.994618,-0.056817,-0.117616,-0.215494,0.005199,-0.04978,0.000485,0.179673,-0.006887,-0.983702
0.00846,0.088685,-0.053082,0.994608,-0.109698,-0.159189,-0.238686,0.000625,-0.026841,-0.002731,0.177311,-0.007413,-0.984127
0.008861,0.087459,-0.055315,0.994592,-0.16258,-0.200762,-0.261878,-0.00395,-0.003891,-0.005954,0.174951,-0.00795,-0.984545
0.008179,0.086501,-0.056677,0.994605,-0.233054,-0.20149,-0.213243,-0.006226,-0.006838,-0.000295,0.172996,-0.006464,-0.984901
0.007457,0.085699,-0.057505,0.994632,-0.248742,-0.196283,-0.196471,-0.009675,-0.022851,-0.001865,0.171336,-0.004978,-0.9852
0.006736,0.084897,-0.058333,0.994658,-0.26443,-0.191076,-0.179698,-0.013121,-0.038861,-0.003441,0.169673,-0.003495,-0.985494
0.004597,0.082378,-0.061169,0.994712,-0.185889,-0.221231,-0.248355,-0.021103,-0.036587,-0.006679,0.164447,0.000933,-0.986385
0.003666,0.081224,-0.062655,0.994718,-0.179222,-0.209458,-0.286447,-0.018994,-0.019843,-0.015568,0.16205,0.002886,-0.986778
0.000722,0.078764,-0.066083,0.9947,-0.23298,-0.141745,-0.208848,-0.02272,-0.007348,-0.013345,0.156789,0.008974,-0.987591
-0.000358,0.077786,-0.067163,0.994705,-0.221506,-0.120645,-0.187536,-0.021488,-0.013038,-0.012527,0.154701,0.011161,-0.987898
-0.001438,0.076808,-0.068242,0.994707,-0.210032,-0.099544,-0.166225,-0.02025,-0.018723,-0.011717,0.152607,0.013344,-0.988197
-0.002518,0.07583,-0.069322,0.994705,-0.198558,-0.078444,-0.144913,-0.019006,-0.024405,-0.010915,0.150507,0.015522,-0.988487
-0.00439,0.074009,-0.070934,0.994722,-0.075427,-0.081872,-0.077817,-0.017366,-0.023478,-0.001244,0.146613,0.019232,-0.989007
-0.004648,0.073181,-0.071371,0.994751,-0.021474,-0.087446,-0.059132,-0.015368,-0.01457,0.000458,0.144929,0.019694,-0.989246
-0.004266,0.071158,-0.071346,0.994901,-0.028979,-0.051381,0.049243,0.002379,-0.002028,-0.033357,0.140982,0.018643,-0.989837
-0.004265,0.070997,-0.070827,0.99495,-0.047417,-0.001251,0.073834,-0.002772,-0.01015,-0.030912,0.140673,0.018543,-0.989882
-0.004263,0.070836,-0.070309,0.994998,-0.065855,0.048878,0.098425,-0.007924,-0.018273,-0.028467,0.140363,0.018444,-0.989928
-0.004729,0.070532,-0.069037,0.995106,-0.074373,-0.056207,0.051797,-0.020026,-0.004864,0.006716,0.13972,0.019151,-0.990006
-0.006976,0.069441,-0.06785,0.995252,-0.230691,-0.066958,0.081639,-0.001771,0.013166,-0.011332,0.137275,0.023308,-0.990259
-0.008469,0.068979,-0.067109,0.995322,-0.285121,-0.075314,0.106416,-0.008467,0.017293,-0.011655,0.136177,0.026117,-0.99034
-0.01028,0.068363,-0.066132,0.995413,-0.311409,-0.090304,0.121745,-0.011436,0.014502,-0.001097,0.134738,0.029507,-0.990442
-0.015106,0.066629,-0.063689,0.995629,-0.361887,-0.102051,0.138262,-0.006577,0.022538,-0.009085,0.130751,0.038567,-0.990665
-0.017746,0.066239,-0.062335,0.995697,-0.385663,-0.090722,0.149778,-0.000173,0.020421,-0.007034,0.129696,0.043597,-0.990595
-0.020386,0.065849,-0.06098,0.995756,-0.409439,-0.079393,0.161294,0.00622,0.018303,-0.005012,0.128653,0.04863,-0.990497
-0.027073,0.065175,-0.057568,0.995844,-0.460572,-0.035925,0.185597,0.016112,0.015745,-0.00879,0.12669,0.061425,-0.990039
-0.029996,0.065188,-0.056145,0.995841,-0.457339,-0.021506,0.178014,0.013384,0.013264,0.002506,0.126465,0.067063,-0.989702
-0.033722,0.065357,-0.054408,0.995807,-0.441046,-0.018883,0.168754,0.01502,0.016524,0.006502,0.126497,0.074273,-0.989183
-0.037447,0.065526,-0.052669,0.995756,-0.424753,-0.016259,0.159493,0.016634,0.019789,0.010443,0.126551,0.081478,-0.988608
-0.040261,0.065766,-0.051349,0.995699,-0.404988,-0.007474,0.147531,0.019293,0.018963,0.00969,0.126831,0.08693,-0.988108
-0.043075,0.066005,-0.050028,0.995633,-0.385224,0.001311,0.135568,0.02194,0.01814,0.008906,0.127124,0.092378,-0.987576
-0.048579,0.066882,-0.047775,0.995432,-0.305518,0.004232,0.078957,0.01574,0.014934,0.015834,0.128512,0.103104,-0.986334
-0.052318,0.067388,-0.046689,0.99526,-0.219691,-0.009993,0.026678,0.012844,0.018192,0.015942,0.129251,0.110432,-0.985443
-0.053602,0.067528,-0.046479,0.995192,-0.184336,-0.02369,0.010615,0.00728,0.024849,0.021224,0.129423,0.112966,-0.985134
-0.054697,0.067489,-0.046349,0.995141,-0.157333,-0.044167,0.009721,0.003807,0.032131,0.024314,0.129252,0.115119,-0.984907
-0.056902,0.066998,-0.0458,0.995076,-0.104253,-0.076768,0.057863,-0.000286,0.044073,0.019275,0.128124,0.11938,-0.984547
-0.057545,0.066655,-0.045175,0.99509,-0.072237,-0.076512,0.088656,-0.005713,0.038903,0.015823,0.127457,0.120548,-0.984491
-0.057845,0.066294,-0.044425,0.995131,-0.024448,-0.083437,0.105317,-0.009421,0.033056,0.014589,0.126803,0.121016,-0.984518
-0.05785,0.06519,-0.0425,0.995288,0.087503,-0.092253,0.131271,-0.010198,0.02243,0.0058,0.124849,0.120697,-0.984807
-0.057475,0.064788,-0.041837,0.995364,0.111147,-0.086468,0.127437,-0.006233,0.021435,-0.000445,0.124166,0.119839,-0.984998
-0.056097,0.063939,-0.040155,0.995566,0.158549,-0.045255,0.123513,-6.7e-05,0.022467,-0.005767,0.122805,0.116832,-0.98553
-0.0552,0.06367,-0.039385,0.995664,0.168322,-0.033387,0.125055,-0.000143,0.020752,-0.004108,0.12244,0.114937,-0.985798
-0.054212,0.063502,-0.038561,0.995762,0.171338,-0.020159,0.131801,-0.001225,0.021662,-0.003519,0.122284,0.112862,-0.986057
-0.053224,0.063333,-0.037738,0.995857,0.174355,-0.006932,0.138548,-0.002304,0.022573,-0.002935,0.122124,0.110787,-0.986312
-0.051166,0.063413,-0.035891,0.996028,0.153403,0.012667,0.135404,-0.004801,0.022299,-0.001583,0.12265,0.106478,-0.986722
