quat_x,quat_y,quat_z,quat_w,rot_x,rot_y,rot_z,acc_x,acc_y,acc_z,grav_x,grav_y,grav_z
-0.08736,0.055033,-0.0,0.994656,0.160487,0.06309,0.037331,0.007204,0.026315,-0.002966,0.109479,0.173785,-0.978679
-0.084579,0.056014,0.000455,0.994841,0.264743,0.057199,0.051783,0.001153,0.011984,0.004475,0.111528,0.168234,-0.979418
-0.089786,0.057405,0.000406,0.994305,0.321129,0.069302,0.076143,0.002026,-0.008542,0.001188,0.114229,0.178503,-0.977286
-0.094991,0.058794,0.000357,0.99374,0.377514,0.081406,0.100504,0.00291,-0.029047,-0.002214,0.116919,0.188751,-0.97504
-0.094741,0.060228,0.001095,0.993678,0.58194,0.129511,0.122712,0.00559,-0.072675,-0.010261,0.119902,0.188152,-0.974793
-0.090481,0.060274,0.001329,0.994072,0.674036,0.125344,0.091562,0.005758,-0.066116,-0.00236,0.120074,0.179729,-0.97636
-0.086339,0.060725,0.001384,0.994412,0.713089,0.122445,0.07813,0.009506,-0.055344,-0.001151,0.12101,0.171546,-0.977716
-0.082196,0.061175,0.001439,0.994736,0.752142,0.119546,0.064698,0.013259,-0.044561,-1e-05,0.121942,0.163351,-0.979003
-0.06995,0.063301,0.001582,0.995539,0.689614,0.135368,0.052131,0.015011,-0.036317,0.001155,0.126259,0.139075,-0.9822
-0.058467,0.065141,0.001452,0.996161,0.585214,0.106938,0.006745,0.013429,-0.035855,-0.003467,0.129951,0.116296,-0.984677
-0.055208,0.065956,0.00112,0.996293,0.525862,0.105369,-0.0157,0.011786,-0.035775,-0.001483,0.131547,0.109859,-0.985204
-0.052853,0.066695,0.000744,0.996372,0.465528,0.096792,-0.030716,0.010421,-0.033768,0.000821,0.132985,0.105222,-0.985517
-0.050497,0.067433,0.000369,0.996445,0.405194,0.088214,-0.045733,0.009053,-0.031761,0.0031,0.134425,0.100585,-0.985806
-0.045644,0.0688,-0.000894,0.996585,0.28212,0.047886,-0.067148,0.009078,-0.039989,0.006894,0.137048,0.0911,-0.986366
-0.044211,0.069116,-0.001316,0.996628,0.263443,0.028536,-0.073147,0.009873,-0.046656,0.010079,0.137649,0.088307,-0.986537
-0.03963,0.069739,-0.002715,0.996774,0.262623,0.023503,-0.08151,0.020639,-0.054284,-0.007146,0.138812,0.079383,-0.987132
-0.037804,0.070028,-0.003328,0.996823,0.270527,0.033241,-0.079083,0.021238,-0.052274,-0.006733,0.139359,0.075834,-0.987334
-0.032372,0.071181,-0.004736,0.996927,0.275654,0.057812,-0.060139,0.01381,-0.054014,-0.005055,0.141618,0.065219,-0.987771
-0.029881,0.071811,-0.005187,0.996957,0.271866,0.048262,-0.056614,0.007607,-0.048712,-0.000263,0.142875,0.060324,-0.987901
-0.024622,0.072952,-0.00615,0.997012,0.214018,0.015502,-0.047884,0.002644,-0.030922,0.003502,0.145165,0.049995,-0.988144
-0.021673,0.073533,-0.006749,0.997034,0.100397,0.004758,-0.040041,9.6e-05,-0.022514,0.008802,0.146338,0.04421,-0.988246
-0.020679,0.073629,-0.007003,0.997047,0.033429,-0.01244,-0.038068,-0.003113,-0.019959,0.007708,0.146533,0.042267,-0.988302
-0.020231,0.073512,-0.007237,0.997063,-0.015552,-0.023786,-0.043308,-0.003094,-0.0277,0.003201,0.1463,0.041408,-0.988373
-0.019938,0.073097,-0.007679,0.997096,-0.069199,-0.022025,-0.01652,-0.001757,-0.048165,-0.016752,0.145463,0.040882,-0.988519
-0.019766,0.073091,-0.007849,0.997098,-0.030894,-0.020825,-0.025079,-0.007118,-0.050372,-0.012671,0.145448,0.040564,-0.988534
-0.019593,0.073086,-0.00802,0.997101,0.007411,-0.019625,-0.033638,-0.01248,-0.052579,-0.008591,0.145434,0.040245,-0.988549
-0.018257,0.072783,-0.008611,0.997144,0.067345,-0.022797,-0.044024,-0.013708,-0.04721,-0.011581,0.144835,0.037664,-0.988739
-0.017231,0.072676,-0.0088,0.997168,0.060481,-0.00853,-0.019755,-0.013154,-0.042425,-0.009892,0.144636,0.035644,-0.988843
-0.014872,0.072264,-0.008961,0.997234,0.053866,-0.014018,-0.012314,-0.019236,-0.037843,-0.0041,0.143861,0.030956,-0.989114
-0.013935,0.071843,-0.008975,0.997278,0.029009,-0.032654,0.004908,-0.016855,-0.03166,-0.005958,0.143044,0.029084,-0.989289
-0.013411,0.071469,-0.008807,0.997314,-0.001331,-0.022723,0.024574,-0.012325,-0.032333,-0.015174,0.142318,0.028008,-0.989425
-0.012982,0.07081,-0.007979,0.997373,-0.089293,-0.028095,0.084125,-0.012754,-0.03147,-0.011271,0.141041,0.027025,-0.989635
-0.013351,0.070335,-0.007209,0.997408,-0.141409,-0.039321,0.093967,-0.01153,-0.038435,-0.012294,0.140113,0.027646,-0.98975
-0.015163,0.069249,-0.005385,0.99747,-0.250776,-0.052455,0.106155,-0.002254,-0.054951,-0.012503,0.137984,0.030994,-0.989949
-0.016462,0.06883,-0.004591,0.997482,-0.287232,-0.056801,0.095482,-0.000929,-0.058611,-0.008146,0.137163,0.033472,-0.989983
-0.01833,0.06828,-0.003913,0.99749,-0.315426,-0.059281,0.076127,0.004621,-0.06115,-0.008541,0.136074,0.037103,-0.990004
-0.020199,0.06773,-0.003235,0.997494,-0.343621,-0.06176,0.056772,0.010167,-0.06369,-0.008951,0.134989,0.040735,-0.990009
-0.022068,0.067179,-0.002557,0.997494,-0.371816,-0.06424,0.037416,0.01571,-0.066231,-0.009376,0.133909,0.044368,-0.99
-0.026459,0.066422,-0.001915,0.997439,-0.376472,-0.044271,-0.030686,0.010366,-0.050573,0.001547,0.132403,0.053037,-0.989776
-0.03097,0.065716,-0.002228,0.997355,-0.436007,-0.072676,-0.069121,0.009803,-0.014046,-2.8e-05,0.130947,0.062068,-0.989445
-0.032993,0.065526,-0.002371,0.997302,-0.468897,-0.060833,-0.060365,0.011401,-0.009726,-0.004654,0.130542,0.066118,-0.989236
-0.036911,0.065033,-0.002344,0.997198,-0.473138,-0.076285,-0.051102,0.007618,-0.006268,7.2e-05,0.129529,0.073919,-0.988817
-0.040828,0.064539,-0.002317,0.997077,-0.477379,-0.091736,-0.041838,0.003838,-0.002806,0.004737,0.128512,0.081716,-0.988336
-0.044744,0.064044,-0.00229,0.996941,-0.48162,-0.107188,-0.032575,6.2e-05,0.00066,0.009339,0.127492,0.089508,-0.987793
-0.047912,0.063505,-0.00218,0.996828,-0.488292,-0.100097,-0.024413,0.001646,0.003403,0.000745,0.126398,0.095797,-0.987343
-0.05537,0.062508,-0.001806,0.996506,-0.507134,-0.051273,-0.00842,0.002597,-2.3e-05,-0.004203,0.124379,0.11058,-0.986054
-0.05831,0.062262,-0.00161,0.996354,-0.500452,-0.047865,-0.009369,-0.000865,-0.003104,0.002193,0.123883,0.116396,-0.985447
-0.061246,0.062001,-0.001471,0.996194,-0.482709,-0.04493,-0.017463,-0.001348,-0.004608,0.003641,0.12335,0.122207,-0.98481
-0.068121,0.061385,-0.001336,0.995786,-0.453358,-0.038044,-0.034047,0.00269,-0.001651,0.005387,0.122071,0.135831,-0.983183
-0.070747,0.061128,-0.001328,0.995619,-0.44224,-0.041706,-0.035784,0.001704,-0.002241,0.006169,0.121533,0.141037,-0.982516
-0.073317,0.06085,-0.001351,0.99545,-0.42717,-0.046027,-0.030877,0.0031,0.002295,0.008769,0.120949,0.146131,-0.981844
-0.075886,0.060572,-0.001373,0.995274,-0.4121,-0.050348,-0.02597,0.004498,0.006834,0.011343,0.120362,0.151221,-0.981145
-0.081131,0.059935,-0.001026,0.994899,-0.320282,-0.038212,0.006764,0.010502,-0.008116,0.002548,0.119093,0.161557,-0.979651
-0.082639,0.059759,-0.000801,0.994786,-0.254182,-0.035375,0.007478,0.011145,-0.012519,0.001042,0.118763,0.164512,-0.979199
-0.084147,0.059583,-0.000577,0.99467,-0.188082,-0.032538,0.008191,0.011788,-0.01692,-0.000473,0.118433,0.167465,-0.978738
-0.085947,0.059149,-0.000711,0.994542,-0.088428,-0.040934,-0.031771,0.009841,0.005866,0.002883,0.11753,0.171039,-0.978229
-0.086398,0.058997,-0.000888,0.994512,-0.088574,-0.043476,-0.027197,0.00976,0.014675,0.005411,0.117193,0.171952,-0.97811
-0.086849,0.058845,-0.001064,0.994481,-0.08872,-0.046017,-0.022624,0.00968,0.023484,0.007937,0.116855,0.172864,-0.977989
-0.08815,0.058362,-0.001123,0.994395,-0.110544,-0.044981,-0.009461,0.008831,0.017257,0.003259,0.115872,0.175444,-0.977647
-0.089899,0.057934,-0.001202,0.994264,-0.095575,-0.059926,-0.035075,-0.003958,0.011183,0.006137,0.114987,0.178906,-0.977124
-0.090648,0.057667,-0.001354,0.994211,-0.097459,-0.060248,-0.032615,-0.005077,0.014404,0.003073,0.114421,0.180403,-0.976915
-0.09221,0.057047,-0.001514,0.994103,-0.092875,-0.059966,-0.010166,-0.005086,0.011522,-0.001887,0.113141,0.183504,-0.976486
-0.092918,0.05685,-0.001442,0.994048,-0.099773,-0.04603,0.00862,-0.00464,0.009433,-0.004516,0.112756,0.184893,-0.976269
-0.094212,0.056499,-0.001072,0.993947,-0.090322,-0.020982,0.027296,-0.00155,0.002537,-0.008226,0.112111,0.187405,-0.975864
-0.094846,0.056431,-0.000805,0.993891,-0.094831,-0.004292,0.038551,9.2e-05,0.00104,-0.008812,0.112021,0.188624,-0.975639
-0.096238,0.056518,-0.000236,0.993752,-0.102369,0.017751,0.025408,-0.001071,-0.002283,-0.005053,0.112285,0.1913,-0.975088
-0.096953,0.056642,-5.8e-05,0.993676,-0.110412,0.018494,0.016636,-0.001736,-0.000602,-0.001958,0.112556,0.192687,-0.974784
-0.097673,0.056718,9.8e-05,0.993601,-0.113696,0.014444,0.018129,-0.000592,0.000867,0.000248,0.11273,0.194085,-0.974486
-0.099383,0.056861,0.000509,0.993423,-0.097531,0.012339,0.026201,0.006174,0.00159,-0.007871,0.113076,0.197401,-0.97378
-0.099905,0.057001,0.00071,0.993363,-0.067643,0.019814,0.029431,0.006524,0.001471,-0.005838,0.113387,0.198404,-0.97354
-0.100188,0.05716,0.000906,0.993325,-0.046549,0.026452,0.02909,0.004997,0.005224,-0.005997,0.113738,0.198934,-0.97339
