quat_x,quat_y,quat_z,quat_w,rot_x,rot_y,rot_z,acc_x,acc_y,acc_z,grav_x,grav_y,grav_z
0.044483,0.575138,-0.0,0.816846,-0.004708,-0.008119,-0.000318,-0.825847,0.248812,-0.642024,0.939599,-0.072671,-0.334475
-0.012716,0.347308,-0.124456,0.929369,-0.006794,-0.008378,-0.000625,-0.528014,0.066093,-0.219685,0.642389,0.110086,-0.758431
-0.068856,0.090537,-0.238541,0.964448,-0.00888,-0.008636,-0.000932,-0.026788,0.000207,-0.005609,0.141787,0.17601,-0.974124
-0.07182,0.077402,-0.243745,0.964074,-0.018917,-0.006629,-0.003091,-0.00071,0.000888,-0.001811,0.114231,0.176212,-0.977702
-0.071857,0.077331,-0.243722,0.964083,-0.019594,-0.009408,0.001664,-0.000365,0.003444,-0.000653,0.114081,0.176247,-0.977713
-0.071894,0.077261,-0.243699,0.964092,-0.020271,-0.012187,0.006419,-1.9e-05,0.006001,0.000504,0.113931,0.176282,-0.977724
-0.07184,0.077232,-0.24361,0.96412,-0.017869,-0.010735,0.009325,0.000999,0.005574,-0.000454,0.113921,0.176153,-0.977748
-0.072118,0.077184,-0.243358,0.964167,-0.010605,-0.009726,0.016787,0.000568,0.002137,0.00064,0.113735,0.176634,-0.977683
-0.072407,0.077084,-0.243302,0.964168,-0.005668,-0.009884,0.012237,0.000626,0.00028,-0.000259,0.11341,0.177135,-0.97763
-0.072697,0.076984,-0.243246,0.964168,-0.000731,-0.010042,0.007688,0.000683,-0.001577,-0.001158,0.113085,0.177637,-0.977577
-0.073389,0.077152,-0.243154,0.964125,0.010352,-0.015791,0.01192,-0.001254,-0.002963,0.001553,0.113079,0.179031,-0.977323
-0.073477,0.077203,-0.243084,0.964132,0.014105,-0.021178,0.014088,-0.002063,-0.004074,0.004132,0.113146,0.179218,-0.977282
-0.073348,0.076976,-0.242831,0.964224,0.00805,-0.015214,0.02076,0.000239,0.003191,-0.008197,0.112821,0.178833,-0.977389
-0.073148,0.07725,-0.242336,0.964342,-0.032619,0.03688,0.03807,0.000982,0.005883,-0.011615,0.113539,0.17852,-0.977364
-0.073288,0.07746,-0.242099,0.964374,-0.042134,0.038314,0.038209,0.000758,0.002036,-0.00686,0.113914,0.17886,-0.977258
-0.073589,0.07749,-0.242007,0.964372,-0.039638,0.019779,0.019143,0.000368,0.001076,-0.004135,0.11384,0.179441,-0.97716
-0.07389,0.07752,-0.241914,0.964369,-0.037143,0.001244,7.7e-05,-2.3e-05,0.000116,-0.00141,0.113766,0.180021,-0.977062
-0.074636,0.077519,-0.241935,0.964307,-0.048251,-0.017378,-0.00794,0.001616,0.003105,-0.003404,0.113391,0.181453,-0.97684
-0.074943,0.077471,-0.241848,0.964309,-0.057026,-0.02072,0.000594,-0.000323,0.002788,-0.002761,0.113161,0.182009,-0.976764
-0.075251,0.077422,-0.24176,0.964311,-0.065801,-0.024062,0.009127,-0.002263,0.002472,-0.002117,0.112932,0.182565,-0.976686
-0.075558,0.077373,-0.241673,0.964312,-0.074576,-0.027404,0.017661,-0.004202,0.002155,-0.001475,0.112703,0.183121,-0.976609
-0.076783,0.077411,-0.241206,0.96433,-0.091459,-0.009396,0.016491,-0.002321,-0.00803,-0.010381,0.112259,0.185432,-0.976224
-0.077376,0.077473,-0.241096,0.964305,-0.08407,-0.011555,0.006057,-0.004187,-0.011054,-0.007364,0.112104,0.186586,-0.976022
-0.078598,0.077409,-0.240995,0.964236,-0.074468,-0.011772,-0.005647,-0.007016,-0.009356,-0.006324,0.111398,0.188884,-0.97566
-0.079032,0.077364,-0.240984,0.964207,-0.072865,-0.012165,-0.006009,-0.007057,-0.008391,-0.008933,0.111099,0.189693,-0.975538
-0.079327,0.077379,-0.240994,0.964179,-0.075796,-0.000245,-0.008538,-0.006755,-0.009586,-0.011504,0.11098,0.190267,-0.975439
-0.079622,0.077395,-0.241004,0.964151,-0.078727,0.011675,-0.011068,-0.006454,-0.010781,-0.014075,0.110862,0.190841,-0.975341
-0.080365,0.077579,-0.24119,0.964028,-0.092732,0.016971,-0.028592,-0.014528,-0.009329,-0.0097,0.11081,0.192371,-0.975046
-0.081517,0.077569,-0.241769,0.963787,-0.110074,-0.008956,-0.061427,-0.016147,0.000141,-0.006834,0.110104,0.194639,-0.974676
-0.082085,0.07759,-0.242046,0.963668,-0.13316,0.006049,-0.042838,-0.010558,0.009718,-0.001613,0.109805,0.195766,-0.974484
-0.082857,0.077608,-0.242126,0.96358,-0.141876,-0.005227,-0.018182,-0.012013,0.013798,0.01013,0.109439,0.197261,-0.974223
